capture       ext%  fid_v%  task_v%  tdef_v%  fid_marg  task_marg  tdef_marg  tdef_mm
RS_d1_1       81.7     0.0      0.0      0.0     0.376      0.459      0.408      0.1
RS_d1_2       81.8     0.0      0.0      0.0     0.404      0.472      0.420      0.1
RS_d1_3       84.1     0.0      0.0      0.0     0.473      0.491      0.470      0.1
RS_d1_4       85.1     0.0      0.0      0.0     0.372      0.462      0.436      0.1
RS_d1_5       85.7     0.0      0.0      0.0     0.384      0.460      0.442      0.1
RS_d2_1       87.9     0.0      0.0      0.0     0.429      0.461      0.462      0.1
RS_d2_2       87.7     0.0      0.0      0.0     0.427      0.445      0.445      0.1
RS_d2_3       88.1     1.8     51.8     51.8     0.437      0.206      0.207    269.3
RS_d2_4       88.4     0.0      0.0      0.0     0.346      0.440      0.446      0.1
RS_d2_5       83.5     0.0      0.0      0.0     0.386      0.469      0.431      0.1
RS_d3_1       87.7     0.0      0.0      0.0     0.414      0.428      0.428      0.1
RS_d3_2       86.9     0.0      0.0      0.0     0.424      0.456      0.451      0.1
RS_d3_3       88.0     0.0      0.0      0.0     0.405      0.458      0.461      0.1
RS_d3_4       82.3     0.0      0.0      0.0     0.462      0.486      0.440      0.1
RS_d3_5       87.3     0.0      0.0      0.0     0.432      0.457      0.455      0.1
RS_d4_1       86.8     0.0      0.0      0.0     0.397      0.441      0.439      0.1
RS_d4_2       82.7     0.0      0.0      0.0     0.453      0.478      0.447      0.1
RS_d4_3       81.4     0.0      0.0      0.0     0.405      0.480      0.430      0.1
RS_d4_4       82.2     0.0      0.0      0.0     0.395      0.479      0.439      0.1
RS_d4_5       85.8     0.0      0.0      0.0     0.410      0.459      0.448      0.1

BY TARGET DISTANCE   (reps violating out of n)
level    n  human_m   ext%   fidelity  taskcentric  taskdefined  fid_marg  tdef_marg
d1       5    0.506   83.7       0/5          0/5          0/5      0.402      0.435
d2       5    0.530   87.1       1/5          1/5          1/5      0.405      0.398
d3       5    0.525   86.4       0/5          0/5          0/5      0.427      0.447
d4       5    0.508   83.8       0/5          0/5          0/5      0.412      0.441

wrote results/reach_extent/v2_left.json
