capture       ext%  fid_v%  task_v%  tdef_v%  fid_marg  task_marg  tdef_marg  tdef_mm
RS_d1_1       93.2     0.0      0.0      0.0     0.322      0.389      0.359      0.1
RS_d1_2       81.0     0.0      0.0      0.0     0.327      0.445      0.456      0.1
RS_d1_3       80.4     0.0      0.0      0.0     0.339      0.377      0.430      0.1
RS_d1_4       84.8     0.0      0.0      0.0     0.336      0.403      0.420      0.1
RS_d1_5       79.1     0.0      0.0      0.0     0.313      0.375      0.415      0.1
RS_d2_1       84.3     0.0      0.0      0.0     0.383      0.436      0.451      0.1
RS_d2_2       86.9     0.0      0.0      0.0     0.334      0.376      0.379      0.1
RS_d2_3       87.6     0.0      0.0      0.0     0.335      0.369      0.369      0.1
RS_d2_4       90.2     0.0      0.0      0.0     0.346      0.383      0.373      0.1
RS_d2_5       86.3     0.0      0.0      0.0     0.369      0.393      0.402      0.1
RS_d3_1       99.7     6.4     13.4      0.0     0.288      0.269      0.373      0.1
RS_d3_2       99.6     6.4     10.9      0.0     0.298      0.303      0.380      0.1
RS_d3_3       86.1     0.2      0.2      0.0     0.400      0.460      0.472      0.1
RS_d3_4       98.3     0.0     25.9      0.0     0.366      0.140      0.377      0.1
RS_d3_5       87.9     2.8      2.3      0.0     0.363      0.445      0.458      0.1
RS_d4_1       99.9     6.4      8.0      0.0     0.311      0.295      0.354      0.1
RS_d4_2       99.8     7.1     12.6      0.0     0.263      0.242      0.364      0.1
RS_d4_3       99.9     0.7      5.7      0.0     0.308      0.279      0.391      0.1
RS_d4_4       99.7     4.5     12.2      0.0     0.299      0.233      0.374      0.1
RS_d4_5       99.8     2.0      4.8      0.0     0.279      0.263      0.406      0.1

BY TARGET DISTANCE   (reps violating out of n)
level    n  human_m   ext%   fidelity  taskcentric  taskdefined  fid_marg  tdef_marg
d1       5    0.506   83.7       0/5          0/5          0/5      0.327      0.416
d2       5    0.530   87.1       0/5          0/5          0/5      0.353      0.395
d3       5    0.576   94.3       4/5          5/5          0/5      0.343      0.412
d4       5    0.609   99.8       5/5          5/5          0/5      0.292      0.378

wrote results/reach_extent/v2_right.json
