capture       ext%  fid_v%  task_v%  tdef_v%  fid_marg  task_marg  tdef_marg  tdef_mm
RS_d1_1       96.9     0.6      0.0      0.0     0.212      0.331      0.442      0.1
RS_d1_2       96.3     0.0      0.0      0.0     0.360      0.328      0.436      0.1
RS_d1_3       95.8     0.0      0.0      0.0     0.355      0.334      0.436      0.1
RS_d2_1       95.2     0.0      0.0      0.0     0.374      0.345      0.437      0.1
RS_d2_2       96.7     1.9      0.0      0.0     0.336      0.319      0.430      0.1
RS_d2_3       95.7     0.0      0.0      0.0     0.360      0.350      0.441      0.1
RS_d3_1       95.6     0.0      0.0      0.0     0.392      0.337      0.435      0.1
RS_d3_2       95.7     0.0      0.0      0.0     0.385      0.356      0.446      0.1
RS_d3_3       95.8     0.0      0.0      0.0     0.380      0.343      0.443      0.1
RS_d4_1       96.4     0.5      0.0      0.0     0.156      0.329      0.437      0.1
RS_d4_2       97.6     0.0      0.0      0.0     0.325      0.332      0.446      0.1
RS_d4_3       97.8     0.0      0.0      0.0     0.330      0.328      0.449      0.1

BY TARGET DISTANCE   (reps violating out of n)
level    n  human_m   ext%   fidelity  taskcentric  taskdefined  fid_marg  tdef_marg
d1       3    0.479   96.4       1/3          0/3          0/3      0.309      0.438
d2       3    0.476   95.8       1/3          0/3          0/3      0.357      0.436
d3       3    0.476   95.7       0/3          0/3          0/3      0.386      0.441
d4       3    0.481   97.3       1/3          0/3          0/3      0.270      0.444

wrote results/reach_extent/s2_left.json
