capture       ext%  fid_v%  task_v%  tdef_v%  fid_marg  task_marg  tdef_marg  tdef_mm
RS_d1_1       99.5    23.6      4.5     10.2     0.138      0.272      0.339      2.9
RS_d1_2      100.2    15.6      1.6      6.8     0.183      0.259      0.366      1.6
RS_d1_3       99.9    32.1     10.7     18.5     0.139      0.249      0.313      5.1
RS_d2_1       99.5    11.8      6.8      1.1     0.204      0.277      0.408      0.3
RS_d2_2       99.0    28.6      9.2     12.2     0.142      0.269      0.346      5.0
RS_d2_3       99.2    17.7      5.4     15.0     0.154      0.258      0.322      2.9
RS_d3_1       99.5    18.5      1.2      3.0     0.187      0.290      0.313      0.7
RS_d3_2       99.4    21.5     25.0      3.5     0.173      0.214      0.344      1.1
RS_d3_3       99.5    12.6      0.0      0.0     0.230      0.281      0.298      0.1
RS_d4_1       99.6    30.1     12.3      6.7     0.176      0.248      0.331      1.3
RS_d4_2       99.7    26.2     71.0      4.8     0.161      0.067      0.391      2.2
RS_d4_3       99.6     6.5      1.8      1.2     0.194      0.340      0.387      0.2

BY TARGET DISTANCE   (reps violating out of n)
level    n  human_m   ext%   fidelity  taskcentric  taskdefined  fid_marg  tdef_marg
d1       3    0.495   99.9       3/3          3/3          3/3      0.153      0.339
d2       3    0.490   99.2       3/3          3/3          3/3      0.166      0.359
d3       3    0.495   99.5       3/3          2/3          2/3      0.197      0.319
d4       3    0.495   99.6       3/3          3/3          3/3      0.177      0.370

wrote results/reach_extent/s2_right.json
