t_s,q_pitch,q_roll,q_yaw,q_elbow
8.9333,0.431100,2.382370,0.878398,0.096672
8.9500,0.420087,2.377477,0.853780,0.093165
8.9667,0.414276,2.377153,0.842584,0.093963
8.9833,0.405136,2.382309,0.821290,0.095543
9.0000,0.398620,2.391098,0.801061,0.098286
9.0167,0.390184,2.398898,0.783146,0.100212
9.0333,0.382228,2.407212,0.766574,0.103731
9.0500,0.370839,2.419001,0.743879,0.110747
9.0667,0.364166,2.426253,0.729745,0.115660
9.0833,0.354130,2.436641,0.710696,0.121881
9.1000,0.351107,2.453467,0.693030,0.126680
9.1167,0.351894,2.467167,0.682335,0.125735
9.1333,0.353476,2.476295,0.671106,0.124411
9.1500,0.351695,2.483224,0.661654,0.128580
9.1667,0.349344,2.491980,0.648481,0.134339
9.1833,0.348822,2.500344,0.636218,0.139565
9.2000,0.344849,2.503630,0.629634,0.145472
9.2167,0.342075,2.505294,0.622601,0.148529
9.2333,0.341013,2.504573,0.618638,0.147978
9.2500,0.335114,2.502495,0.608528,0.142670
9.2667,0.329022,2.498839,0.598834,0.137005
9.2833,0.322805,2.497704,0.594145,0.134564
9.3000,0.315771,2.503841,0.592716,0.136499
9.3167,0.308748,2.512873,0.592769,0.138990
9.3333,0.299521,2.512567,0.590760,0.136842
9.3500,0.290617,2.507440,0.584499,0.134511
9.3667,0.282009,2.502277,0.578553,0.131831
9.3833,0.273446,2.495374,0.572326,0.129403
9.4000,0.264849,2.487408,0.566051,0.124239
9.4167,0.258217,2.480668,0.559750,0.119962
9.4333,0.253057,2.473494,0.554998,0.120070
9.4500,0.249421,2.469402,0.550859,0.121349
9.4667,0.250285,2.469588,0.548618,0.122322
9.4833,0.252484,2.469858,0.544113,0.124585
9.5000,0.254921,2.471916,0.540455,0.127322
9.5167,0.257357,2.476720,0.536634,0.131837
9.5333,0.259109,2.478752,0.533901,0.137062
9.5500,0.259913,2.480750,0.531731,0.142582
9.5667,0.260628,2.486692,0.530189,0.149620
9.5833,0.262256,2.491618,0.529381,0.151981
9.6000,0.261877,2.497319,0.529864,0.151921
9.6167,0.261020,2.502943,0.530725,0.150756
9.6333,0.259028,2.508712,0.532269,0.148864
9.6500,0.257982,2.513858,0.533401,0.148601
9.6667,0.256109,2.516034,0.533866,0.145864
9.6833,0.254862,2.516009,0.533352,0.142718
9.7000,0.254277,2.515926,0.532634,0.140209
9.7167,0.255050,2.514193,0.530870,0.134021
9.7333,0.251671,2.509939,0.529311,0.123561
9.7500,0.248914,2.509800,0.529512,0.119494
9.7667,0.245734,2.510312,0.530144,0.117842
9.7833,0.234571,2.503904,0.530594,0.113223
9.8000,0.221183,2.493702,0.530179,0.107067
9.8167,0.217641,2.490453,0.529182,0.104136
9.8333,0.207214,2.477511,0.526316,0.095754
9.8500,0.195879,2.463250,0.522981,0.087978
9.8667,0.197238,2.459075,0.518604,0.079886
9.8833,0.195673,2.453057,0.514726,0.072098
9.9000,0.202748,2.456698,0.512036,0.073328
9.9167,0.212409,2.463949,0.509567,0.079787
9.9333,0.233438,2.483715,0.508305,0.098241
9.9500,0.262885,2.511766,0.508859,0.121140
9.9667,0.292761,2.539699,0.510951,0.140361
9.9833,0.311468,2.554021,0.511975,0.145754
10.0000,0.323905,2.567345,0.515190,0.152199
10.0167,0.327290,2.572608,0.517676,0.152276
10.0333,0.332808,2.575957,0.518679,0.151970
10.0500,0.334206,2.580017,0.521355,0.155048
10.0667,0.338021,2.584141,0.523209,0.155799
10.0833,0.335154,2.580150,0.524798,0.149273
10.1000,0.334153,2.580260,0.525844,0.149728
10.1167,0.336829,2.581035,0.525860,0.147853
10.1333,0.335128,2.581453,0.527247,0.148761
10.1500,0.334850,2.580649,0.528233,0.145760
10.1667,0.336065,2.580176,0.528793,0.138937
10.1833,0.326105,2.572410,0.530702,0.128966
10.2000,0.312863,2.562169,0.532355,0.120177
10.2167,0.291608,2.543789,0.533104,0.106980
10.2333,0.268421,2.522920,0.532670,0.095363
10.2500,0.251513,2.505793,0.531122,0.088086
10.2667,0.237127,2.490343,0.528857,0.080318
10.2833,0.224912,2.474777,0.525347,0.072635
10.3000,0.216051,2.463619,0.521995,0.066698
10.3167,0.219454,2.463519,0.519032,0.061756
10.3333,0.219975,2.461596,0.516600,0.058066
10.3500,0.221381,2.461358,0.514519,0.061017
10.3667,0.220895,2.461426,0.513369,0.065763
10.3833,0.220073,2.461244,0.512324,0.069011
10.4000,0.218711,2.461208,0.511601,0.072182
10.4167,0.218532,2.462432,0.510975,0.076350
10.4333,0.218427,2.461829,0.509670,0.080165
10.4500,0.220053,2.466120,0.509708,0.084719
10.4667,0.222021,2.470716,0.509514,0.089954
10.4833,0.223406,2.474467,0.509750,0.095040
10.5000,0.229600,2.481941,0.509628,0.098611
10.5167,0.237761,2.490524,0.509661,0.099245
10.5333,0.246013,2.496945,0.509160,0.097167
10.5500,0.253798,2.502213,0.508616,0.094146
10.5667,0.266965,2.520138,0.511780,0.099211
10.5833,0.279497,2.542853,0.517809,0.105324
10.6000,0.290299,2.562350,0.523810,0.106589
10.6167,0.297567,2.578508,0.529347,0.101896
10.6333,0.294805,2.581631,0.533344,0.097519
10.6500,0.290799,2.576449,0.534268,0.095064
10.6667,0.287135,2.567462,0.533289,0.093093
10.6833,0.283817,2.556444,0.531543,0.090650
10.7000,0.279256,2.544040,0.529252,0.086221
10.7167,0.272436,2.529782,0.526588,0.079771
10.7333,0.254005,2.503232,0.522557,0.074394
10.7500,0.229072,2.473995,0.518472,0.068526
10.7667,0.208553,2.452471,0.515685,0.067929
10.7833,0.184800,2.430542,0.513397,0.067616
10.8000,0.167558,2.413041,0.509797,0.068737
10.8167,0.165425,2.411131,0.507347,0.072378
10.8333,0.168704,2.413514,0.504531,0.074316
10.8500,0.193054,2.431823,0.498480,0.080017
10.8667,0.224972,2.455523,0.493921,0.085078
10.8833,0.241145,2.471742,0.494024,0.094123
10.9000,0.245799,2.480905,0.496141,0.104989
10.9167,0.249953,2.487598,0.497700,0.111939
10.9333,0.252584,2.490586,0.498278,0.115116
10.9500,0.256445,2.496463,0.499637,0.117878
10.9667,0.260937,2.503351,0.501308,0.119312
10.9833,0.266483,2.508591,0.502094,0.118394
11.0000,0.269122,2.510845,0.502831,0.116323
11.0167,0.271989,2.516884,0.505047,0.115531
11.0333,0.276596,2.526196,0.508554,0.117584
11.0500,0.281112,2.537347,0.513010,0.120794
11.0667,0.281544,2.547051,0.518437,0.125775
11.0833,0.276722,2.550232,0.522544,0.125442
11.1000,0.262261,2.538419,0.524339,0.117738
11.1167,0.245868,2.522966,0.524807,0.111382
11.1333,0.231487,2.509143,0.524648,0.106746
11.1500,0.216138,2.495307,0.524382,0.100537
11.1667,0.200396,2.482194,0.524103,0.096315
11.1833,0.186574,2.471314,0.523618,0.092186
11.2000,0.176780,2.463029,0.522353,0.089495
11.2167,0.170510,2.456912,0.521108,0.088909
11.2333,0.172580,2.460172,0.520202,0.093661
11.2500,0.182047,2.470490,0.518932,0.102605
11.2667,0.195951,2.482156,0.517188,0.109606
11.2833,0.210277,2.492582,0.515478,0.116462
11.3000,0.225860,2.497285,0.511629,0.118204
11.3167,0.240706,2.491110,0.503942,0.116134
11.3333,0.257770,2.487375,0.496509,0.111537
11.3500,0.276689,2.490493,0.491576,0.110282
11.3667,0.285314,2.490072,0.488850,0.111735
11.3833,0.295196,2.491781,0.486913,0.116041
11.4000,0.304393,2.495088,0.486010,0.118552
11.4167,0.313483,2.504902,0.488017,0.120271
11.4333,0.315715,2.515275,0.492403,0.119974
11.4500,0.317058,2.514183,0.492022,0.119024
11.4667,0.314216,2.505465,0.490856,0.115715
11.4833,0.311996,2.503496,0.491589,0.113929
11.5000,0.303592,2.501116,0.494511,0.109989
11.5167,0.294226,2.498745,0.497536,0.106604
11.5333,0.288163,2.498860,0.500066,0.105783
11.5500,0.282770,2.499427,0.502455,0.106475
11.5667,0.277335,2.499530,0.504607,0.107420
11.5833,0.269481,2.497082,0.506541,0.107357
11.6000,0.264925,2.495791,0.507642,0.105862
11.6167,0.259457,2.493212,0.508489,0.105359
11.6333,0.251114,2.489793,0.509969,0.103767
11.6500,0.236893,2.479714,0.510539,0.099175
11.6667,0.228362,2.474297,0.510927,0.099030
11.6833,0.222419,2.470102,0.510705,0.099210
11.7000,0.227265,2.471146,0.508457,0.099177
11.7167,0.238759,2.475899,0.505107,0.099613
11.7333,0.244131,2.477089,0.503151,0.099290
11.7500,0.252784,2.483110,0.501965,0.101575
11.7667,0.264361,2.492767,0.501564,0.106525
11.7833,0.275599,2.502579,0.501811,0.112360
11.8000,0.286678,2.513522,0.502969,0.120387
11.8167,0.295381,2.531484,0.508271,0.125925
11.8333,0.303189,2.550687,0.514882,0.129901
11.8500,0.308709,2.561484,0.518577,0.128414
11.8667,0.309132,2.566879,0.522006,0.127604
11.8833,0.309432,2.567988,0.523046,0.126650
11.9000,0.303702,2.564677,0.525065,0.124606
11.9167,0.285268,2.548271,0.526449,0.117158
11.9333,0.268751,2.534300,0.527501,0.112616
11.9500,0.253981,2.522043,0.528071,0.110589
11.9667,0.238530,2.510023,0.528522,0.108984
11.9833,0.223414,2.499393,0.528996,0.107567
12.0000,0.210870,2.491801,0.529868,0.109988
12.0167,0.203511,2.487713,0.529968,0.114740
12.0333,0.202289,2.487704,0.529251,0.121473
12.0500,0.203614,2.490863,0.528346,0.128794
12.0667,0.200367,2.487620,0.527369,0.126182
12.0833,0.199165,2.486787,0.526542,0.124474
12.1000,0.199394,2.489304,0.526547,0.120989
12.1167,0.201789,2.493344,0.526437,0.121161
12.1333,0.204994,2.497567,0.526241,0.122995
12.1500,0.209953,2.502509,0.525633,0.126708
12.1667,0.215128,2.507544,0.525357,0.129346
12.1833,0.220233,2.508715,0.523785,0.127552
12.2000,0.224813,2.508412,0.521942,0.122888
12.2167,0.230317,2.510384,0.520727,0.119034
12.2333,0.236021,2.513113,0.519854,0.115550
12.2500,0.241467,2.514279,0.518579,0.111332
12.2667,0.245636,2.513620,0.517116,0.107191
12.2833,0.249739,2.512808,0.515650,0.102599
12.3000,0.252070,2.511348,0.514589,0.098424
12.3167,0.254874,2.513415,0.514769,0.095674
12.3333,0.258203,2.514410,0.514379,0.092923
12.3500,0.260967,2.514817,0.513997,0.089907
12.3667,0.255283,2.507372,0.513681,0.083230
12.3833,0.245373,2.495997,0.512976,0.076443
12.4000,0.228494,2.482087,0.513358,0.071919
12.4167,0.219607,2.479026,0.515000,0.073821
12.4333,0.205267,2.470827,0.516108,0.073723
12.4500,0.183835,2.456699,0.517177,0.071839
12.4667,0.157418,2.439055,0.518295,0.069056
12.4833,0.130288,2.421169,0.518077,0.061547
12.5000,0.112295,2.408084,0.516908,0.055684
12.5167,0.108715,2.401545,0.513463,0.056111
12.5333,0.110468,2.398427,0.509139,0.057792
12.5500,0.111309,2.390331,0.503332,0.060019
12.5667,0.131526,2.399045,0.495325,0.061049
12.5833,0.153736,2.410726,0.488861,0.060170
12.6000,0.161783,2.412754,0.485477,0.058107
12.6167,0.171140,2.419026,0.483156,0.062492
12.6333,0.178616,2.426600,0.482560,0.067901
12.6500,0.184536,2.434327,0.483029,0.074307
12.6667,0.188161,2.441546,0.484482,0.080981
12.6833,0.194702,2.449474,0.485426,0.085884
12.7000,0.199360,2.455239,0.486297,0.087593
12.7167,0.205812,2.461233,0.487020,0.089891
12.7333,0.211514,2.466178,0.487476,0.090318
12.7500,0.218470,2.472781,0.488279,0.091113
12.7667,0.221538,2.479019,0.490933,0.095021
12.7833,0.222219,2.486987,0.495215,0.100808
12.8000,0.219941,2.492467,0.499138,0.104098
12.8167,0.216599,2.493975,0.501838,0.105753
12.8333,0.210318,2.491621,0.504372,0.100796
12.8500,0.202015,2.485380,0.505817,0.094875
12.8667,0.193899,2.478000,0.506394,0.090724
12.8833,0.180064,2.464390,0.506191,0.085658
12.9000,0.162525,2.448611,0.505996,0.080720
12.9167,0.145221,2.435745,0.506386,0.076390
12.9333,0.126277,2.421873,0.506615,0.070453
12.9500,0.102416,2.400992,0.504602,0.064969
12.9667,0.082919,2.383515,0.502693,0.060514
12.9833,0.069482,2.372246,0.500390,0.057120
13.0000,0.062192,2.367753,0.498079,0.054131
13.0167,0.070262,2.376411,0.494771,0.057783
13.0333,0.086912,2.388505,0.490210,0.059955
13.0500,0.106579,2.400279,0.485398,0.061580
13.0667,0.133665,2.416504,0.480544,0.065530
13.0833,0.163618,2.431394,0.475674,0.069230
13.1000,0.182897,2.438902,0.472479,0.074311
13.1167,0.203041,2.448159,0.470231,0.078992
13.1333,0.224215,2.460282,0.469385,0.082672
13.1500,0.245269,2.472258,0.469095,0.088650
13.1667,0.261292,2.482286,0.470242,0.093898
13.1833,0.273799,2.489988,0.471909,0.097109
13.2000,0.283346,2.496506,0.474218,0.099251
13.2167,0.290219,2.501124,0.475688,0.099235
13.2333,0.295022,2.505482,0.477806,0.098369
13.2500,0.298141,2.513323,0.481952,0.100337
13.2667,0.293920,2.516234,0.486608,0.101747
13.2833,0.291134,2.518030,0.490192,0.099829
13.3000,0.290514,2.519645,0.492848,0.095900
13.3167,0.277971,2.511676,0.496320,0.090247
13.3333,0.267900,2.508047,0.499658,0.091404
13.3500,0.250345,2.496179,0.502354,0.091391
13.3667,0.226288,2.481865,0.505795,0.090273
13.3833,0.208026,2.472984,0.508757,0.089657
13.4000,0.195110,2.464541,0.509511,0.089886
13.4167,0.189034,2.460523,0.509565,0.091114
13.4333,0.186265,2.458567,0.509100,0.091812
13.4500,0.195745,2.462971,0.506162,0.100873
13.4667,0.200155,2.448376,0.498131,0.104897
13.4833,0.207524,2.438582,0.490772,0.100359
13.5000,0.219471,2.433753,0.483644,0.092010
13.5167,0.227459,2.427797,0.477644,0.082353
13.5333,0.231047,2.420012,0.472226,0.070834
13.5500,0.236609,2.411784,0.465828,0.059698
13.5667,0.257381,2.418206,0.459910,0.050629
13.5833,0.284945,2.430551,0.454927,0.032538
13.6000,0.310080,2.439248,0.450476,0.004801
13.6167,0.284243,2.397148,0.443024,-0.048529
13.6333,0.265471,2.375065,0.439939,-0.073708
13.6500,0.260979,2.367853,0.437433,-0.084891
13.6667,0.262189,2.373523,0.438558,-0.085114
13.6833,0.268639,2.386329,0.440761,-0.079444
13.7000,0.269070,2.393469,0.443495,-0.078277
13.7167,0.262190,2.396184,0.447378,-0.081085
13.7333,0.272159,2.420340,0.454227,-0.070624
13.7500,0.286860,2.450263,0.463431,-0.055633
13.7667,0.296457,2.476750,0.474221,-0.040781
13.7833,0.303750,2.503459,0.486604,-0.021243
13.8000,0.298521,2.517420,0.497270,-0.006217
13.8167,0.292732,2.534678,0.509342,0.015988
13.8333,0.274569,2.546906,0.524082,0.046197
13.8500,0.236652,2.534880,0.534274,0.075575
13.8667,0.190441,2.525280,0.547164,0.113284
13.9167,0.142955,2.563568,0.574283,0.328048
13.9333,0.127877,2.580539,0.580988,0.411806
13.9500,0.101817,2.593700,0.587643,0.501916
13.9667,0.080165,2.621096,0.594262,0.624358
13.9833,0.060407,2.632838,0.594276,0.702767
14.0000,0.044402,2.632305,0.593551,0.715850
14.0167,0.029067,2.610622,0.585705,0.660825
14.0333,0.014623,2.583521,0.578105,0.580503
14.0500,0.017782,2.567731,0.570839,0.504653
14.0667,0.026284,2.553214,0.563458,0.434851
14.0833,0.046691,2.549791,0.556606,0.375711
14.1000,0.071623,2.559171,0.553137,0.332476
14.1167,0.102901,2.571499,0.549051,0.294446
14.1333,0.133954,2.578649,0.543959,0.262637
14.1500,0.158227,2.579742,0.539340,0.235042
14.1667,0.179423,2.578241,0.534878,0.217161
14.1833,0.191626,2.574770,0.532643,0.203213
14.2000,0.197474,2.568412,0.531210,0.193955
14.2167,0.199766,2.560642,0.530100,0.187126
14.2333,0.201957,2.552863,0.527931,0.182873
14.2500,0.209370,2.544522,0.523533,0.181928
14.2667,0.217890,2.535222,0.518172,0.187221
14.2833,0.228673,2.527937,0.513112,0.195186
14.3000,0.235148,2.521235,0.509163,0.200767
14.3167,0.246245,2.521030,0.506419,0.208302
14.3333,0.258254,2.524223,0.504769,0.212088
14.3500,0.271722,2.533973,0.505396,0.212975
14.3667,0.283880,2.539097,0.504923,0.215543
14.3833,0.300023,2.550616,0.505812,0.220715
14.4000,0.310182,2.551808,0.504797,0.230799
14.4167,0.321597,2.557359,0.505027,0.241406
14.4333,0.333087,2.556439,0.502701,0.254226
14.4500,0.353556,2.567285,0.502660,0.271911
14.4667,0.354497,2.566230,0.502584,0.272586
14.4833,0.368018,2.582054,0.506253,0.277184
14.5000,0.397584,2.623382,0.516103,0.297585
14.5167,0.413476,2.638547,0.520819,0.310653
