t_s,q_pitch,q_roll,q_yaw,q_elbow
7.0833,0.421507,-0.544892,-0.013473,1.447360
7.1000,0.393527,-0.544807,-0.098775,1.504620
7.1167,0.387863,-0.548372,-0.127295,1.504629
7.1333,0.381369,-0.550198,-0.134926,1.504635
7.2333,0.164934,-0.127715,0.008377,1.173306
7.2500,0.189402,-0.091170,0.105196,0.971504
7.2667,0.170736,-0.079076,0.163012,0.927694
7.2833,0.167136,-0.093766,0.216052,0.884504
7.3000,0.168827,-0.122982,0.249356,0.872788
7.3167,0.176113,-0.151859,0.254923,0.877062
7.3333,0.178755,-0.194136,0.282690,0.906066
7.3500,0.181332,-0.239317,0.308721,0.955626
7.4000,0.157233,-0.370362,0.237178,1.276639
7.4167,0.122632,-0.402897,0.065625,1.410506
7.4333,0.090392,-0.431420,-0.039471,1.472462
7.5333,-0.024672,-0.373334,0.042755,1.031575
7.5500,-0.014926,-0.393352,0.100104,0.865575
7.5667,-0.022675,-0.411355,0.145189,0.790184
7.5833,-0.025321,-0.432471,0.183731,0.740979
7.6000,-0.029128,-0.444413,0.211410,0.719508
7.6167,-0.026717,-0.461842,0.230297,0.709740
7.6333,-0.018664,-0.479524,0.236751,0.711727
7.6500,-0.008149,-0.490960,0.250644,0.712339
7.6667,0.009834,-0.504856,0.268941,0.710025
7.6833,0.036916,-0.523344,0.290562,0.703978
7.7000,0.044828,-0.521051,0.301873,0.705998
7.7167,0.044481,-0.518430,0.312229,0.707567
7.7333,0.040424,-0.517807,0.321306,0.706608
7.7500,0.030373,-0.517149,0.334012,0.707245
7.7667,0.004638,-0.508373,0.355579,0.711987
7.7833,-0.016712,-0.495096,0.365655,0.701105
7.8000,-0.042221,-0.482444,0.375178,0.687921
7.8167,-0.070109,-0.478519,0.386172,0.669139
7.8333,-0.106697,-0.481576,0.397798,0.661537
7.8500,-0.142192,-0.496317,0.396332,0.642798
7.8667,-0.177882,-0.515121,0.401959,0.614209
7.8833,-0.235205,-0.545306,0.402716,0.614655
7.9500,-0.303548,-0.493930,0.442841,0.294631
7.9667,-0.323057,-0.507666,0.463494,0.202089
7.9833,-0.330234,-0.526936,0.484853,0.122674
8.0000,-0.333824,-0.543412,0.508333,0.062233
8.0167,-0.336961,-0.557554,0.532186,0.021863
8.0333,-0.345636,-0.553918,0.546924,0.014394
8.0500,-0.374359,-0.533417,0.578272,0.034021
8.0833,-0.313919,-0.606687,0.588220,-0.037990
8.1333,-0.155799,-0.804762,0.559065,-0.097814
8.1500,-0.107081,-0.864578,0.559830,-0.087233
8.1667,-0.072506,-0.914898,0.559021,-0.080021
8.1833,-0.043776,-0.958332,0.558327,-0.061921
8.2000,-0.028381,-0.978639,0.560163,-0.056367
8.2167,0.001259,-1.007551,0.565392,-0.052601
8.2333,0.030261,-1.034712,0.568686,-0.040781
8.2500,0.075700,-1.067705,0.577418,-0.031746
8.2833,0.188753,-1.158390,0.588078,-0.012406
8.4667,-0.087323,0.380000,0.624302,1.286881
8.4833,-0.048281,0.380000,0.841146,1.194576
8.5000,-0.048483,0.380000,0.921884,1.203206
8.5167,-0.025425,0.380000,0.959997,1.198330
8.5333,0.014501,0.380000,0.976358,1.196991
8.5500,0.060643,0.380000,0.982273,1.198751
8.5667,0.101315,0.380000,0.982732,1.202765
8.6667,0.338576,0.380000,1.043170,1.155511
8.8000,0.078807,-0.446305,0.883130,0.679226
8.8167,0.095102,-0.560234,0.850600,0.549087
8.8333,0.082421,-0.600754,0.833782,0.550489
8.9000,0.096197,-0.574284,0.630053,1.205345
8.9167,0.067847,-0.545411,0.181582,1.395607
8.9333,0.052508,-0.568481,-0.023000,1.490337
8.9500,0.063675,-0.598959,-0.105173,1.504167
8.9667,0.090645,-0.616911,-0.132540,1.504961
8.9833,0.116996,-0.622584,-0.140712,1.504842
9.0000,0.131331,-0.617332,-0.142555,1.504686
9.0167,0.148169,-0.607215,-0.142853,1.504695
9.0333,0.167206,-0.601251,-0.142849,1.504702
9.0500,0.174904,-0.594336,-0.142448,1.504643
9.0667,0.176224,-0.587639,-0.141857,1.504600
9.0833,0.178586,-0.580735,-0.141719,1.504569
9.1000,0.178868,-0.573037,-0.140785,1.504601
9.1167,0.175333,-0.565766,-0.139693,1.504603
9.1333,0.172860,-0.560703,-0.139049,1.504604
9.1500,0.169824,-0.556486,-0.138711,1.504603
9.1667,0.168951,-0.550812,-0.137690,1.504605
9.1833,0.171145,-0.545131,-0.139003,1.504572
9.2000,0.171096,-0.540250,-0.138537,1.504600
9.2167,0.171783,-0.532627,-0.138447,1.504598
9.2333,0.171059,-0.524109,-0.137562,1.504599
