t_s,q_pitch,q_roll,q_yaw,q_elbow
2.8333,0.055383,-0.194248,0.212828,1.080068
2.8667,0.043981,-0.196420,0.247141,1.032693
2.9000,-0.007190,-0.179705,0.283388,1.124296
2.9333,-0.043252,-0.184124,0.295489,1.150397
2.9667,-0.086389,-0.183978,0.300739,1.170059
3.0000,-0.115611,-0.186353,0.299676,1.157998
3.0333,-0.139790,-0.169615,0.302580,1.190497
3.0667,-0.169586,-0.162831,0.294556,1.218191
3.1000,-0.194734,-0.148861,0.266380,1.269481
3.1333,-0.211776,-0.138655,0.229223,1.302520
3.1667,-0.232319,-0.119787,0.155682,1.357312
3.2000,-0.256530,-0.104911,0.048058,1.430467
3.2333,-0.284896,-0.103953,-0.032621,1.479315
3.2667,-0.295281,-0.104454,-0.076680,1.490312
3.3000,-0.311279,-0.109930,-0.097720,1.498355
3.3333,-0.314901,-0.111741,-0.109474,1.501951
3.3667,-0.318751,-0.105673,-0.113450,1.501706
3.4000,-0.318009,-0.092472,-0.113259,1.502643
3.4333,-0.316434,-0.084963,-0.109610,1.490716
3.4667,-0.241532,-0.076889,-0.021845,1.317620
3.5000,-0.215353,-0.075377,0.055927,1.265680
3.5333,-0.196681,-0.078904,0.114664,1.212497
3.5667,-0.174319,-0.083212,0.165941,1.160432
3.6000,-0.179930,-0.087389,0.186864,1.149272
3.6333,-0.183201,-0.075587,0.206555,1.154334
3.6667,-0.194942,-0.077622,0.216103,1.152720
3.7000,-0.173428,-0.079295,0.255950,1.096331
3.7333,-0.137957,-0.045300,0.281273,1.096200
3.7667,-0.163258,-0.025218,0.307855,1.184834
3.8000,-0.131698,-0.048693,0.326377,1.129218
3.8333,-0.140620,-0.058748,0.333914,1.137235
3.8667,-0.087720,-0.068978,0.356614,1.092975
3.9000,-0.038921,-0.089529,0.388359,1.011054
3.9333,-0.010879,-0.115872,0.421279,0.928948
3.9667,-0.014763,-0.134217,0.436672,0.917948
4.0000,-0.018167,-0.156976,0.454489,0.888369
4.0333,-0.016126,-0.187389,0.475700,0.845954
4.0667,-0.009961,-0.209913,0.502322,0.788450
4.1000,-0.013815,-0.217007,0.521208,0.811209
4.1333,-0.023436,-0.230729,0.533384,0.829459
4.1667,-0.015298,-0.244670,0.542666,0.844836
4.2000,-0.027017,-0.258111,0.549106,0.876515
4.2333,-0.010876,-0.277355,0.554697,0.869564
4.2667,-0.020665,-0.289490,0.556484,0.888387
4.3000,-0.028917,-0.301924,0.555394,0.893918
4.3333,-0.043380,-0.310808,0.552925,0.934038
4.3667,-0.090171,-0.295536,0.540069,1.010385
4.4000,-0.095755,-0.295972,0.520701,1.061823
4.4333,-0.136465,-0.278913,0.473295,1.152650
4.4667,-0.158191,-0.281896,0.451657,1.126425
4.5000,-0.150521,-0.290356,0.435518,1.091526
4.5333,-0.142230,-0.299462,0.429912,1.047556
4.5667,-0.104272,-0.318289,0.433397,0.995919
4.6000,-0.047302,-0.354703,0.446707,0.893889
4.6333,-0.000532,-0.387229,0.465679,0.804457
4.6667,0.005654,-0.392450,0.481584,0.775799
4.7000,0.035270,-0.418983,0.500810,0.706550
4.7333,0.043479,-0.432811,0.510825,0.703317
4.7667,0.031392,-0.434590,0.523989,0.746052
4.8000,0.005129,-0.416401,0.538012,0.758453
4.8333,-0.004500,-0.414449,0.546282,0.770885
4.8667,0.000194,-0.425098,0.552671,0.759757
4.9000,-0.013382,-0.422005,0.559649,0.806652
4.9333,-0.028344,-0.413493,0.564268,0.822244
4.9667,-0.029222,-0.411954,0.567448,0.813684
5.0000,-0.030556,-0.412063,0.570475,0.824575
5.0333,-0.037060,-0.400358,0.573581,0.821140
5.0667,-0.045493,-0.383547,0.579759,0.804506
5.1000,-0.046282,-0.374487,0.587430,0.783705
5.1333,-0.043137,-0.374580,0.595905,0.761427
5.1667,-0.040455,-0.373609,0.606581,0.725013
5.2000,-0.035194,-0.385032,0.613048,0.713629
5.2333,-0.026593,-0.404711,0.615639,0.709392
5.2667,-0.022153,-0.427601,0.615843,0.707380
5.3000,-0.017050,-0.442625,0.615264,0.709580
5.3333,-0.017570,-0.464332,0.613575,0.736365
5.3667,-0.018044,-0.472442,0.613636,0.759973
5.4000,-0.016752,-0.481351,0.612381,0.770610
5.4333,-0.017016,-0.487491,0.610906,0.780659
5.4667,-0.015641,-0.487235,0.611193,0.781381
5.5000,-0.016623,-0.491152,0.609609,0.789761
5.5333,-0.017792,-0.486987,0.609789,0.794691
5.5667,-0.018724,-0.482988,0.610436,0.793475
5.6000,-0.019770,-0.478276,0.610983,0.796828
5.6333,-0.020833,-0.473584,0.611470,0.800300
5.6667,-0.021217,-0.468333,0.611847,0.808819
5.7000,-0.021905,-0.464911,0.611486,0.813799
5.7333,-0.022053,-0.461933,0.611624,0.814575
5.7667,-0.023097,-0.459884,0.611398,0.815524
5.8000,-0.024280,-0.458289,0.611307,0.813958
5.8333,-0.024194,-0.458906,0.610696,0.812078
5.8667,-0.022511,-0.459812,0.610552,0.813265
5.9000,-0.021736,-0.458997,0.610133,0.818074
5.9333,-0.022365,-0.459976,0.609218,0.820341
5.9667,-0.024632,-0.457572,0.607642,0.829564
6.0000,-0.028122,-0.449487,0.606141,0.845947
6.0333,-0.028977,-0.445886,0.605813,0.846866
6.0667,-0.030864,-0.443063,0.604104,0.850979
6.1000,-0.031945,-0.440791,0.603427,0.852228
6.1333,-0.035663,-0.434902,0.601539,0.859522
6.1667,-0.036231,-0.434861,0.600909,0.859979
6.2000,-0.037747,-0.431747,0.599756,0.862533
6.2333,-0.038420,-0.431168,0.599238,0.862936
6.2667,-0.038749,-0.430974,0.598691,0.863547
6.3000,-0.039767,-0.429676,0.597193,0.866384
6.3333,-0.040161,-0.429867,0.596537,0.866733
6.3667,-0.040316,-0.430130,0.595903,0.866679
6.4000,-0.040538,-0.430444,0.595253,0.866191
6.4333,-0.040527,-0.430614,0.594684,0.865436
6.4667,-0.040112,-0.431204,0.593601,0.864029
6.5000,-0.039917,-0.432394,0.592876,0.864364
6.5333,-0.039915,-0.433191,0.592210,0.865195
6.5667,-0.040072,-0.432964,0.591255,0.866509
6.6000,-0.040446,-0.433219,0.590646,0.866885
6.6333,-0.040660,-0.433164,0.590132,0.866553
6.6667,-0.040486,-0.433370,0.588729,0.863888
6.7000,-0.040086,-0.433836,0.587465,0.860798
6.7333,-0.039511,-0.435552,0.585801,0.856205
6.7667,-0.039148,-0.437083,0.584646,0.853619
6.8000,-0.038923,-0.438008,0.583958,0.852158
6.8333,-0.039932,-0.437814,0.583609,0.850990
6.8667,-0.040783,-0.436264,0.583627,0.849567
6.9000,-0.041603,-0.431014,0.584430,0.846244
6.9333,-0.042168,-0.425967,0.585369,0.843260
6.9667,-0.042929,-0.424626,0.585519,0.842527
7.0000,-0.044177,-0.424340,0.585353,0.841730
7.0333,-0.045186,-0.423557,0.585362,0.838869
7.0667,-0.045834,-0.422656,0.585601,0.835490
7.1000,-0.046772,-0.421319,0.585932,0.833156
7.1333,-0.047759,-0.419924,0.586212,0.831901
7.1667,-0.049055,-0.416365,0.586992,0.830156
7.2000,-0.051178,-0.412371,0.587966,0.830479
7.2333,-0.054858,-0.406874,0.589373,0.833786
7.2667,-0.057913,-0.401161,0.590780,0.838053
7.3000,-0.060407,-0.395977,0.591956,0.842822
