t_s,q_pitch,q_roll,q_yaw,q_elbow
6.7167,0.140176,-0.632432,0.045444,0.868766
6.7333,0.224393,-0.594828,0.112563,0.577501
6.7500,0.268300,-0.571736,0.177765,0.436436
6.7667,0.265453,-0.542105,0.243993,0.304215
6.7833,0.296287,-0.546705,0.303620,0.213413
6.8000,0.347684,-0.549893,0.358940,0.157087
6.8167,0.307503,-0.536866,0.393860,0.153347
6.8333,0.353406,-0.610744,0.415819,0.264085
6.8500,0.363615,-0.615007,0.456439,0.365084
6.8667,0.377892,-0.615375,0.497728,0.545123
6.8833,0.323346,-0.583279,0.517686,0.514393
6.9000,0.288391,-0.561853,0.546155,0.426609
6.9167,0.247711,-0.524111,0.576912,0.353911
6.9333,0.218736,-0.497714,0.606973,0.352412
6.9500,0.206955,-0.477979,0.631237,0.357415
6.9667,0.240752,-0.513252,0.645092,0.377557
6.9833,0.251145,-0.502554,0.675218,0.343048
7.0000,0.283029,-0.549596,0.687664,0.380998
7.0167,0.319517,-0.603430,0.697170,0.464968
7.0333,0.342393,-0.634694,0.704863,0.589494
7.0500,0.365896,-0.637107,0.704877,0.771299
7.0667,0.328457,-0.608097,0.638231,1.062325
7.0833,0.286965,-0.532890,0.301648,1.343136
7.1000,0.233944,-0.524950,0.062095,1.425152
7.1167,0.260916,-0.528206,0.010335,1.350605
7.1333,0.298951,-0.516614,0.052361,1.194952
7.1500,0.302258,-0.516291,0.086564,1.130665
7.1667,0.317395,-0.514251,0.109296,1.115312
7.1833,0.346942,-0.520181,0.137142,1.073519
7.2000,0.371485,-0.512849,0.166637,1.036422
7.2167,0.375611,-0.513278,0.197499,0.970060
7.2333,0.384392,-0.509888,0.238002,0.850218
7.2500,0.384076,-0.515811,0.261362,0.833114
7.2667,0.389441,-0.520504,0.268581,0.833805
7.2833,0.380851,-0.527206,0.286159,0.817995
7.3000,0.379552,-0.537427,0.313986,0.754311
7.3167,0.382075,-0.547715,0.338414,0.729485
7.3333,0.371649,-0.540167,0.362879,0.706597
7.3500,0.345564,-0.529753,0.393702,0.646598
7.3667,0.319919,-0.526105,0.426086,0.566535
