t_s,margin_fid,margin_task,manip_fid,manip_task,viol_fid,viol_task
7.4833,0.3116,0.3272,0.2112,0.2168,0,0
7.5000,0.3088,0.3329,0.2109,0.2120,0,0
7.5167,0.3057,0.3354,0.2108,0.2127,0,0
7.5333,0.3035,0.3356,0.2108,0.2128,0,0
7.5500,0.3032,0.3364,0.2109,0.2130,0,0
7.5667,0.3033,0.3386,0.2113,0.2135,0,0
7.5833,0.3003,0.3442,0.2129,0.2159,0,0
7.6000,0.2947,0.3493,0.2143,0.2181,0,0
7.6167,0.2928,0.3549,0.2160,0.2201,0,0
7.6333,0.2930,0.3611,0.2171,0.2216,0,0
7.6500,0.2941,0.3662,0.2178,0.2226,0,0
7.6667,0.2991,0.3703,0.2168,0.2218,0,0
7.6833,0.3059,0.3746,0.2146,0.2197,0,0
7.7000,0.3149,0.3787,0.2110,0.2161,0,0
7.7167,0.3276,0.3804,0.2043,0.2079,0,0
7.7333,0.3450,0.3790,0.1935,0.1944,0,0
7.7500,0.3672,0.3813,0.1878,0.1866,0,0
7.7667,0.3795,0.3819,0.1837,0.1817,0,0
7.7833,0.3821,0.3809,0.1776,0.1760,0,0
7.8000,0.3842,0.3804,0.1742,0.1734,0,0
7.8167,0.3903,0.3826,0.1760,0.1747,0,0
7.8333,0.4089,0.3846,0.1797,0.1742,0,0
7.8500,0.4373,0.3863,0.1867,0.1728,0,0
7.8667,0.4599,0.3866,0.1959,0.1736,0,0
7.8833,0.4563,0.3931,0.2106,0.1873,0,0
7.9000,0.4652,0.3984,0.2192,0.1970,0,0
7.9167,0.4827,0.4019,0.2223,0.2018,0,0
7.9333,0.4844,0.4053,0.2255,0.2061,0,0
7.9500,0.4869,0.4086,0.2302,0.2114,0,0
7.9667,0.4943,0.4162,0.2357,0.2180,0,0
7.9833,0.4939,0.4204,0.2374,0.2214,0,0
8.0000,0.4893,0.4210,0.2372,0.2227,0,0
8.0167,0.4896,0.4233,0.2382,0.2241,0,0
8.0333,0.4912,0.4240,0.2389,0.2243,0,0
8.0500,0.4896,0.4214,0.2386,0.2233,0,0
8.0667,0.4880,0.4192,0.2385,0.2229,0,0
8.0833,0.4868,0.4183,0.2382,0.2223,0,0
8.1000,0.4828,0.4156,0.2373,0.2218,0,0
8.1167,0.4808,0.4149,0.2373,0.2222,0,0
8.1333,0.4775,0.4148,0.2374,0.2235,0,0
8.1500,0.4735,0.4148,0.2371,0.2244,0,0
8.1667,0.4678,0.4144,0.2355,0.2244,0,0
8.1833,0.4556,0.4119,0.2305,0.2219,0,0
8.2000,0.4428,0.4085,0.2255,0.2191,0,0
8.2167,0.4289,0.4055,0.2199,0.2160,0,0
8.2333,0.4196,0.4029,0.2144,0.2117,0,0
8.2500,0.4156,0.3996,0.2081,0.2044,0,0
8.2667,0.4131,0.3979,0.2035,0.2001,0,0
8.2833,0.4167,0.3995,0.2025,0.1982,0,0
8.3000,0.4207,0.3995,0.2012,0.1957,0,0
8.3333,0.4317,0.3845,0.1834,0.1643,0,0
8.3500,0.4419,0.3871,0.1825,0.1639,0,0
8.3667,0.4455,0.3909,0.1862,0.1637,0,0
8.4000,0.4460,0.3955,0.1816,0.1692,0,0
8.4167,0.4407,0.3919,0.1813,0.1669,0,0
8.4333,0.4346,0.3901,0.1808,0.1688,0,0
8.4500,0.4248,0.3870,0.1792,0.1699,0,0
8.4667,0.4112,0.3828,0.1765,0.1706,0,0
8.4833,0.3968,0.3785,0.1746,0.1714,0,0
8.5000,0.3809,0.3751,0.1732,0.1733,0,0
8.5167,0.3659,0.3728,0.1734,0.1761,0,0
8.5333,0.3518,0.3738,0.1767,0.1822,0,0
8.5500,0.3414,0.3753,0.1802,0.1874,0,0
8.5667,0.3301,0.3756,0.1827,0.1916,0,0
8.5833,0.3256,0.3763,0.1848,0.1938,0,0
8.6000,0.3273,0.3782,0.1865,0.1947,0,0
8.6167,0.3207,0.3769,0.1857,0.1949,0,0
8.6333,0.3139,0.3751,0.1829,0.1925,0,0
8.6500,0.3129,0.3760,0.1815,0.1907,0,0
8.6667,0.3130,0.3780,0.1805,0.1897,0,0
8.6833,0.3148,0.3802,0.1802,0.1894,0,0
