t_s,margin_fid,margin_task,manip_fid,manip_task,viol_fid,viol_task
7.6500,0.0000,0.0747,0.1710,0.1877,1,0
7.6667,0.0000,0.0877,0.1717,0.1875,1,0
7.6833,0.0000,0.1000,0.1722,0.1896,1,0
7.7000,0.0000,0.1081,0.1736,0.1933,1,0
7.7167,0.0000,0.1121,0.1745,0.1957,1,0
7.7333,0.0051,0.1133,0.1760,0.1975,0,0
7.7500,0.0161,0.1124,0.1798,0.1992,0,0
7.7667,0.0294,0.1131,0.1838,0.2008,0,0
7.7833,0.0434,0.1163,0.1875,0.2022,0,0
7.8000,0.0579,0.1205,0.1911,0.2035,0,0
7.8167,0.0720,0.1220,0.1942,0.2042,0,0
7.8333,0.0822,0.1236,0.1964,0.2046,0,0
7.8500,0.0906,0.1253,0.1981,0.2049,0,0
7.8667,0.0987,0.1311,0.1992,0.2055,0,0
7.8833,0.1017,0.1372,0.1989,0.2056,0,0
7.9000,0.1124,0.1473,0.2008,0.2073,0,0
7.9167,0.1258,0.1604,0.2035,0.2097,0,0
7.9333,0.1421,0.1765,0.2065,0.2124,0,0
7.9500,0.1641,0.1966,0.2095,0.2147,0,0
7.9667,0.1957,0.2182,0.2140,0.2174,0,0
7.9833,0.2346,0.2463,0.2175,0.2191,0,0
8.0000,0.2869,0.2927,0.2202,0.2206,0,0
8.1000,0.0000,0.0000,0.0765,0.0850,1,1
8.2000,0.3401,0.3368,0.1645,0.1471,0,0
8.2167,0.4152,0.4083,0.1753,0.1498,0,0
8.2333,0.5031,0.4981,0.1807,0.1546,0,0
8.2667,0.6280,0.6292,0.1849,0.1641,0,0
8.2833,0.6613,0.6548,0.1757,0.1521,0,0
8.3333,0.6867,0.6682,0.1358,0.1010,0,0
8.3500,0.7103,0.6862,0.1237,0.0973,0,0
8.3833,0.7077,0.6298,0.0966,0.0869,0,0
8.4000,0.6620,0.5894,0.0882,0.0863,0,0
8.4167,0.6091,0.5430,0.0840,0.0876,0,0
8.4333,0.5505,0.4902,0.0831,0.0904,0,0
8.4500,0.5034,0.4475,0.0854,0.0943,0,0
8.4667,0.4671,0.4159,0.0876,0.0969,0,0
8.4833,0.4427,0.3944,0.0896,0.0988,0,0
8.5000,0.4335,0.3797,0.0881,0.0974,0,0
8.5167,0.4322,0.3708,0.0857,0.0950,0,0
8.5333,0.4329,0.3648,0.0833,0.0927,0,0
8.5500,0.4401,0.3662,0.0842,0.0934,0,0
8.5667,0.4563,0.3737,0.0858,0.0947,0,0
8.5833,0.4783,0.3833,0.0879,0.0967,0,0
8.6000,0.4880,0.3894,0.0895,0.0983,0,0
8.6167,0.5006,0.3952,0.0922,0.1008,0,0
8.6333,0.5030,0.3979,0.0958,0.1042,0,0
8.6500,0.4911,0.3999,0.0993,0.1079,0,0
8.6667,0.4724,0.4048,0.1035,0.1126,0,0
8.7667,0.4922,0.4893,0.1420,0.1455,0,0
8.8333,0.3369,0.3301,0.1960,0.1910,0,0
8.9333,0.0062,0.2069,0.1307,0.1662,0,0
9.0167,0.0000,0.1235,0.1715,0.1983,1,0
9.0333,0.0000,0.0821,0.1724,0.1891,1,0
9.0500,0.0000,0.0547,0.1724,0.1837,1,0
9.0667,0.0000,0.0397,0.1718,0.1799,1,0
9.0833,0.0000,0.0318,0.1715,0.1780,1,0
9.1000,0.0000,0.0297,0.1714,0.1777,1,0
9.1167,0.0000,0.0375,0.1711,0.1798,1,0
9.1333,0.0115,0.0526,0.1745,0.1841,0,0
9.1500,0.0347,0.0749,0.1808,0.1897,0,0
9.1667,0.0657,0.1046,0.1886,0.1965,0,0
9.1833,0.0980,0.1402,0.1951,0.2028,0,0
9.2167,0.1985,0.2340,0.2118,0.2164,0,0
9.3167,0.0000,0.0000,0.0714,0.0805,1,1
9.4167,0.4928,0.5545,0.2312,0.2200,0,0
9.4333,0.5129,0.6286,0.2264,0.2122,0,0
9.4500,0.5194,0.7070,0.2156,0.2016,0,0
9.4667,0.5165,0.7574,0.2008,0.1862,0,0
9.4833,0.5281,0.7738,0.1891,0.1729,0,0
9.5000,0.5485,0.7821,0.1821,0.1636,0,0
9.5333,0.5658,0.7715,0.1717,0.1404,0,0
9.5500,0.5528,0.7687,0.1674,0.1295,0,0
9.6500,0.5771,0.4822,0.0664,0.0750,0,0
9.6667,0.4701,0.4373,0.0771,0.0869,0,0
9.6833,0.4081,0.4026,0.0856,0.0957,0,0
9.7000,0.3778,0.3859,0.0900,0.0998,0,0
9.7167,0.3676,0.3808,0.0914,0.1011,0,0
9.7333,0.3723,0.3844,0.0904,0.1003,0,0
9.7500,0.3879,0.3958,0.0889,0.0993,0,0
9.7667,0.3978,0.4061,0.0887,0.0997,0,0
9.7833,0.4028,0.4129,0.0903,0.1020,0,0
9.8000,0.4080,0.4214,0.0931,0.1056,0,0
9.8167,0.4191,0.4336,0.0982,0.1116,0,0
9.8333,0.4147,0.4399,0.1078,0.1217,0,0
9.8500,0.4079,0.4492,0.1178,0.1322,0,0
9.8667,0.4063,0.4633,0.1260,0.1407,0,0
9.8833,0.4137,0.4862,0.1303,0.1455,0,0
