t_s,margin_fid,margin_task,manip_fid,manip_task,viol_fid,viol_task
2.8000,0.3463,0.3192,0.1113,0.0000,0,0
2.8333,0.2953,0.2902,0.0001,0.0027,0,0
2.8667,0.2542,0.2715,0.0369,0.0000,0,0
2.9000,0.2880,0.2959,0.0034,0.0002,0,0
2.9333,0.2981,0.3075,0.0003,0.0003,0,0
2.9667,0.3047,0.3126,0.0001,0.0003,0,0
3.0000,0.2976,0.3010,0.0005,0.0000,0,0
3.0333,0.3047,0.3097,0.0003,0.0008,0,0
3.0667,0.3155,0.3228,0.0001,0.0019,0,0
3.1000,0.2812,0.3170,0.0457,0.0790,0,0
3.1333,0.2674,0.3113,0.0552,0.0677,0,0
3.1667,0.2726,0.3074,0.0392,0.0601,0,0
3.2000,0.2975,0.3047,0.0055,0.0460,0,0
3.2333,0.3176,0.2956,0.0545,0.0713,0,0
3.2667,0.3415,0.2992,0.0911,0.0894,0,0
3.3000,0.3309,0.3026,0.0695,0.0647,0,0
3.3333,0.3328,0.3170,0.0485,0.0523,0,0
3.3667,0.3202,0.3270,0.0041,0.0309,0,0
3.4000,0.3171,0.3250,0.0003,0.0268,0,0
3.4333,0.3118,0.3229,0.0004,0.0248,0,0
3.4667,0.3061,0.3258,0.0157,0.0573,0,0
3.5000,0.2953,0.3242,0.0293,0.0481,0,0
3.5333,0.3032,0.3214,0.0135,0.0449,0,0
3.5667,0.3017,0.3222,0.0020,0.0363,0,0
3.6000,0.3065,0.3165,0.0002,0.0111,0,0
3.6333,0.3037,0.3129,0.0001,0.0091,0,0
3.6667,0.2907,0.2956,0.0005,0.0084,0,0
3.7000,0.2827,0.2868,0.0003,0.0099,0,0
3.7333,0.2828,0.2865,0.0003,0.0125,0,0
3.7667,0.2789,0.2826,0.0002,0.0131,0,0
3.8000,0.2780,0.2823,0.0002,0.0077,0,0
3.8333,0.2749,0.2790,0.0002,0.0068,0,0
3.8667,0.2705,0.2743,0.0003,0.0095,0,0
3.9000,0.2699,0.2738,0.0001,0.0114,0,0
3.9333,0.2733,0.2769,0.0005,0.0197,0,0
3.9667,0.2719,0.2754,0.0012,0.0281,0,0
4.0000,0.2688,0.2693,0.0117,0.0390,0,0
4.0333,0.2761,0.2685,0.0278,0.0386,0,0
4.0667,0.2791,0.2698,0.0306,0.0383,0,0
4.1000,0.2771,0.2675,0.0315,0.0379,0,0
4.1333,0.2799,0.2697,0.0325,0.0379,0,0
4.1667,0.2713,0.2721,0.0111,0.0237,0,0
4.2000,0.2699,0.2739,0.0010,0.0201,0,0
4.2333,0.2721,0.2771,0.0001,0.0077,0,0
4.2667,0.2759,0.2809,0.0002,0.0056,0,0
4.3000,0.2773,0.2817,0.0002,0.0039,0,0
4.3333,0.2905,0.2963,0.0002,0.0022,0,0
4.3667,0.3086,0.3145,0.0003,0.0018,0,0
4.4000,0.3083,0.3117,0.0005,0.0017,0,0
4.4333,0.3103,0.3136,0.0003,0.0019,0,0
4.4667,0.3001,0.3053,0.0002,0.0015,0,0
4.5000,0.2946,0.3006,0.0002,0.0023,0,0
4.5333,0.2943,0.3113,0.0163,0.0313,0,0
4.5667,0.2678,0.3070,0.0731,0.0851,0,0
4.6000,0.2703,0.3054,0.0851,0.0789,0,0
4.6333,0.2682,0.2865,0.0809,0.0664,0,0
4.6667,0.2641,0.2762,0.0821,0.0913,0,0
4.7000,0.2667,0.2818,0.0794,0.0843,0,0
4.7333,0.2735,0.2962,0.0987,0.1144,0,0
4.7667,0.2794,0.3032,0.0995,0.1091,0,0
4.8000,0.2898,0.3174,0.1298,0.1403,0,0
4.8333,0.2908,0.3137,0.1257,0.1204,0,0
4.8667,0.2943,0.3177,0.1253,0.1292,0,0
4.9000,0.2991,0.3259,0.1282,0.1334,0,0
4.9333,0.3056,0.3340,0.1297,0.1353,0,0
4.9667,0.3214,0.3510,0.1402,0.1487,0,0
5.0000,0.3486,0.3725,0.1641,0.1706,0,0
5.0333,0.3478,0.3729,0.1561,0.1555,0,0
5.0667,0.3442,0.3740,0.1498,0.1518,0,0
5.1000,0.3400,0.3739,0.1486,0.1519,0,0
5.1333,0.3344,0.3734,0.1434,0.1473,0,0
5.1667,0.3313,0.3716,0.1454,0.1498,0,0
5.2000,0.3460,0.3855,0.1601,0.1677,0,0
5.2333,0.3469,0.3850,0.1634,0.1680,0,0
5.2667,0.3432,0.3795,0.1693,0.1728,0,0
5.3000,0.3335,0.3714,0.1709,0.1746,0,0
5.3333,0.3283,0.3664,0.1770,0.1812,0,0
5.3667,0.3165,0.3606,0.1741,0.1789,0,0
5.4000,0.3105,0.3618,0.1677,0.1740,0,0
5.4333,0.3101,0.3632,0.1691,0.1762,0,0
5.4667,0.3083,0.3614,0.1692,0.1763,0,0
5.5000,0.3156,0.3659,0.1756,0.1827,0,0
5.5333,0.3219,0.3705,0.1804,0.1869,0,0
5.5667,0.3298,0.3762,0.1878,0.1939,0,0
5.6000,0.3254,0.3747,0.1876,0.1936,0,0
5.6333,0.3253,0.3753,0.1897,0.1957,0,0
5.6667,0.3276,0.3786,0.1911,0.1973,0,0
5.7000,0.3261,0.3772,0.1911,0.1972,0,0
5.7333,0.3297,0.3836,0.1884,0.1955,0,0
5.7667,0.3301,0.3855,0.1867,0.1937,0,0
5.8000,0.3292,0.3842,0.1869,0.1938,0,0
5.8333,0.3291,0.3842,0.1862,0.1933,0,0
5.8667,0.3277,0.3815,0.1875,0.1943,0,0
5.9000,0.3269,0.3806,0.1874,0.1942,0,0
5.9333,0.3275,0.3806,0.1883,0.1951,0,0
5.9667,0.3308,0.3828,0.1912,0.1978,0,0
6.0000,0.3333,0.3857,0.1919,0.1986,0,0
6.0333,0.3342,0.3864,0.1938,0.2004,0,0
6.0667,0.3345,0.3880,0.1967,0.2032,0,0
6.1000,0.3342,0.3887,0.1970,0.2036,0,0
6.1333,0.3300,0.3880,0.1984,0.2051,0,0
6.1667,0.3308,0.3903,0.2024,0.2093,0,0
6.2000,0.3320,0.3925,0.2041,0.2110,0,0
6.2333,0.3337,0.3918,0.2086,0.2153,0,0
6.2667,0.3335,0.3877,0.2141,0.2206,0,0
6.3000,0.3353,0.3882,0.2220,0.2281,0,0
6.3333,0.3376,0.3869,0.2279,0.2337,0,0
6.3667,0.3397,0.3878,0.2323,0.2379,0,0
6.4000,0.3434,0.3925,0.2369,0.2425,0,0
