t_s,margin_fid,margin_task,manip_fid,manip_task,viol_fid,viol_task
6.7167,0.3633,0.5352,0.2216,0.1795,0,0
6.7333,0.2765,0.5146,0.2566,0.2333,0,0
6.7500,0.1346,0.5019,0.2652,0.2502,0,0
6.7667,0.0775,0.4858,0.2703,0.2597,0,0
6.7833,0.0000,0.4878,0.2644,0.2615,1,0
6.8000,0.0647,0.4892,0.2695,0.2617,0,0
6.8167,0.0812,0.4824,0.2836,0.2630,0,0
6.8333,0.1325,0.5156,0.2861,0.2628,0,0
6.8500,0.1571,0.5113,0.2842,0.2610,0,0
6.8667,0.2091,0.5052,0.2722,0.2466,0,0
6.8833,0.1734,0.5072,0.2775,0.2519,0,0
6.9000,0.1277,0.4957,0.2840,0.2614,0,0
6.9167,0.0788,0.4757,0.2874,0.2671,0,0
6.9333,0.0600,0.4619,0.2871,0.2679,0,0
6.9500,0.0482,0.4515,0.2863,0.2680,0,0
6.9667,0.0715,0.4703,0.2856,0.2674,0,0
6.9833,0.0482,0.4647,0.2865,0.2696,0,0
7.0000,0.0851,0.4896,0.2850,0.2681,0,0
7.0167,0.1433,0.5183,0.2794,0.2611,0,0
7.0333,0.2018,0.5202,0.2667,0.2451,0,0
7.0500,0.2663,0.5105,0.2379,0.2119,0,0
7.0667,0.3494,0.5226,0.1768,0.1381,0,0
7.0833,0.4093,0.4889,0.1054,0.0529,0,0
7.1000,0.4159,0.4862,0.0935,0.0352,0,0
7.1167,0.4192,0.4889,0.0994,0.0554,0,0
7.1333,0.3826,0.4848,0.1430,0.1018,0,0
7.1500,0.3628,0.4842,0.1644,0.1203,0,0
7.1667,0.3577,0.4821,0.1667,0.1246,0,0
7.1833,0.3501,0.4847,0.1759,0.1362,0,0
7.2000,0.3345,0.4803,0.1862,0.1467,0,0
7.2167,0.3138,0.4803,0.2037,0.1643,0,0
7.2333,0.2773,0.4786,0.2291,0.1934,0,0
7.2500,0.2729,0.4813,0.2329,0.1972,0,0
7.2667,0.2759,0.4836,0.2326,0.1970,0,0
7.2833,0.2730,0.4868,0.2364,0.2004,0,0
7.3000,0.2572,0.4919,0.2468,0.2133,0,0
7.3167,0.2513,0.4969,0.2502,0.2180,0,0
7.3333,0.2363,0.4925,0.2546,0.2229,0,0
7.3500,0.2069,0.4866,0.2638,0.2338,0,0
7.3667,0.1748,0.4843,0.2732,0.2459,0,0
7.3833,0.1008,0.4616,0.2849,0.2616,0,0
7.4000,0.1188,0.4679,0.2788,0.2660,0,0
7.4167,0.0000,0.5148,0.2524,0.2661,1,0
7.4333,0.0000,0.5202,0.2116,0.2642,1,0
7.4500,0.0000,0.5337,0.1410,0.2611,1,0
7.4667,0.3203,0.5454,0.2521,0.2612,0,0
7.4833,0.4614,0.5409,0.2555,0.2606,0,0
7.5000,0.4676,0.5386,0.2561,0.2611,0,0
7.5167,0.4744,0.5341,0.2579,0.2624,0,0
7.5333,0.4809,0.5394,0.2591,0.2639,0,0
7.5500,0.4839,0.5461,0.2599,0.2651,0,0
7.5667,0.4761,0.5377,0.2613,0.2663,0,0
7.5833,0.4659,0.5275,0.2626,0.2678,0,0
7.6000,0.4554,0.5162,0.2629,0.2683,0,0
7.6167,0.4399,0.4997,0.2623,0.2679,0,0
7.6333,0.4311,0.4893,0.2605,0.2663,0,0
7.6500,0.4100,0.4706,0.2600,0.2658,0,0
7.6667,0.3991,0.4624,0.2593,0.2658,0,0
7.6833,0.4124,0.4777,0.2616,0.2688,0,0
7.7000,0.4155,0.4864,0.2637,0.2709,0,0
7.7167,0.4627,0.5468,0.2638,0.2717,0,0
7.7333,0.4758,0.5642,0.2633,0.2712,0,0
7.7500,0.4768,0.5834,0.2612,0.2695,0,0
7.7667,0.4824,0.5549,0.2587,0.2670,0,0
7.7833,0.4963,0.4836,0.2493,0.2564,0,0
7.8000,0.5004,0.5000,0.2530,0.2611,0,0
7.8167,0.4733,0.4638,0.2484,0.2553,0,0
7.8333,0.4280,0.4117,0.2363,0.2412,0,0
7.8500,0.4022,0.3860,0.2266,0.2307,0,0
7.8667,0.4016,0.3925,0.2291,0.2358,0,0
7.8833,0.3944,0.3852,0.2290,0.2356,0,0
7.9000,0.3809,0.3707,0.2274,0.2337,0,0
7.9167,0.3494,0.3327,0.2163,0.2206,0,0
7.9333,0.3220,0.3070,0.2062,0.2111,0,0
7.9500,0.3172,0.3076,0.2081,0.2151,0,0
7.9667,0.2972,0.2791,0.1980,0.2023,0,0
7.9833,0.2887,0.2716,0.1933,0.1982,0,0
8.0000,0.2928,0.2738,0.1928,0.1965,0,0
8.0167,0.3128,0.3010,0.2023,0.2094,0,0
8.0333,0.3281,0.3077,0.2044,0.2058,0,0
8.0500,0.3385,0.3195,0.2074,0.2047,0,0
8.0667,0.3583,0.3381,0.2113,0.2030,0,0
8.0833,0.3841,0.3698,0.2200,0.2100,0,0
8.1000,0.4014,0.3896,0.2264,0.2151,0,0
8.1167,0.4186,0.4014,0.2275,0.2104,0,0
8.1333,0.4241,0.4205,0.2306,0.2107,0,0
8.1500,0.4076,0.4634,0.2388,0.2164,0,0
8.1667,0.3973,0.4617,0.2466,0.2227,0,0
8.1833,0.4024,0.4522,0.2472,0.2252,0,0
8.2000,0.4237,0.5024,0.2423,0.2173,0,0
8.2167,0.4345,0.4220,0.2361,0.2184,0,0
8.2333,0.4284,0.3808,0.2317,0.2192,0,0
8.2500,0.4004,0.3867,0.2441,0.2273,0,0
8.2667,0.3610,0.4207,0.2542,0.2341,0,0
8.2833,0.3981,0.4619,0.2390,0.2236,0,0
8.3000,0.3910,0.4279,0.2361,0.2261,0,0
8.3167,0.3315,0.4054,0.2402,0.2281,0,0
8.3333,0.2679,0.4247,0.2509,0.2421,0,0
8.3500,0.2610,0.4469,0.2578,0.2486,0,0
8.3667,0.2224,0.4706,0.2669,0.2555,0,0
8.3833,0.1816,0.4936,0.2738,0.2631,0,0
8.4000,0.1366,0.5245,0.2840,0.2684,0,0
8.4167,0.1656,0.5417,0.2850,0.2672,0,0
8.4333,0.1865,0.5611,0.2839,0.2672,0,0
8.4667,0.2620,0.5492,0.2667,0.2523,0,0
8.5167,0.2895,0.5825,0.2474,0.2299,0,0
