t_s,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow,left_wrist_roll,left_wrist_pitch,left_wrist_yaw,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,right_wrist_roll,right_wrist_pitch,right_wrist_yaw,waist_yaw
6.9500,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.900337,-0.653322,0.045886,0.493243,0.000000,0.000000,0.000000,0.000000
6.9667,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.846394,-0.620997,0.106786,0.445913,0.000000,0.000000,0.000000,0.000000
6.9833,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.793032,-0.591221,0.166818,0.399993,0.000000,0.000000,0.000000,0.000000
7.0833,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.741165,-0.565196,0.225045,0.356170,0.000000,0.000000,0.000000,0.000000
7.1000,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.691635,-0.544055,0.280545,0.315356,0.000000,0.000000,0.000000,0.000000
7.1167,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.645082,-0.528687,0.332501,0.278490,0.000000,0.000000,0.000000,0.000000
7.1333,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.601859,-0.519610,0.380273,0.246321,0.000000,0.000000,0.000000,0.000000
7.1500,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.562040,-0.516964,0.423422,0.219299,0.000000,0.000000,0.000000,0.000000
7.1667,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.525466,-0.520537,0.461710,0.197533,0.000000,0.000000,0.000000,0.000000
7.1833,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.491796,-0.529802,0.495088,0.180789,0.000000,0.000000,0.000000,0.000000
7.2000,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.460568,-0.543960,0.523680,0.168502,0.000000,0.000000,0.000000,0.000000
7.2167,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.431262,-0.561994,0.547762,0.159810,0.000000,0.000000,0.000000,0.000000
7.2833,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.403383,-0.582726,0.567744,0.153619,0.000000,0.000000,0.000000,0.000000
7.3833,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.376523,-0.604911,0.584134,0.148776,0.000000,0.000000,0.000000,0.000000
7.4000,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.350389,-0.627355,0.597496,0.144321,0.000000,0.000000,0.000000,0.000000
7.4167,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.324776,-0.649020,0.608393,0.139663,0.000000,0.000000,0.000000,0.000000
7.4333,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.299549,-0.669081,0.617353,0.134574,0.000000,0.000000,0.000000,0.000000
7.4500,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.274647,-0.686943,0.624854,0.129070,0.000000,0.000000,0.000000,0.000000
