t_wall,t_rel,weight,mode_machine,cmd_left_shoulder_pitch,cmd_left_shoulder_roll,cmd_left_shoulder_yaw,cmd_left_elbow,cmd_left_wrist_roll,cmd_left_wrist_pitch,cmd_left_wrist_yaw,cmd_right_shoulder_pitch,cmd_right_shoulder_roll,cmd_right_shoulder_yaw,cmd_right_elbow,cmd_right_wrist_roll,cmd_right_wrist_pitch,cmd_right_wrist_yaw,cmd_waist_yaw,exe_left_shoulder_pitch,exe_left_shoulder_roll,exe_left_shoulder_yaw,exe_left_elbow,exe_left_wrist_roll,exe_left_wrist_pitch,exe_left_wrist_yaw,exe_right_shoulder_pitch,exe_right_shoulder_roll,exe_right_shoulder_yaw,exe_right_elbow,exe_right_wrist_roll,exe_right_wrist_pitch,exe_right_wrist_yaw,exe_waist_yaw,err_left_shoulder_pitch,err_left_shoulder_roll,err_left_shoulder_yaw,err_left_elbow,err_left_wrist_roll,err_left_wrist_pitch,err_left_wrist_yaw,err_right_shoulder_pitch,err_right_shoulder_roll,err_right_shoulder_yaw,err_right_elbow,err_right_wrist_roll,err_right_wrist_pitch,err_right_wrist_yaw,err_waist_yaw,cmdtau_left_shoulder_pitch,cmdtau_left_shoulder_roll,cmdtau_left_shoulder_yaw,cmdtau_left_elbow,cmdtau_left_wrist_roll,cmdtau_left_wrist_pitch,cmdtau_left_wrist_yaw,cmdtau_right_shoulder_pitch,cmdtau_right_shoulder_roll,cmdtau_right_shoulder_yaw,cmdtau_right_elbow,cmdtau_right_wrist_roll,cmdtau_right_wrist_pitch,cmdtau_right_wrist_yaw,cmdtau_waist_yaw,exedq_left_shoulder_pitch,exedq_left_shoulder_roll,exedq_left_shoulder_yaw,exedq_left_elbow,exedq_left_wrist_roll,exedq_left_wrist_pitch,exedq_left_wrist_yaw,exedq_right_shoulder_pitch,exedq_right_shoulder_roll,exedq_right_shoulder_yaw,exedq_right_elbow,exedq_right_wrist_roll,exedq_right_wrist_pitch,exedq_right_wrist_yaw,exedq_waist_yaw,exetau_left_shoulder_pitch,exetau_left_shoulder_roll,exetau_left_shoulder_yaw,exetau_left_elbow,exetau_left_wrist_roll,exetau_left_wrist_pitch,exetau_left_wrist_yaw,exetau_right_shoulder_pitch,exetau_right_shoulder_roll,exetau_right_shoulder_yaw,exetau_right_elbow,exetau_right_wrist_roll,exetau_right_wrist_pitch,exetau_right_wrist_yaw,exetau_waist_yaw
1788216961.308771,0.0000,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.294005,0.241781,-0.119031,0.664555,0.002956,0.011023,-0.003002,0.285227,-0.237980,0.117650,0.682929,0.005912,0.016643,-0.002559,0.000946,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.010908,0.011999,0.013713,-0.006545,-0.006136,-0.003068,-0.018408,0.005454,0.005454,0.003428,0.013090,0.001534,0.006136,0.021476,-0.000433,2.636719,2.724609,1.733842,-1.494141,-0.187500,-0.312500,-0.062500,2.109375,-5.185547,-1.174538,-2.197266,-0.312500,-0.187500,-0.062500,-0.585938
1788216961.328902,0.0201,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.294005,0.241790,-0.119045,0.664572,0.002956,0.011035,-0.002954,0.285218,-0.237972,0.117650,0.682929,0.005888,0.016631,-0.002583,0.000971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004363,-0.011999,0.000000,-0.005454,0.006136,-0.001534,0.010738,-0.005454,0.008727,-0.005142,0.014181,-0.013806,0.006136,0.000000,-0.000114,2.636719,2.988281,1.733842,-1.494141,-0.187500,-0.312500,-0.062500,2.021484,-5.097656,-1.174538,-2.197266,-0.250000,-0.250000,0.000000,-0.527344
1788216961.348907,0.0401,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.293988,0.241781,-0.119031,0.664572,0.002944,0.011035,-0.002966,0.285218,-0.237980,0.117663,0.682920,0.005828,0.016631,-0.002583,0.000971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.004363,0.010908,0.010285,0.029452,-0.001534,0.006136,-0.003068,-0.002182,-0.007636,0.000000,0.003272,-0.016874,0.003068,-0.012272,0.000037,2.636719,2.812500,1.733842,-1.494141,-0.187500,-0.375000,-0.062500,2.109375,-5.097656,-1.174538,-2.197266,-0.187500,-0.250000,-0.062500,-0.585938
1788216961.368909,0.0601,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.294014,0.241773,-0.119031,0.664580,0.002944,0.011035,-0.002966,0.285218,-0.237980,0.117663,0.682911,0.005852,0.016619,-0.002571,0.000946,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001091,-0.004363,-0.006857,0.003272,-0.007670,0.000000,-0.001534,0.003272,0.008727,0.008571,0.005454,0.001534,0.004602,0.006136,-0.000796,2.636719,2.900391,1.733842,-1.406250,-0.187500,-0.312500,-0.062500,2.109375,-5.185547,-1.174538,-2.197266,-0.187500,-0.250000,-0.062500,-0.585938
1788216961.388888,0.0801,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.294014,0.241790,-0.119045,0.664555,0.002968,0.011047,-0.002954,0.285227,-0.237989,0.117663,0.682911,0.005888,0.016631,-0.002595,0.000971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.006545,0.018544,0.000000,-0.020726,0.009204,0.001534,-0.004602,0.008727,-0.028362,-0.005142,0.011999,-0.018408,0.004602,-0.007670,0.000171,2.636719,2.900391,1.789773,-1.406250,-0.187500,-0.312500,-0.062500,2.109375,-4.833984,-1.174538,-2.197266,-0.250000,-0.250000,-0.062500,-0.410156
1788216961.408909,0.1001,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.294005,0.241739,-0.119058,0.664563,0.002944,0.011011,-0.002954,0.285227,-0.237997,0.117663,0.682911,0.005864,0.016619,-0.002583,0.000946,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,-0.023998,-0.021817,0.000000,-0.007670,-0.007670,0.014181,-0.013090,-0.008571,-0.004363,-0.001534,-0.001534,0.000000,-0.000667,2.636719,2.724609,1.733842,-1.406250,-0.187500,-0.312500,-0.062500,2.021484,-5.097656,-1.174538,-2.197266,-0.250000,-0.250000,-0.062500,-0.585938
1788216961.428890,0.1201,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.293996,0.241807,-0.119031,0.664546,0.002944,0.011035,-0.002966,0.285227,-0.237972,0.117663,0.682911,0.005900,0.016631,-0.002583,0.000971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002182,0.030543,0.025712,-0.013090,0.001534,-0.004602,0.006136,0.000000,-0.001091,0.001714,-0.003272,0.013806,0.018408,-0.006136,0.000061,2.636719,2.900391,1.733842,-1.494141,-0.187500,-0.312500,-0.062500,2.109375,-5.185547,-1.174538,-2.197266,-0.312500,-0.250000,-0.062500,-0.585938
1788216961.448899,0.1401,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.294005,0.241773,-0.119045,0.664555,0.002944,0.011023,-0.002966,0.285227,-0.237980,0.117663,0.682911,0.005924,0.016643,-0.002571,0.000997,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,-0.005454,0.005142,-0.016362,-0.007670,0.003068,0.019942,0.006545,-0.001091,0.003428,-0.003272,0.000000,0.003068,-0.006136,0.000706,2.548828,2.900391,1.677912,-1.406250,-0.187500,-0.375000,-0.062500,2.197266,-5.097656,-1.174538,-2.197266,-0.250000,-0.187500,-0.062500,-0.468750
1788216961.468835,0.1601,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.294005,0.241798,-0.119031,0.664572,0.002956,0.011011,-0.002954,0.285227,-0.237997,0.117622,0.682903,0.005852,0.016631,-0.002571,0.000946,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005454,0.014181,0.015427,-0.004363,0.000000,-0.001534,0.013806,0.001091,-0.013090,-0.015427,-0.029452,-0.004602,0.001534,-0.003068,-0.000510,2.636719,2.812500,1.733842,-1.406250,-0.187500,-0.375000,-0.062500,2.109375,-5.097656,-1.174538,-2.109375,-0.187500,-0.187500,-0.062500,-0.585938
1788216961.488886,0.1801,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.294005,0.241790,-0.119058,0.664572,0.002944,0.011035,-0.002966,0.285252,-0.237980,0.117663,0.682920,0.005888,0.016643,-0.002571,0.000997,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.006545,0.020726,-0.010285,0.000000,0.000000,0.001534,0.003068,0.018544,-0.001091,0.010285,0.003272,0.001534,-0.006136,-0.007670,0.000387,2.548828,2.812500,1.733842,-1.406250,-0.187500,-0.375000,-0.062500,2.021484,-5.097656,-1.174538,-2.197266,-0.187500,-0.187500,-0.062500,-0.410156
