t_wall,t_rel,weight,mode_machine,cmd_left_shoulder_pitch,cmd_left_shoulder_roll,cmd_left_shoulder_yaw,cmd_left_elbow,cmd_left_wrist_roll,cmd_left_wrist_pitch,cmd_left_wrist_yaw,cmd_right_shoulder_pitch,cmd_right_shoulder_roll,cmd_right_shoulder_yaw,cmd_right_elbow,cmd_right_wrist_roll,cmd_right_wrist_pitch,cmd_right_wrist_yaw,cmd_waist_yaw,exe_left_shoulder_pitch,exe_left_shoulder_roll,exe_left_shoulder_yaw,exe_left_elbow,exe_left_wrist_roll,exe_left_wrist_pitch,exe_left_wrist_yaw,exe_right_shoulder_pitch,exe_right_shoulder_roll,exe_right_shoulder_yaw,exe_right_elbow,exe_right_wrist_roll,exe_right_wrist_pitch,exe_right_wrist_yaw,exe_waist_yaw,err_left_shoulder_pitch,err_left_shoulder_roll,err_left_shoulder_yaw,err_left_elbow,err_left_wrist_roll,err_left_wrist_pitch,err_left_wrist_yaw,err_right_shoulder_pitch,err_right_shoulder_roll,err_right_shoulder_yaw,err_right_elbow,err_right_wrist_roll,err_right_wrist_pitch,err_right_wrist_yaw,err_waist_yaw,cmdtau_left_shoulder_pitch,cmdtau_left_shoulder_roll,cmdtau_left_shoulder_yaw,cmdtau_left_elbow,cmdtau_left_wrist_roll,cmdtau_left_wrist_pitch,cmdtau_left_wrist_yaw,cmdtau_right_shoulder_pitch,cmdtau_right_shoulder_roll,cmdtau_right_shoulder_yaw,cmdtau_right_elbow,cmdtau_right_wrist_roll,cmdtau_right_wrist_pitch,cmdtau_right_wrist_yaw,cmdtau_waist_yaw,exedq_left_shoulder_pitch,exedq_left_shoulder_roll,exedq_left_shoulder_yaw,exedq_left_elbow,exedq_left_wrist_roll,exedq_left_wrist_pitch,exedq_left_wrist_yaw,exedq_right_shoulder_pitch,exedq_right_shoulder_roll,exedq_right_shoulder_yaw,exedq_right_elbow,exedq_right_wrist_roll,exedq_right_wrist_pitch,exedq_right_wrist_yaw,exedq_waist_yaw,exetau_left_shoulder_pitch,exetau_left_shoulder_roll,exetau_left_shoulder_yaw,exetau_left_elbow,exetau_left_wrist_roll,exetau_left_wrist_pitch,exetau_left_wrist_yaw,exetau_right_shoulder_pitch,exetau_right_shoulder_roll,exetau_right_shoulder_yaw,exetau_right_elbow,exetau_right_wrist_roll,exetau_right_wrist_pitch,exetau_right_wrist_yaw,exetau_waist_yaw
1788217094.896022,0.0000,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.311552,0.241151,-0.121174,0.664870,0.002884,0.004743,-0.002774,0.298385,-0.237179,0.118132,0.673222,0.005936,0.016787,-0.002799,0.000613,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001091,-0.005454,0.011999,-0.001091,-0.021476,-0.006136,0.003068,0.008727,-0.015272,0.005142,0.008727,0.012272,0.004602,0.000000,0.000117,3.955078,3.339844,1.901634,-1.494141,-0.187500,-0.187500,-0.062500,3.603516,-5.361328,-1.174538,-1.582031,-0.312500,-0.250000,-0.062500,-0.292969
1788217094.916197,0.0202,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.311535,0.241142,-0.121174,0.664878,0.002896,0.004731,-0.002762,0.298368,-0.237170,0.118105,0.673230,0.005888,0.016775,-0.002834,0.000588,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.010908,0.000000,0.011999,-0.011999,0.000000,-0.006136,0.006136,-0.009817,-0.006545,-0.013713,-0.001091,-0.016874,0.007670,-0.021476,-0.000761,4.042969,3.164062,1.901634,-1.494141,-0.187500,-0.187500,-0.062500,3.603516,-5.449219,-1.174538,-1.582031,-0.250000,-0.250000,-0.062500,-0.292969
1788217094.936161,0.0401,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.311543,0.241151,-0.121174,0.664861,0.002932,0.004731,-0.002774,0.298385,-0.237179,0.118105,0.673222,0.005948,0.016799,-0.002822,0.000562,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.008727,-0.015272,0.027427,-0.021817,0.000000,-0.009204,-0.018408,0.001091,-0.013090,-0.025712,0.000000,-0.012272,0.001534,-0.024544,-0.001348,4.042969,3.251953,1.845703,-1.406250,-0.187500,-0.187500,-0.062500,3.603516,-5.361328,-1.230469,-1.582031,-0.250000,-0.250000,-0.062500,-0.292969
1788217094.956153,0.0601,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.311543,0.241142,-0.121187,0.664870,0.002932,0.004731,-0.002762,0.298385,-0.237179,0.118105,0.673230,0.006020,0.016787,-0.002799,0.000588,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.006545,0.004363,-0.032569,-0.015272,0.010738,-0.001534,0.009204,0.002182,0.001091,-0.010285,0.017453,-0.007670,0.013806,-0.001534,-0.000402,3.955078,3.251953,1.901634,-1.494141,-0.187500,-0.187500,-0.062500,3.603516,-5.537109,-1.174538,-1.582031,-0.187500,-0.250000,-0.062500,-0.410156
1788217094.976165,0.0801,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.311543,0.241117,-0.121174,0.664870,0.002920,0.004743,-0.002786,0.298385,-0.237170,0.118132,0.673230,0.005900,0.016799,-0.002799,0.000588,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.008727,0.001091,-0.015427,-0.006545,-0.003068,0.000000,-0.012272,-0.002182,-0.002182,0.025712,0.004363,0.000000,0.000000,0.009204,-0.000337,4.042969,3.164062,1.845703,-1.494141,-0.187500,-0.187500,-0.062500,3.603516,-5.449219,-1.230469,-1.494141,-0.250000,-0.187500,-0.062500,-0.351562
1788217094.996141,0.1001,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.311543,0.241134,-0.121174,0.664870,0.002932,0.004743,-0.002750,0.298385,-0.237170,0.118105,0.673230,0.005936,0.016787,-0.002822,0.000613,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014181,0.004363,-0.015427,0.013090,0.010738,0.007670,0.018408,0.009817,0.008727,-0.015427,-0.005454,-0.019942,0.012272,-0.004602,0.000330,3.955078,3.164062,1.901634,-1.494141,-0.187500,-0.250000,-0.062500,3.603516,-5.449219,-1.174538,-1.494141,-0.250000,-0.250000,-0.062500,-0.234375
1788217095.016194,0.1202,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.311543,0.241142,-0.121174,0.664870,0.002920,0.004755,-0.002786,0.298393,-0.237154,0.118105,0.673239,0.005936,0.016799,-0.002787,0.000613,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,-0.037712,0.001091,-0.004602,0.000000,-0.013806,0.009817,0.013090,0.001714,0.000000,-0.007670,0.009204,0.000000,0.000260,4.042969,3.251953,1.845703,-1.494141,-0.187500,-0.187500,-0.062500,3.603516,-5.449219,-1.230469,-1.582031,-0.250000,-0.250000,-0.062500,-0.292969
1788217095.036157,0.1401,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.311543,0.241125,-0.121187,0.664853,0.002908,0.004743,-0.002774,0.298385,-0.237179,0.118118,0.673222,0.005972,0.016775,-0.002787,0.000613,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003272,0.004363,-0.041140,-0.013090,-0.004602,-0.009204,-0.009204,0.004363,-0.007636,0.000000,0.003272,-0.003068,0.001534,0.000000,0.000266,3.955078,3.164062,1.901634,-1.494141,-0.187500,-0.187500,-0.062500,3.603516,-5.449219,-1.174538,-1.494141,-0.312500,-0.250000,-0.062500,-0.527344
1788217095.056138,0.1601,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.311543,0.241159,-0.121174,0.664870,0.002896,0.004731,-0.002786,0.298385,-0.237170,0.118105,0.673222,0.005960,0.016787,-0.002799,0.000613,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,-0.011999,-0.006857,0.022907,-0.019942,0.001534,-0.009204,-0.005454,0.005454,-0.001714,0.004363,0.015340,0.000000,-0.003068,0.000637,4.042969,3.251953,1.845703,-1.494141,-0.187500,-0.187500,-0.062500,3.603516,-5.449219,-1.230469,-1.582031,-0.312500,-0.250000,-0.062500,-0.292969
1788217095.076182,0.1802,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.311543,0.241125,-0.121161,0.664844,0.002944,0.004731,-0.002786,0.298385,-0.237179,0.118132,0.673239,0.005912,0.016787,-0.002822,0.000613,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005454,-0.009817,-0.010285,-0.005454,0.006136,-0.018408,-0.001534,0.013090,-0.010908,0.011999,0.020726,-0.009204,0.018408,-0.013806,0.000444,4.042969,3.251953,1.901634,-1.494141,-0.187500,-0.187500,-0.062500,3.603516,-5.361328,-1.230469,-1.582031,-0.250000,-0.250000,-0.062500,-0.234375
