t_wall,t_rel,weight,mode_machine,cmd_left_shoulder_pitch,cmd_left_shoulder_roll,cmd_left_shoulder_yaw,cmd_left_elbow,cmd_left_wrist_roll,cmd_left_wrist_pitch,cmd_left_wrist_yaw,cmd_right_shoulder_pitch,cmd_right_shoulder_roll,cmd_right_shoulder_yaw,cmd_right_elbow,cmd_right_wrist_roll,cmd_right_wrist_pitch,cmd_right_wrist_yaw,cmd_waist_yaw,exe_left_shoulder_pitch,exe_left_shoulder_roll,exe_left_shoulder_yaw,exe_left_elbow,exe_left_wrist_roll,exe_left_wrist_pitch,exe_left_wrist_yaw,exe_right_shoulder_pitch,exe_right_shoulder_roll,exe_right_shoulder_yaw,exe_right_elbow,exe_right_wrist_roll,exe_right_wrist_pitch,exe_right_wrist_yaw,exe_waist_yaw,err_left_shoulder_pitch,err_left_shoulder_roll,err_left_shoulder_yaw,err_left_elbow,err_left_wrist_roll,err_left_wrist_pitch,err_left_wrist_yaw,err_right_shoulder_pitch,err_right_shoulder_roll,err_right_shoulder_yaw,err_right_elbow,err_right_wrist_roll,err_right_wrist_pitch,err_right_wrist_yaw,err_waist_yaw,cmdtau_left_shoulder_pitch,cmdtau_left_shoulder_roll,cmdtau_left_shoulder_yaw,cmdtau_left_elbow,cmdtau_left_wrist_roll,cmdtau_left_wrist_pitch,cmdtau_left_wrist_yaw,cmdtau_right_shoulder_pitch,cmdtau_right_shoulder_roll,cmdtau_right_shoulder_yaw,cmdtau_right_elbow,cmdtau_right_wrist_roll,cmdtau_right_wrist_pitch,cmdtau_right_wrist_yaw,cmdtau_waist_yaw,exedq_left_shoulder_pitch,exedq_left_shoulder_roll,exedq_left_shoulder_yaw,exedq_left_elbow,exedq_left_wrist_roll,exedq_left_wrist_pitch,exedq_left_wrist_yaw,exedq_right_shoulder_pitch,exedq_right_shoulder_roll,exedq_right_shoulder_yaw,exedq_right_elbow,exedq_right_wrist_roll,exedq_right_wrist_pitch,exedq_right_wrist_yaw,exedq_waist_yaw,exetau_left_shoulder_pitch,exetau_left_shoulder_roll,exetau_left_shoulder_yaw,exetau_left_elbow,exetau_left_wrist_roll,exetau_left_wrist_pitch,exetau_left_wrist_yaw,exetau_right_shoulder_pitch,exetau_right_shoulder_roll,exetau_right_shoulder_yaw,exetau_right_elbow,exetau_right_wrist_roll,exetau_right_wrist_pitch,exetau_right_wrist_yaw,exetau_waist_yaw
1788384914.318502,0.0000,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.296860,0.236361,-0.119781,0.686797,-0.009795,-0.005024,-0.003062,0.283582,-0.243110,0.118721,0.673707,0.004103,0.002814,-0.004033,-0.000435,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004363,0.020726,0.029141,-0.004363,0.000000,-0.009204,0.004602,0.019635,-0.001091,0.011999,-0.001091,0.012272,-0.001534,-0.007670,0.000052,2.636719,5.009766,1.733842,-3.164062,0.062500,0.000000,-0.062500,2.724609,-2.988281,-1.230469,-1.582031,-0.187500,0.062500,0.000000,0.410156
1788384914.338557,0.0201,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.296868,0.236344,-0.119794,0.686789,-0.009831,-0.005048,-0.003086,0.283582,-0.243102,0.118707,0.673707,0.004067,0.002825,-0.004021,-0.000460,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.007636,0.000000,0.006857,0.003272,-0.013806,-0.003068,0.000000,-0.001091,-0.008727,-0.020570,-0.009817,-0.013806,0.001534,-0.003068,-0.000745,2.636719,5.097656,1.733842,-3.164062,0.062500,0.000000,-0.062500,2.812500,-2.988281,-1.230469,-1.582031,-0.187500,0.062500,0.000000,0.410156
1788384914.358664,0.0402,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.296860,0.236361,-0.119781,0.686789,-0.009819,-0.005036,-0.003062,0.283573,-0.243110,0.118734,0.673733,0.004079,0.002814,-0.004021,-0.000435,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.014181,0.025089,0.008571,-0.014181,0.006136,0.000000,0.003068,0.015272,0.003272,0.000000,0.028362,-0.012272,-0.001534,0.012272,0.000097,2.636719,5.009766,1.733842,-3.164062,0.062500,0.000000,-0.062500,2.724609,-2.988281,-1.230469,-1.582031,-0.187500,0.000000,-0.062500,0.058594
1788384914.378575,0.0601,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.296868,0.236352,-0.119794,0.686789,-0.009843,-0.005024,-0.003050,0.283582,-0.243102,0.118721,0.673725,0.004079,0.002814,-0.003997,-0.000435,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003272,0.006545,-0.001714,0.004363,0.000000,-0.003068,0.003068,0.008727,-0.005454,0.017142,0.009817,0.013806,0.000000,0.003068,-0.000378,2.724609,5.097656,1.789773,-3.164062,0.000000,0.000000,-0.062500,2.812500,-2.988281,-1.286399,-1.582031,-0.250000,0.062500,0.000000,0.117188
1788384914.398556,0.0801,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.296860,0.236352,-0.119781,0.686789,-0.009819,-0.005012,-0.003050,0.283582,-0.243102,0.118707,0.673733,0.004079,0.002814,-0.004033,-0.000435,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.018544,0.025089,0.003428,-0.011999,0.000000,0.009204,0.000000,0.005454,0.007636,-0.020570,0.010908,-0.007670,-0.007670,-0.004602,0.000097,2.636719,4.921875,1.789773,-3.164062,0.062500,0.000000,-0.062500,2.724609,-2.988281,-1.230469,-1.582031,-0.187500,0.062500,0.000000,0.292969
1788384914.418582,0.1001,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.296860,0.236336,-0.119794,0.686797,-0.009819,-0.005048,-0.003086,0.283582,-0.243093,0.118721,0.673716,0.004103,0.002825,-0.004021,-0.000435,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003272,-0.003272,-0.010285,0.003272,0.000000,-0.009204,0.000000,-0.013090,0.005454,-0.015427,0.004363,0.003068,0.004602,-0.010738,0.000002,2.636719,5.097656,1.789773,-3.076172,0.062500,0.000000,-0.062500,2.900391,-2.988281,-1.230469,-1.582031,-0.187500,0.062500,0.000000,0.292969
1788384914.438565,0.1201,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.296860,0.236344,-0.119808,0.686780,-0.009795,-0.005024,-0.003086,0.283582,-0.243102,0.118721,0.673725,0.004079,0.002825,-0.004057,-0.000460,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.010908,0.007636,-0.030855,-0.001091,0.007670,0.007670,-0.016874,-0.001091,0.000000,-0.005142,0.003272,-0.001534,0.003068,0.000000,-0.000853,2.636719,5.097656,1.789773,-3.164062,0.000000,0.000000,-0.062500,2.812500,-2.988281,-1.230469,-1.582031,-0.187500,0.000000,0.000000,-0.175781
1788384914.458559,0.1401,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.296868,0.236344,-0.119781,0.686789,-0.009831,-0.005048,-0.003074,0.283573,-0.243102,0.118721,0.673733,0.004079,0.002814,-0.004033,-0.000435,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.005454,0.014181,-0.001714,-0.011999,0.013806,-0.001534,0.006136,-0.013090,0.006545,0.000000,0.004363,0.000000,0.004602,-0.009204,0.000078,2.636719,5.009766,1.789773,-3.164062,0.062500,0.000000,-0.062500,2.812500,-2.988281,-1.230469,-1.582031,-0.187500,0.062500,0.000000,0.292969
1788384914.478556,0.1601,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.296877,0.236361,-0.119794,0.686789,-0.009795,-0.005024,-0.003086,0.283582,-0.243102,0.118748,0.673716,0.004115,0.002814,-0.004021,-0.000435,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005454,0.022907,-0.006857,-0.016362,-0.003068,0.006136,0.006136,-0.006545,0.004363,0.001714,0.016362,0.010738,-0.003068,-0.016874,0.000194,2.636719,5.097656,1.733842,-3.164062,0.062500,0.000000,-0.062500,2.812500,-2.988281,-1.230469,-1.669922,-0.187500,0.062500,0.000000,0.527344
1788384914.498557,0.1801,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.296877,0.236352,-0.119781,0.686789,-0.009795,-0.005060,-0.003086,0.283582,-0.243110,0.118707,0.673725,0.004067,0.002814,-0.003985,-0.000435,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002182,-0.006545,-0.005142,0.000000,0.010738,0.000000,-0.016874,-0.004363,0.010908,0.000000,0.010908,0.000000,-0.001534,-0.001534,0.000028,2.636719,5.185547,1.789773,-3.164062,0.062500,0.000000,-0.062500,2.812500,-3.076172,-1.286399,-1.582031,-0.187500,0.062500,0.000000,0.292969
