t_s,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow,left_wrist_roll,left_wrist_pitch,left_wrist_yaw,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,right_wrist_roll,right_wrist_pitch,right_wrist_yaw,waist_yaw
8.7833,0.035913,0.067940,0.338941,1.835153,0.000000,0.000000,0.000000,-0.429750,0.328903,0.753259,2.854025,0.000000,0.000000,0.000000,0.000000
8.8000,0.028699,0.086546,0.403254,1.857108,0.000000,0.000000,0.000000,-0.358256,0.238464,0.747670,2.713571,0.000000,0.000000,0.000000,0.000000
8.8667,0.021517,0.103666,0.464978,1.877115,0.000000,0.000000,0.000000,-0.287121,0.149488,0.738360,2.570218,0.000000,0.000000,0.000000,0.000000
8.9333,0.014459,0.118575,0.522418,1.894194,0.000000,0.000000,0.000000,-0.217063,0.063309,0.725076,2.425004,0.000000,0.000000,0.000000,0.000000
9.0167,0.007582,0.130671,0.574345,1.907607,0.000000,0.000000,0.000000,-0.149157,-0.018606,0.707215,2.279291,0.000000,0.000000,0.000000,0.000000
9.0333,0.000901,0.139511,0.620054,1.916905,0.000000,0.000000,0.000000,-0.084684,-0.094785,0.683911,2.134602,0.000000,0.000000,0.000000,0.000000
9.0500,-0.005603,0.144835,0.659374,1.921955,0.000000,0.000000,0.000000,-0.024811,-0.163977,0.654298,1.992283,0.000000,0.000000,0.000000,0.000000
9.0667,-0.011976,0.146582,0.692669,1.922938,0.000000,0.000000,0.000000,0.029636,-0.225311,0.617748,1.853311,0.000000,0.000000,0.000000,0.000000
9.0833,-0.018285,0.144887,0.720800,1.920333,0.000000,0.000000,0.000000,0.078210,-0.278313,0.574005,1.718346,0.000000,0.000000,0.000000,0.000000
9.1000,-0.024616,0.140067,0.745051,1.914868,0.000000,0.000000,0.000000,0.120797,-0.322878,0.523272,1.587885,0.000000,0.000000,0.000000,0.000000
9.1167,-0.031064,0.132583,0.767011,1.907456,0.000000,0.000000,0.000000,0.157546,-0.359226,0.466304,1.462455,0.000000,0.000000,0.000000,0.000000
9.1333,-0.037738,0.122995,0.788425,1.899100,0.000000,0.000000,0.000000,0.188780,-0.387853,0.404505,1.342819,0.000000,0.000000,0.000000,0.000000
9.2333,-0.044745,0.111911,0.811032,1.890810,0.000000,0.000000,0.000000,0.214906,-0.409479,0.339938,1.230096,0.000000,0.000000,0.000000,0.000000
9.2500,-0.052191,0.099939,0.836394,1.883515,0.000000,0.000000,0.000000,0.236346,-0.424978,0.275048,1.125586,0.000000,0.000000,0.000000,0.000000
9.2667,-0.060165,0.087650,0.865758,1.878002,0.000000,0.000000,0.000000,0.253508,-0.435285,0.212143,1.030380,0.000000,0.000000,0.000000,0.000000
9.2833,-0.068736,0.075542,0.899937,1.874857,0.000000,0.000000,0.000000,0.266776,-0.441314,0.153050,0.945089,0.000000,0.000000,0.000000,0.000000
9.3000,-0.077946,0.064008,0.939238,1.874427,0.000000,0.000000,0.000000,0.276513,-0.443913,0.099072,0.869836,0.000000,0.000000,0.000000,0.000000
9.3167,-0.087821,0.053307,0.983418,1.876785,0.000000,0.000000,0.000000,0.283075,-0.443855,0.051074,0.804343,0.000000,0.000000,0.000000,0.000000
9.3333,-0.098372,0.043551,1.031691,1.881715,0.000000,0.000000,0.000000,0.286823,-0.441834,0.009562,0.748026,0.000000,0.000000,0.000000,0.000000
9.3500,-0.109612,0.034711,1.082805,1.888738,0.000000,0.000000,0.000000,0.288134,-0.438471,-0.025264,0.700084,0.000000,0.000000,0.000000,0.000000
9.3667,-0.121563,0.026644,1.135210,1.897173,0.000000,0.000000,0.000000,0.287405,-0.434302,-0.053465,0.659565,0.000000,0.000000,0.000000,0.000000
9.3833,-0.134254,0.019145,1.187298,1.906261,0.000000,0.000000,0.000000,0.285041,-0.429775,-0.075334,0.625425,0.000000,0.000000,0.000000,0.000000
9.4000,-0.147702,0.012008,1.237634,1.915304,0.000000,0.000000,0.000000,0.281445,-0.425232,-0.091372,0.596564,0.000000,0.000000,0.000000,0.000000
9.4167,-0.161899,0.005061,1.285078,1.923767,0.000000,0.000000,0.000000,0.277001,-0.420900,-0.102250,0.571852,0.000000,0.000000,0.000000,0.000000
9.4333,-0.176806,-0.001829,1.328770,1.931299,0.000000,0.000000,0.000000,0.272056,-0.416895,-0.108762,0.550155,0.000000,0.000000,0.000000,0.000000
9.4500,-0.192366,-0.008777,1.368068,1.937699,0.000000,0.000000,0.000000,0.266912,-0.413221,-0.111760,0.530345,0.000000,0.000000,0.000000,0.000000
9.4667,-0.208511,-0.015881,1.402496,1.942869,0.000000,0.000000,0.000000,0.261811,-0.409789,-0.112095,0.511322,0.000000,0.000000,0.000000,0.000000
9.4833,-0.225172,-0.023232,1.431726,1.946782,0.000000,0.000000,0.000000,0.256926,-0.406430,-0.110559,0.492026,0.000000,0.000000,0.000000,0.000000
9.5000,-0.242282,-0.030906,1.455600,1.949462,0.000000,0.000000,0.000000,0.252347,-0.402905,-0.107845,0.471465,0.000000,0.000000,0.000000,0.000000
9.5167,-0.259758,-0.038958,1.474179,1.950976,0.000000,0.000000,0.000000,0.248075,-0.398924,-0.104521,0.448748,0.000000,0.000000,0.000000,0.000000
9.5333,-0.277496,-0.047408,1.487792,1.951436,0.000000,0.000000,0.000000,0.244022,-0.394153,-0.101025,0.423127,0.000000,0.000000,0.000000,0.000000
9.5500,-0.295350,-0.056223,1.497068,1.951017,0.000000,0.000000,0.000000,0.240009,-0.388233,-0.097667,0.394051,0.000000,0.000000,0.000000,0.000000
9.5667,-0.313117,-0.065307,1.502917,1.949963,0.000000,0.000000,0.000000,0.235774,-0.380794,-0.094644,0.361210,0.000000,0.000000,0.000000,0.000000
9.5833,-0.330540,-0.074503,1.506446,1.948585,0.000000,0.000000,0.000000,0.230982,-0.371468,-0.092044,0.324563,0.000000,0.000000,0.000000,0.000000
9.6000,-0.347325,-0.083609,1.508825,1.947238,0.000000,0.000000,0.000000,0.225248,-0.359903,-0.089850,0.284347,0.000000,0.000000,0.000000,0.000000
9.6167,-0.363165,-0.092399,1.511165,1.946302,0.000000,0.000000,0.000000,0.218140,-0.345782,-0.087929,0.241059,0.000000,0.000000,0.000000,0.000000
9.6333,-0.377772,-0.100635,1.514431,1.946179,0.000000,0.000000,0.000000,0.209174,-0.328849,-0.086019,0.195449,0.000000,0.000000,0.000000,0.000000
9.6500,-0.390899,-0.108087,1.519409,1.947305,0.000000,0.000000,0.000000,0.197813,-0.308955,-0.083730,0.148512,0.000000,0.000000,0.000000,0.000000
9.6667,-0.402358,-0.114539,1.526696,1.950152,0.000000,0.000000,0.000000,0.183471,-0.286101,-0.080558,0.101466,0.000000,0.000000,0.000000,0.000000
9.6833,-0.412026,-0.119796,1.536703,1.955226,0.000000,0.000000,0.000000,0.165557,-0.260504,-0.075920,0.055717,0.000000,0.000000,0.000000,0.000000
9.7000,-0.419843,-0.123689,1.549660,1.963060,0.000000,0.000000,0.000000,0.143554,-0.232663,-0.069177,0.012770,0.000000,0.000000,0.000000,0.000000
9.7167,-0.425806,-0.126079,1.565635,1.974206,0.000000,0.000000,0.000000,0.117150,-0.203447,-0.059658,-0.025905,0.000000,0.000000,0.000000,0.000000
9.7833,-0.429962,-0.126851,1.584558,1.989218,0.000000,0.000000,0.000000,0.086414,-0.174146,-0.046702,-0.059044,0.000000,0.000000,0.000000,0.000000
9.8667,-0.432395,-0.125925,1.606252,2.008632,0.000000,0.000000,0.000000,0.051987,-0.146392,-0.029766,-0.085814,0.000000,0.000000,0.000000,0.000000
9.9667,-0.433218,-0.123249,1.630459,2.032936,0.000000,0.000000,0.000000,0.015091,-0.121891,-0.008580,-0.105983,0.000000,0.000000,0.000000,0.000000
10.0667,-0.432567,-0.118805,1.656863,2.062541,0.000000,0.000000,0.000000,-0.022781,-0.102089,0.016573,-0.119871,0.000000,0.000000,0.000000,0.000000
10.0833,-0.430594,-0.112609,1.685089,2.097741,0.000000,0.000000,0.000000,-0.060236,-0.087960,0.044684,-0.128088,0.000000,0.000000,0.000000,0.000000
10.1000,-0.427467,-0.104716,1.714703,2.138678,0.000000,0.000000,0.000000,-0.096148,-0.079987,0.074267,-0.131250,0.000000,0.000000,0.000000,0.000000
10.1167,-0.423368,-0.095214,1.745208,2.185309,0.000000,0.000000,0.000000,-0.129642,-0.078264,0.103803,-0.129829,0.000000,0.000000,0.000000,0.000000
10.1333,-0.418484,-0.084224,1.776053,2.237401,0.000000,0.000000,0.000000,-0.160049,-0.082617,0.131991,-0.124156,0.000000,0.000000,0.000000,0.000000
10.1500,-0.412992,-0.071880,1.806667,2.294546,0.000000,0.000000,0.000000,-0.186865,-0.092684,0.157835,-0.114466,0.000000,0.000000,0.000000,0.000000
10.1667,-0.407047,-0.058323,1.836502,2.356164,0.000000,0.000000,0.000000,-0.209730,-0.107952,0.180656,-0.100942,0.000000,0.000000,0.000000,0.000000
10.1833,-0.400776,-0.043700,1.865092,2.421512,0.000000,0.000000,0.000000,-0.228398,-0.127786,0.200062,-0.083772,0.000000,0.000000,0.000000,0.000000
10.2000,-0.394272,-0.028176,1.892097,2.489685,0.000000,0.000000,0.000000,-0.242707,-0.151459,0.215914,-0.063201,0.000000,0.000000,0.000000,0.000000
10.2167,-0.387597,-0.011944,1.917328,2.559635,0.000000,0.000000,0.000000,-0.252540,-0.178194,0.228261,-0.039590,0.000000,0.000000,0.000000,0.000000
10.2333,-0.380784,0.004770,1.940746,2.630199,0.000000,0.000000,0.000000,-0.257808,-0.207206,0.237298,-0.013440,0.000000,0.000000,0.000000,0.000000
10.2500,-0.373838,0.021705,1.962456,2.700156,0.000000,0.000000,0.000000,-0.258451,-0.237728,0.243317,0.014626,0.000000,0.000000,0.000000,0.000000
10.2667,-0.366741,0.038573,1.982691,2.768284,0.000000,0.000000,0.000000,-0.254465,-0.269023,0.246673,0.043913,0.000000,0.000000,0.000000,0.000000
10.2833,-0.359463,0.055077,2.001775,2.833425,0.000000,0.000000,0.000000,-0.245947,-0.300385,0.247763,0.073725,0.000000,0.000000,0.000000,0.000000
10.3000,-0.351984,0.070936,2.020055,2.894553,0.000000,0.000000,0.000000,-0.233154,-0.331139,0.246997,0.103453,0.000000,0.000000,0.000000,0.000000
10.3167,-0.344303,0.085906,2.037831,2.950837,0.000000,0.000000,0.000000,-0.216538,-0.360636,0.244784,0.132632,0.000000,0.000000,0.000000,0.000000
10.3333,-0.336455,0.099795,2.055305,3.001673,0.000000,0.000000,0.000000,-0.196746,-0.388269,0.241504,0.160963,0.000000,0.000000,0.000000,0.000000
10.3500,-0.328517,0.112469,2.072557,3.046708,0.000000,0.000000,0.000000,-0.174565,-0.413506,0.237488,0.188271,0.000000,0.000000,0.000000,0.000000
10.3667,-0.320614,0.123849,2.089545,3.085840,0.000000,0.000000,0.000000,-0.150827,-0.435921,0.232997,0.214443,0.000000,0.000000,0.000000,0.000000
10.3833,-0.312903,0.133906,2.106133,3.119197,0.000000,0.000000,0.000000,-0.126317,-0.455227,0.228207,0.239361,0.000000,0.000000,0.000000,0.000000
10.4000,-0.305561,0.142660,2.122138,3.147090,0.000000,0.000000,0.000000,-0.101703,-0.471289,0.223217,0.262872,0.000000,0.000000,0.000000,0.000000
10.4167,-0.298754,0.150176,2.137374,3.169954,0.000000,0.000000,0.000000,-0.077515,-0.484121,0.218075,0.284796,0.000000,0.000000,0.000000,0.000000
10.4333,-0.292619,0.156551,2.151686,3.180000,0.000000,0.000000,0.000000,-0.054153,-0.493858,0.212799,0.304950,0.000000,0.000000,0.000000,0.000000
10.4500,-0.287258,0.161908,2.164965,3.180000,0.000000,0.000000,0.000000,-0.031902,-0.500735,0.207411,0.323182,0.000000,0.000000,0.000000,0.000000
10.4667,-0.282741,0.166380,2.177134,3.180000,0.000000,0.000000,0.000000,-0.010963,-0.505053,0.201948,0.339391,0.000000,0.000000,0.000000,0.000000
10.4833,-0.279126,0.170097,2.188128,3.180000,0.000000,0.000000,0.000000,0.008522,-0.507147,0.196469,0.353530,0.000000,0.000000,0.000000,0.000000
10.5000,-0.276465,0.173176,2.197875,3.180000,0.000000,0.000000,0.000000,0.026452,-0.507369,0.191057,0.365603,0.000000,0.000000,0.000000,0.000000
10.5167,-0.274810,0.175713,2.206287,3.180000,0.000000,0.000000,0.000000,0.042751,-0.506066,0.185835,0.375659,0.000000,0.000000,0.000000,0.000000
