t_wall,t_rel,weight,mode_machine,cmd_left_shoulder_pitch,cmd_left_shoulder_roll,cmd_left_shoulder_yaw,cmd_left_elbow,cmd_left_wrist_roll,cmd_left_wrist_pitch,cmd_left_wrist_yaw,cmd_right_shoulder_pitch,cmd_right_shoulder_roll,cmd_right_shoulder_yaw,cmd_right_elbow,cmd_right_wrist_roll,cmd_right_wrist_pitch,cmd_right_wrist_yaw,cmd_waist_yaw,exe_left_shoulder_pitch,exe_left_shoulder_roll,exe_left_shoulder_yaw,exe_left_elbow,exe_left_wrist_roll,exe_left_wrist_pitch,exe_left_wrist_yaw,exe_right_shoulder_pitch,exe_right_shoulder_roll,exe_right_shoulder_yaw,exe_right_elbow,exe_right_wrist_roll,exe_right_wrist_pitch,exe_right_wrist_yaw,exe_waist_yaw,err_left_shoulder_pitch,err_left_shoulder_roll,err_left_shoulder_yaw,err_left_elbow,err_left_wrist_roll,err_left_wrist_pitch,err_left_wrist_yaw,err_right_shoulder_pitch,err_right_shoulder_roll,err_right_shoulder_yaw,err_right_elbow,err_right_wrist_roll,err_right_wrist_pitch,err_right_wrist_yaw,err_waist_yaw,cmdtau_left_shoulder_pitch,cmdtau_left_shoulder_roll,cmdtau_left_shoulder_yaw,cmdtau_left_elbow,cmdtau_left_wrist_roll,cmdtau_left_wrist_pitch,cmdtau_left_wrist_yaw,cmdtau_right_shoulder_pitch,cmdtau_right_shoulder_roll,cmdtau_right_shoulder_yaw,cmdtau_right_elbow,cmdtau_right_wrist_roll,cmdtau_right_wrist_pitch,cmdtau_right_wrist_yaw,cmdtau_waist_yaw,exedq_left_shoulder_pitch,exedq_left_shoulder_roll,exedq_left_shoulder_yaw,exedq_left_elbow,exedq_left_wrist_roll,exedq_left_wrist_pitch,exedq_left_wrist_yaw,exedq_right_shoulder_pitch,exedq_right_shoulder_roll,exedq_right_shoulder_yaw,exedq_right_elbow,exedq_right_wrist_roll,exedq_right_wrist_pitch,exedq_right_wrist_yaw,exedq_waist_yaw,exetau_left_shoulder_pitch,exetau_left_shoulder_roll,exetau_left_shoulder_yaw,exetau_left_elbow,exetau_left_wrist_roll,exetau_left_wrist_pitch,exetau_left_wrist_yaw,exetau_right_shoulder_pitch,exetau_right_shoulder_roll,exetau_right_shoulder_yaw,exetau_right_elbow,exetau_right_wrist_roll,exetau_right_wrist_pitch,exetau_right_wrist_yaw,exetau_waist_yaw
1788384849.158470,0.0000,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.312984,0.236319,-0.119781,0.662407,-0.009819,-0.007025,-0.003242,0.298351,-0.243392,0.118788,0.673571,0.003959,0.002047,-0.004272,0.000281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004363,-0.006545,0.032569,0.000000,0.004602,-0.018408,0.000000,0.002182,-0.009817,0.001714,0.001091,-0.004602,0.013806,-0.004602,-0.000056,1.933594,5.097656,1.789773,-1.318359,0.062500,0.000000,-0.062500,2.548828,-2.812500,-1.286399,-1.582031,-0.187500,0.062500,0.000000,-0.175781
1788384849.178531,0.0201,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.312966,0.236352,-0.119794,0.662407,-0.009819,-0.007025,-0.003242,0.298351,-0.243400,0.118788,0.673597,0.003947,0.002070,-0.004249,0.000307,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.007636,-0.006545,-0.010285,0.002182,-0.018408,-0.015340,0.000000,0.001091,-0.001091,0.017142,0.020726,-0.015340,0.006136,0.003068,0.000602,1.933594,5.185547,1.789773,-1.318359,0.062500,0.000000,-0.062500,2.548828,-2.900391,-1.286399,-1.582031,-0.187500,0.000000,0.000000,0.000000
1788384849.199187,0.0407,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.312992,0.236327,-0.119808,0.662407,-0.009795,-0.007002,-0.003230,0.298342,-0.243400,0.118774,0.673614,0.003911,0.002034,-0.004272,0.000256,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.003272,0.007636,-0.017142,-0.005454,0.000000,0.000000,0.001534,0.001091,-0.004363,0.001714,0.014181,-0.010738,0.000000,-0.013806,0.000148,1.933594,5.097656,1.845703,-1.318359,0.062500,0.000000,-0.062500,2.373047,-2.900391,-1.230469,-1.582031,-0.187500,0.062500,0.000000,-0.175781
1788384849.218523,0.0601,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.312992,0.236319,-0.119808,0.662416,-0.009831,-0.007025,-0.003218,0.298351,-0.243383,0.118774,0.673597,0.003923,0.002059,-0.004261,0.000281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.006545,0.004363,-0.015427,-0.004363,-0.001534,-0.010738,0.007670,0.001091,-0.001091,-0.010285,-0.006545,-0.007670,0.010738,0.001534,-0.000037,1.933594,5.097656,1.789773,-1.318359,0.062500,0.000000,-0.062500,2.548828,-2.988281,-1.230469,-1.582031,-0.187500,0.062500,0.000000,-0.117188
1788384849.238524,0.0801,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.312992,0.236327,-0.119808,0.662424,-0.009831,-0.007025,-0.003242,0.298351,-0.243383,0.118788,0.673614,0.003923,0.002047,-0.004272,0.000281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.009817,0.008727,-0.010285,-0.004363,0.001534,-0.012272,-0.001534,0.011999,0.000000,0.027427,0.045815,0.007670,0.001534,0.000000,0.000176,1.933594,5.009766,1.789773,-1.318359,0.000000,0.000000,-0.062500,2.373047,-2.900391,-1.230469,-1.582031,-0.187500,0.062500,0.000000,-0.058594
1788384849.258523,0.1001,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.313001,0.236336,-0.119808,0.662407,-0.009819,-0.007014,-0.003218,0.298334,-0.243409,0.118774,0.673597,0.003935,0.002047,-0.004321,0.000281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.007636,0.017142,-0.016362,0.007670,0.000000,0.000000,-0.011999,-0.002182,0.025712,-0.009817,-0.001534,0.006136,-0.004602,-0.000028,1.933594,5.009766,1.733842,-1.318359,0.062500,0.000000,-0.062500,2.548828,-2.900391,-1.286399,-1.582031,-0.187500,0.000000,0.000000,-0.117188
1788384849.278523,0.1201,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.312992,0.236336,-0.119808,0.662416,-0.009831,-0.007014,-0.003242,0.298342,-0.243409,0.118788,0.673588,0.003935,0.002047,-0.004284,0.000281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,-0.009817,-0.003428,-0.006545,-0.013806,0.001534,-0.009204,-0.006545,0.015272,0.029141,0.002182,0.003068,0.001534,0.001534,0.000009,1.933594,5.097656,1.789773,-1.318359,0.062500,0.000000,-0.062500,2.373047,-2.988281,-1.286399,-1.582031,-0.187500,0.062500,-0.062500,-0.117188
1788384849.298526,0.1401,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.312984,0.236327,-0.119794,0.662416,-0.009819,-0.007025,-0.003242,0.298342,-0.243392,0.118774,0.673588,0.003935,0.002047,-0.004272,0.000281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.010908,0.000000,-0.044568,0.004363,0.004602,-0.018408,0.006136,0.007636,0.007636,0.000000,0.002182,0.001534,0.003068,0.012272,-0.000059,2.021484,5.009766,1.789773,-1.318359,0.000000,0.000000,-0.062500,2.373047,-2.900391,-1.230469,-1.582031,-0.187500,0.062500,0.000000,-0.117188
1788384849.318522,0.1601,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.313001,0.236327,-0.119781,0.662407,-0.009795,-0.007014,-0.003230,0.298342,-0.243383,0.118788,0.673597,0.003947,0.002047,-0.004261,0.000281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.005454,-0.008727,0.003428,0.001091,-0.009204,0.004602,0.010738,0.002182,-0.003272,-0.001714,0.021817,-0.007670,-0.010738,0.001534,0.000086,1.933594,5.185547,1.789773,-1.318359,0.062500,0.000000,-0.062500,2.373047,-2.812500,-1.230469,-1.582031,-0.250000,0.062500,-0.062500,-0.292969
1788384849.338523,0.1801,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.313001,0.236327,-0.119768,0.662407,-0.009795,-0.007025,-0.003242,0.298359,-0.243392,0.118774,0.673571,0.003959,0.002034,-0.004272,0.000281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.003272,0.005142,-0.017453,-0.007670,-0.009204,0.003068,0.004363,0.000000,0.000000,0.004363,0.001534,-0.003068,-0.001534,-0.000382,2.021484,5.097656,1.789773,-1.318359,0.062500,0.000000,-0.062500,2.548828,-2.812500,-1.230469,-1.582031,-0.187500,0.000000,0.000000,-0.058594
