t_s,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow,left_wrist_roll,left_wrist_pitch,left_wrist_yaw,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,right_wrist_roll,right_wrist_pitch,right_wrist_yaw,waist_yaw
8.7833,0.542989,0.127200,-0.229456,0.562548,0.000000,0.000000,0.000000,0.538604,-0.167810,0.268549,0.044116,0.000000,0.000000,0.000000,0.000000
8.8000,0.532243,0.143770,-0.262202,0.564975,0.000000,0.000000,0.000000,0.541356,-0.227124,0.293385,0.109525,0.000000,0.000000,0.000000,0.000000
8.8667,0.521065,0.159779,-0.295182,0.567325,0.000000,0.000000,0.000000,0.543080,-0.285707,0.317997,0.172557,0.000000,0.000000,0.000000,0.000000
8.9333,0.509395,0.174876,-0.328101,0.569585,0.000000,0.000000,0.000000,0.543711,-0.342730,0.341922,0.231896,0.000000,0.000000,0.000000,0.000000
9.0167,0.497171,0.188731,-0.360717,0.571769,0.000000,0.000000,0.000000,0.543035,-0.397299,0.364823,0.286118,0.000000,0.000000,0.000000,0.000000
9.0333,0.484342,0.201053,-0.392836,0.573891,0.000000,0.000000,0.000000,0.540719,-0.448540,0.386496,0.333837,0.000000,0.000000,0.000000,0.000000
9.0500,0.470878,0.211611,-0.424315,0.575937,0.000000,0.000000,0.000000,0.536411,-0.495733,0.406847,0.373921,0.000000,0.000000,0.000000,0.000000
9.0667,0.456782,0.220241,-0.455042,0.577841,0.000000,0.000000,0.000000,0.529840,-0.538408,0.425868,0.405637,0.000000,0.000000,0.000000,0.000000
9.0833,0.442086,0.226850,-0.484924,0.579486,0.000000,0.000000,0.000000,0.520866,-0.576344,0.443615,0.428662,0.000000,0.000000,0.000000,0.000000
9.1000,0.426848,0.231420,-0.513884,0.580716,0.000000,0.000000,0.000000,0.509519,-0.609551,0.460191,0.443058,0.000000,0.000000,0.000000,0.000000
9.1167,0.411136,0.234005,-0.541863,0.581367,0.000000,0.000000,0.000000,0.496018,-0.638225,0.475721,0.449238,0.000000,0.000000,0.000000,0.000000
9.1333,0.395015,0.234722,-0.568831,0.581297,0.000000,0.000000,0.000000,0.480773,-0.662720,0.490331,0.447948,0.000000,0.000000,0.000000,0.000000
9.2333,0.378536,0.233743,-0.594784,0.580398,0.000000,0.000000,0.000000,0.464355,-0.683492,0.504128,0.440234,0.000000,0.000000,0.000000,0.000000
9.2500,0.361740,0.231279,-0.619735,0.578608,0.000000,0.000000,0.000000,0.447388,-0.701037,0.517192,0.427355,0.000000,0.000000,0.000000,0.000000
9.2667,0.344652,0.227570,-0.643704,0.575906,0.000000,0.000000,0.000000,0.430402,-0.715821,0.529574,0.410622,0.000000,0.000000,0.000000,0.000000
9.2833,0.327294,0.222867,-0.666715,0.572311,0.000000,0.000000,0.000000,0.413758,-0.728245,0.541297,0.391241,0.000000,0.000000,0.000000,0.000000
9.3000,0.309675,0.217415,-0.688790,0.567889,0.000000,0.000000,0.000000,0.397654,-0.738647,0.552372,0.370240,0.000000,0.000000,0.000000,0.000000
9.3167,0.291790,0.211434,-0.709953,0.562755,0.000000,0.000000,0.000000,0.382173,-0.747317,0.562803,0.348448,0.000000,0.000000,0.000000,0.000000
9.3333,0.273615,0.205109,-0.730222,0.557076,0.000000,0.000000,0.000000,0.367333,-0.754519,0.572599,0.326497,0.000000,0.000000,0.000000,0.000000
9.3500,0.255111,0.198584,-0.749596,0.551073,0.000000,0.000000,0.000000,0.353118,-0.760501,0.581775,0.304837,0.000000,0.000000,0.000000,0.000000
9.3667,0.236232,0.191960,-0.768056,0.544999,0.000000,0.000000,0.000000,0.339510,-0.765506,0.590359,0.283760,0.000000,0.000000,0.000000,0.000000
9.3833,0.216946,0.185305,-0.785565,0.539108,0.000000,0.000000,0.000000,0.326499,-0.769772,0.598391,0.263408,0.000000,0.000000,0.000000,0.000000
9.4000,0.197253,0.178654,-0.802078,0.533615,0.000000,0.000000,0.000000,0.314078,-0.773534,0.605923,0.243793,0.000000,0.000000,0.000000,0.000000
9.4167,0.177196,0.172017,-0.817555,0.528675,0.000000,0.000000,0.000000,0.302241,-0.777007,0.613017,0.224809,0.000000,0.000000,0.000000,0.000000
9.4333,0.156859,0.165377,-0.831974,0.524386,0.000000,0.000000,0.000000,0.290969,-0.780381,0.619743,0.206242,0.000000,0.000000,0.000000,0.000000
9.4500,0.136351,0.158696,-0.845342,0.520810,0.000000,0.000000,0.000000,0.280222,-0.783805,0.626175,0.187791,0.000000,0.000000,0.000000,0.000000
9.4667,0.115793,0.151923,-0.857693,0.517984,0.000000,0.000000,0.000000,0.269924,-0.787374,0.632387,0.169077,0.000000,0.000000,0.000000,0.000000
9.4833,0.095304,0.144995,-0.869080,0.515925,0.000000,0.000000,0.000000,0.259960,-0.791122,0.638459,0.149667,0.000000,0.000000,0.000000,0.000000
9.5000,0.074991,0.137849,-0.879568,0.514627,0.000000,0.000000,0.000000,0.250159,-0.795012,0.644466,0.129100,0.000000,0.000000,0.000000,0.000000
9.5167,0.054943,0.130427,-0.889220,0.514056,0.000000,0.000000,0.000000,0.240298,-0.798923,0.650485,0.106923,0.000000,0.000000,0.000000,0.000000
9.5333,0.035241,0.122688,-0.898089,0.514142,0.000000,0.000000,0.000000,0.230100,-0.802658,0.656592,0.082726,0.000000,0.000000,0.000000,0.000000
9.5500,0.015956,0.114617,-0.906214,0.514769,0.000000,0.000000,0.000000,0.219252,-0.805940,0.662859,0.056192,0.000000,0.000000,0.000000,0.000000
9.5667,-0.002835,0.106242,-0.913615,0.515776,0.000000,0.000000,0.000000,0.207410,-0.808419,0.669358,0.027139,0.000000,0.000000,0.000000,0.000000
9.5833,-0.021043,0.097627,-0.920311,0.516967,0.000000,0.000000,0.000000,0.194219,-0.809684,0.676162,-0.004447,0.000000,0.000000,0.000000,0.000000
9.6000,-0.038568,0.088880,-0.926329,0.518121,0.000000,0.000000,0.000000,0.179324,-0.809271,0.683347,-0.038401,0.000000,0.000000,0.000000,0.000000
9.6167,-0.055303,0.080141,-0.931720,0.519011,0.000000,0.000000,0.000000,0.162373,-0.806671,0.690995,-0.074368,0.000000,0.000000,0.000000,0.000000
9.6333,-0.071149,0.071577,-0.936550,0.519399,0.000000,0.000000,0.000000,0.143007,-0.801355,0.699182,-0.111806,0.000000,0.000000,0.000000,0.000000
9.6500,-0.086030,0.063371,-0.940905,0.519034,0.000000,0.000000,0.000000,0.120856,-0.792800,0.707962,-0.149983,0.000000,0.000000,0.000000,0.000000
9.6667,-0.099906,0.055702,-0.944882,0.517647,0.000000,0.000000,0.000000,0.095545,-0.780549,0.717352,-0.187977,0.000000,0.000000,0.000000,0.000000
9.6833,-0.112772,0.048746,-0.948582,0.514943,0.000000,0.000000,0.000000,0.066732,-0.764283,0.727308,-0.224714,0.000000,0.000000,0.000000,0.000000
9.7000,-0.124666,0.042661,-0.952109,0.510607,0.000000,0.000000,0.000000,0.034169,-0.743925,0.737715,-0.259032,0.000000,0.000000,0.000000,0.000000
9.7167,-0.135656,0.037588,-0.955565,0.504300,0.000000,0.000000,0.000000,-0.002196,-0.719747,0.748376,-0.289788,0.000000,0.000000,0.000000,0.000000
9.7833,-0.145841,0.033648,-0.959044,0.495666,0.000000,0.000000,0.000000,-0.042089,-0.692485,0.759027,-0.316009,0.000000,0.000000,0.000000,0.000000
9.8667,-0.155341,0.030937,-0.962636,0.484336,0.000000,0.000000,0.000000,-0.084771,-0.663413,0.769361,-0.337085,0.000000,0.000000,0.000000,0.000000
9.9667,-0.164292,0.029531,-0.966417,0.469939,0.000000,0.000000,0.000000,-0.129047,-0.634202,0.779090,-0.352897,0.000000,0.000000,0.000000,0.000000
10.0667,-0.172839,0.029480,-0.970452,0.452124,0.000000,0.000000,0.000000,-0.173460,-0.606603,0.787982,-0.363752,0.000000,0.000000,0.000000,0.000000
10.0833,-0.181131,0.030819,-0.974790,0.430574,0.000000,0.000000,0.000000,-0.216549,-0.582174,0.795873,-0.370157,0.000000,0.000000,0.000000,0.000000
10.1000,-0.189313,0.033560,-0.979464,0.405038,0.000000,0.000000,0.000000,-0.257044,-0.562134,0.802654,-0.372597,0.000000,0.000000,0.000000,0.000000
10.1167,-0.197516,0.037702,-0.984485,0.375352,0.000000,0.000000,0.000000,-0.293936,-0.547332,0.808257,-0.371446,0.000000,0.000000,0.000000,0.000000
10.1333,-0.205846,0.043229,-0.989848,0.341457,0.000000,0.000000,0.000000,-0.326476,-0.538257,0.812662,-0.366966,0.000000,0.000000,0.000000,0.000000
10.1500,-0.214377,0.050120,-0.995533,0.303408,0.000000,0.000000,0.000000,-0.354127,-0.535071,0.815904,-0.359343,0.000000,0.000000,0.000000,0.000000
10.1667,-0.223144,0.058353,-1.001507,0.261380,0.000000,0.000000,0.000000,-0.376545,-0.537648,0.818065,-0.348727,0.000000,0.000000,0.000000,0.000000
10.1833,-0.232147,0.067901,-1.007719,0.215686,0.000000,0.000000,0.000000,-0.393543,-0.545623,0.819278,-0.335270,0.000000,0.000000,0.000000,0.000000
10.2000,-0.241361,0.078724,-1.014104,0.166777,0.000000,0.000000,0.000000,-0.405067,-0.558450,0.819718,-0.319174,0.000000,0.000000,0.000000,0.000000
10.2167,-0.250750,0.090759,-1.020582,0.115249,0.000000,0.000000,0.000000,-0.411158,-0.575467,0.819590,-0.300735,0.000000,0.000000,0.000000,0.000000
10.2333,-0.260266,0.103902,-1.027062,0.061822,0.000000,0.000000,0.000000,-0.411928,-0.595956,0.819117,-0.280364,0.000000,0.000000,0.000000,0.000000
10.2500,-0.269863,0.118012,-1.033448,0.007314,0.000000,0.000000,0.000000,-0.407549,-0.619184,0.818524,-0.258568,0.000000,0.000000,0.000000,0.000000
10.2667,-0.279497,0.132912,-1.039636,-0.047400,0.000000,0.000000,0.000000,-0.398262,-0.644418,0.818029,-0.235910,0.000000,0.000000,0.000000,0.000000
10.2833,-0.289135,0.148401,-1.045523,-0.101435,0.000000,0.000000,0.000000,-0.384396,-0.670927,0.817828,-0.212941,0.000000,0.000000,0.000000,0.000000
10.3000,-0.298742,0.164265,-1.051017,-0.153943,0.000000,0.000000,0.000000,-0.366401,-0.697972,0.818085,-0.190132,0.000000,0.000000,0.000000,0.000000
10.3167,-0.308282,0.180282,-1.056048,-0.204163,0.000000,0.000000,0.000000,-0.344873,-0.724809,0.818916,-0.167830,0.000000,0.000000,0.000000,0.000000
10.3333,-0.317702,0.196237,-1.060579,-0.251440,0.000000,0.000000,0.000000,-0.320539,-0.750707,0.820384,-0.146247,0.000000,0.000000,0.000000,0.000000
10.3500,-0.326938,0.211918,-1.064607,-0.295236,0.000000,0.000000,0.000000,-0.294217,-0.774996,0.822495,-0.125492,0.000000,0.000000,0.000000,0.000000
10.3667,-0.335922,0.227121,-1.068158,-0.335133,0.000000,0.000000,0.000000,-0.266742,-0.797124,0.825203,-0.105632,0.000000,0.000000,0.000000,0.000000
10.3833,-0.344588,0.241653,-1.071278,-0.370826,0.000000,0.000000,0.000000,-0.238893,-0.816703,0.828423,-0.086743,0.000000,0.000000,0.000000,0.000000
10.4000,-0.352880,0.255351,-1.074020,-0.402130,0.000000,0.000000,0.000000,-0.211336,-0.833533,0.832044,-0.068928,0.000000,0.000000,0.000000,0.000000
10.4167,-0.360756,0.268096,-1.076436,-0.428974,0.000000,0.000000,0.000000,-0.184610,-0.847579,0.835945,-0.052315,0.000000,0.000000,0.000000,0.000000
10.4333,-0.368188,0.279816,-1.078571,-0.451397,0.000000,0.000000,0.000000,-0.159121,-0.858941,0.840006,-0.037026,0.000000,0.000000,0.000000,0.000000
10.4500,-0.375158,0.290491,-1.080466,-0.469528,0.000000,0.000000,0.000000,-0.135159,-0.867813,0.844114,-0.023161,0.000000,0.000000,0.000000,0.000000
10.4667,-0.381659,0.300129,-1.082159,-0.483562,0.000000,0.000000,0.000000,-0.112923,-0.874445,0.848168,-0.010776,0.000000,0.000000,0.000000,0.000000
10.4833,-0.387694,0.308755,-1.083684,-0.493737,0.000000,0.000000,0.000000,-0.092536,-0.879107,0.852077,0.000116,0.000000,0.000000,0.000000,0.000000
10.5000,-0.393276,0.316390,-1.085079,-0.500300,0.000000,0.000000,0.000000,-0.074075,-0.882072,0.855765,0.009543,0.000000,0.000000,0.000000,0.000000
10.5167,-0.398420,0.323043,-1.086382,-0.503493,0.000000,0.000000,0.000000,-0.057578,-0.883588,0.859169,0.017565,0.000000,0.000000,0.000000,0.000000
10.5333,-0.403139,0.328711,-1.087639,-0.503532,0.000000,0.000000,0.000000,-0.043073,-0.883866,0.862236,0.024274,0.000000,0.000000,0.000000,0.000000
10.5667,-0.407443,0.333375,-1.088900,-0.500595,0.000000,0.000000,0.000000,-0.030584,-0.883059,0.864928,0.029799,0.000000,0.000000,0.000000,0.000000
10.5833,-0.411325,0.337004,-1.090222,-0.494823,0.000000,0.000000,0.000000,-0.020128,-0.881267,0.867218,0.034297,0.000000,0.000000,0.000000,0.000000
