t_s,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow,left_wrist_roll,left_wrist_pitch,left_wrist_yaw,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,right_wrist_roll,right_wrist_pitch,right_wrist_yaw,waist_yaw
6.9500,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.400249,-0.617823,0.128378,1.698190,0.000000,0.000000,0.000000,0.000000
6.9667,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.333932,-0.526506,0.251761,1.789415,0.000000,0.000000,0.000000,0.000000
6.9833,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.270740,-0.440259,0.366933,1.870391,0.000000,0.000000,0.000000,0.000000
7.0833,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.212301,-0.361521,0.470313,1.937749,0.000000,0.000000,0.000000,0.000000
7.1000,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.160198,-0.292691,0.558422,1.988175,0.000000,0.000000,0.000000,0.000000
7.1167,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.115705,-0.235748,0.628407,2.018824,0.000000,0.000000,0.000000,0.000000
7.1333,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.079605,-0.191967,0.678415,2.027675,0.000000,0.000000,0.000000,0.000000
7.1500,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.052162,-0.161863,0.707659,2.013673,0.000000,0.000000,0.000000,0.000000
7.1667,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.033146,-0.145239,0.716386,1.976808,0.000000,0.000000,0.000000,0.000000
7.1833,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.021871,-0.141235,0.705852,1.918198,0.000000,0.000000,0.000000,0.000000
7.2000,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.017236,-0.148363,0.678318,1.840172,0.000000,0.000000,0.000000,0.000000
7.2833,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.017781,-0.164559,0.637049,1.746324,0.000000,0.000000,0.000000,0.000000
7.3667,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.021815,-0.187368,0.586230,1.641314,0.000000,0.000000,0.000000,0.000000
7.3833,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.027632,-0.214305,0.530479,1.530247,0.000000,0.000000,0.000000,0.000000
7.4000,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.033732,-0.243184,0.473999,1.417884,0.000000,0.000000,0.000000,0.000000
7.4167,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.038940,-0.272231,0.419972,1.308175,0.000000,0.000000,0.000000,0.000000
7.4333,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.042428,-0.300059,0.370477,1.204185,0.000000,0.000000,0.000000,0.000000
7.4500,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.043683,-0.325622,0.326687,1.108160,0.000000,0.000000,0.000000,0.000000
7.4667,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.042470,-0.348192,0.289089,1.021615,0.000000,0.000000,0.000000,0.000000
7.4833,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.038775,-0.367331,0.257657,0.945433,0.000000,0.000000,0.000000,0.000000
7.5000,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.032771,-0.382856,0.232004,0.879949,0.000000,0.000000,0.000000,0.000000
7.5167,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.024773,-0.394808,0.211497,0.825038,0.000000,0.000000,0.000000,0.000000
7.5333,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.015193,-0.403416,0.195365,0.780182,0.000000,0.000000,0.000000,0.000000
7.5500,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.004492,-0.409069,0.182797,0.744546,0.000000,0.000000,0.000000,0.000000
7.5667,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,-0.006879,-0.412277,0.173026,0.717044,0.000000,0.000000,0.000000,0.000000
7.5833,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,-0.018519,-0.413646,0.165389,0.696408,0.000000,0.000000,0.000000,0.000000
7.6000,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,-0.030111,-0.413835,0.159358,0.681263,0.000000,0.000000,0.000000,0.000000
7.6167,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,-0.041435,-0.413515,0.154550,0.670193,0.000000,0.000000,0.000000,0.000000
7.6333,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,-0.052380,-0.413320,0.150715,0.661811,0.000000,0.000000,0.000000,0.000000
7.6500,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,-0.062936,-0.413811,0.147711,0.654820,0.000000,0.000000,0.000000,0.000000
7.6667,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,-0.073186,-0.415441,0.145469,0.648058,0.000000,0.000000,0.000000,0.000000
7.6833,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,-0.083281,-0.418536,0.143953,0.640534,0.000000,0.000000,0.000000,0.000000
7.7000,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,-0.093417,-0.423292,0.143135,0.631453,0.000000,0.000000,0.000000,0.000000
