t_wall,t_rel,weight,mode_machine,cmd_left_shoulder_pitch,cmd_left_shoulder_roll,cmd_left_shoulder_yaw,cmd_left_elbow,cmd_left_wrist_roll,cmd_left_wrist_pitch,cmd_left_wrist_yaw,cmd_right_shoulder_pitch,cmd_right_shoulder_roll,cmd_right_shoulder_yaw,cmd_right_elbow,cmd_right_wrist_roll,cmd_right_wrist_pitch,cmd_right_wrist_yaw,cmd_waist_yaw,exe_left_shoulder_pitch,exe_left_shoulder_roll,exe_left_shoulder_yaw,exe_left_elbow,exe_left_wrist_roll,exe_left_wrist_pitch,exe_left_wrist_yaw,exe_right_shoulder_pitch,exe_right_shoulder_roll,exe_right_shoulder_yaw,exe_right_elbow,exe_right_wrist_roll,exe_right_wrist_pitch,exe_right_wrist_yaw,exe_waist_yaw,err_left_shoulder_pitch,err_left_shoulder_roll,err_left_shoulder_yaw,err_left_elbow,err_left_wrist_roll,err_left_wrist_pitch,err_left_wrist_yaw,err_right_shoulder_pitch,err_right_shoulder_roll,err_right_shoulder_yaw,err_right_elbow,err_right_wrist_roll,err_right_wrist_pitch,err_right_wrist_yaw,err_waist_yaw,cmdtau_left_shoulder_pitch,cmdtau_left_shoulder_roll,cmdtau_left_shoulder_yaw,cmdtau_left_elbow,cmdtau_left_wrist_roll,cmdtau_left_wrist_pitch,cmdtau_left_wrist_yaw,cmdtau_right_shoulder_pitch,cmdtau_right_shoulder_roll,cmdtau_right_shoulder_yaw,cmdtau_right_elbow,cmdtau_right_wrist_roll,cmdtau_right_wrist_pitch,cmdtau_right_wrist_yaw,cmdtau_waist_yaw,exedq_left_shoulder_pitch,exedq_left_shoulder_roll,exedq_left_shoulder_yaw,exedq_left_elbow,exedq_left_wrist_roll,exedq_left_wrist_pitch,exedq_left_wrist_yaw,exedq_right_shoulder_pitch,exedq_right_shoulder_roll,exedq_right_shoulder_yaw,exedq_right_elbow,exedq_right_wrist_roll,exedq_right_wrist_pitch,exedq_right_wrist_yaw,exedq_waist_yaw,exetau_left_shoulder_pitch,exetau_left_shoulder_roll,exetau_left_shoulder_yaw,exetau_left_elbow,exetau_left_wrist_roll,exetau_left_wrist_pitch,exetau_left_wrist_yaw,exetau_right_shoulder_pitch,exetau_right_shoulder_roll,exetau_right_shoulder_yaw,exetau_right_elbow,exetau_right_wrist_roll,exetau_right_wrist_pitch,exetau_right_wrist_yaw,exetau_waist_yaw
1788383149.990367,0.0000,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.327199,0.236293,-0.119835,0.662117,-0.009220,-0.005887,-0.002978,0.301061,-0.243281,0.118908,0.673503,0.004210,0.013599,-0.004272,0.000358,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.013090,0.011999,-0.011999,-0.011999,-0.001534,-0.012272,-0.001534,0.000000,0.000000,0.001714,0.009817,-0.010738,0.007670,0.000000,0.000166,1.933594,5.185547,1.789773,-1.318359,0.000000,0.000000,-0.062500,2.900391,-2.900391,-1.230469,-1.494141,-0.187500,-0.062500,0.000000,-0.117188
1788383150.010452,0.0201,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.327199,0.236276,-0.119848,0.662126,-0.009256,-0.005911,-0.003002,0.301044,-0.243281,0.118895,0.673486,0.004222,0.013599,-0.004284,0.000358,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.011999,-0.006545,-0.044568,0.011999,-0.009204,0.001534,0.003068,0.000000,-0.004363,-0.006857,0.009817,-0.004602,0.001534,-0.001534,-0.000067,1.933594,5.097656,1.845703,-1.318359,0.062500,0.000000,-0.062500,2.900391,-2.900391,-1.230469,-1.494141,-0.187500,-0.062500,0.000000,-0.292969
1788383150.030425,0.0401,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.327207,0.236259,-0.119821,0.662134,-0.009220,-0.005923,-0.003014,0.301052,-0.243272,0.118908,0.673486,0.004199,0.013575,-0.004308,0.000358,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004363,0.000000,-0.023998,-0.016362,0.006136,-0.010738,-0.010738,0.008727,0.001091,-0.001714,0.000000,0.001534,0.006136,0.000000,0.000095,1.933594,5.097656,1.845703,-1.318359,0.062500,0.000000,-0.062500,2.900391,-2.900391,-1.230469,-1.494141,-0.187500,-0.062500,-0.062500,-0.351562
1788383150.050425,0.0601,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.327199,0.236268,-0.119848,0.662117,-0.009292,-0.005923,-0.003026,0.301052,-0.243281,0.118881,0.673503,0.004222,0.013563,-0.004308,0.000332,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.010908,-0.001091,-0.029141,-0.009817,-0.016874,0.000000,-0.009204,-0.004363,-0.011999,-0.006857,0.010908,-0.006136,0.000000,0.003068,-0.000858,1.933594,5.097656,1.845703,-1.318359,0.000000,0.000000,-0.062500,2.900391,-2.988281,-1.230469,-1.582031,-0.187500,-0.062500,0.000000,0.000000
1788383150.070423,0.0801,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.327207,0.236268,-0.119821,0.662126,-0.009244,-0.005899,-0.003002,0.301044,-0.243289,0.118855,0.673486,0.004174,0.013539,-0.004308,0.000332,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001091,0.000000,0.015427,0.000000,-0.004602,0.000000,-0.015340,-0.006545,0.019635,-0.020570,-0.003272,-0.004602,-0.015340,0.003068,-0.000216,1.933594,5.097656,1.789773,-1.318359,0.000000,0.000000,-0.062500,2.988281,-2.988281,-1.286399,-1.494141,-0.187500,-0.062500,-0.062500,-0.058594
1788383150.090425,0.1001,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.327190,0.236276,-0.119835,0.662117,-0.009292,-0.005911,-0.002990,0.301052,-0.243289,0.118895,0.673486,0.004187,0.013563,-0.004296,0.000358,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.009817,-0.005454,0.000000,-0.013090,-0.010738,-0.001534,0.024544,0.001091,0.009817,0.003428,-0.002182,-0.001534,0.004602,-0.010738,0.000293,1.933594,5.097656,1.789773,-1.318359,0.062500,0.000000,-0.062500,2.900391,-2.988281,-1.230469,-1.494141,-0.187500,-0.062500,0.000000,-0.292969
1788383150.110425,0.1201,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.327199,0.236276,-0.119848,0.662126,-0.009232,-0.005911,-0.003002,0.301052,-0.243298,0.118922,0.673503,0.004199,0.013539,-0.004272,0.000358,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.003272,-0.005142,-0.018544,-0.009204,-0.010738,0.009204,0.007636,-0.008727,0.008571,0.019635,-0.004602,-0.001534,-0.001534,0.000078,1.933594,5.097656,1.789773,-1.318359,0.062500,0.000000,-0.062500,2.900391,-2.900391,-1.230469,-1.494141,-0.187500,-0.062500,0.000000,-0.175781
1788383150.130431,0.1401,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.327224,0.236250,-0.119861,0.662134,-0.009256,-0.005899,-0.003014,0.301044,-0.243298,0.118895,0.673478,0.004222,0.013539,-0.004272,0.000358,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001091,-0.003272,-0.005142,-0.009817,-0.009204,0.003068,0.007670,-0.002182,0.010908,-0.006857,-0.016362,-0.004602,0.003068,0.000000,0.000034,1.933594,5.097656,1.789773,-1.318359,0.000000,0.000000,-0.062500,2.900391,-2.988281,-1.230469,-1.494141,-0.187500,-0.062500,-0.062500,-0.175781
1788383150.150426,0.1601,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.327207,0.236268,-0.119861,0.662126,-0.009196,-0.005899,-0.003002,0.301052,-0.243281,0.118895,0.673494,0.004163,0.013563,-0.004261,0.000358,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004363,-0.007636,-0.001714,0.003272,0.001534,-0.006136,-0.010738,0.003272,-0.003272,-0.001714,0.021817,0.012272,-0.003068,0.009204,-0.000189,1.933594,5.185547,1.789773,-1.318359,0.000000,0.000000,-0.062500,2.900391,-2.900391,-1.230469,-1.494141,-0.187500,-0.062500,-0.062500,-0.117188
1788383150.170422,0.1801,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.327173,0.236276,-0.119821,0.662117,-0.009220,-0.005899,-0.003002,0.301069,-0.243272,0.118908,0.673494,0.004235,0.013539,-0.004272,0.000358,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,-0.007636,0.025712,-0.006545,0.012272,-0.004602,0.018408,0.016362,0.011999,0.001714,0.009817,0.006136,-0.006136,-0.010738,-0.000138,1.933594,5.185547,1.789773,-1.318359,0.062500,0.000000,-0.062500,2.900391,-2.900391,-1.230469,-1.582031,-0.187500,-0.062500,0.000000,-0.234375
