t_s,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow,left_wrist_roll,left_wrist_pitch,left_wrist_yaw,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,right_wrist_roll,right_wrist_pitch,right_wrist_yaw,waist_yaw
6.9500,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.901003,-0.656744,0.045492,0.494526,0.000000,0.000000,0.000000,0.000000
6.9667,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.843598,-0.623333,0.102832,0.466857,0.000000,0.000000,0.000000,0.000000
6.9833,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.786723,-0.592427,0.159310,0.440314,0.000000,0.000000,0.000000,0.000000
7.0833,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.731347,-0.565170,0.214019,0.415244,0.000000,0.000000,0.000000,0.000000
7.1000,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.678366,-0.542637,0.266070,0.392201,0.000000,0.000000,0.000000,0.000000
7.1167,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.628464,-0.525666,0.314685,0.371797,0.000000,0.000000,0.000000,0.000000
7.1333,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.582020,-0.514739,0.359261,0.354524,0.000000,0.000000,0.000000,0.000000
7.1500,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.539119,-0.509962,0.399401,0.340655,0.000000,0.000000,0.000000,0.000000
7.1667,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.499599,-0.511091,0.434908,0.330192,0.000000,0.000000,0.000000,0.000000
7.1833,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.463110,-0.517555,0.465777,0.322857,0.000000,0.000000,0.000000,0.000000
7.2000,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.429181,-0.528499,0.492172,0.318086,0.000000,0.000000,0.000000,0.000000
7.2833,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.397297,-0.542839,0.514407,0.315081,0.000000,0.000000,0.000000,0.000000
7.3667,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.366973,-0.559364,0.532911,0.312960,0.000000,0.000000,0.000000,0.000000
7.3833,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.337802,-0.576871,0.548186,0.310971,0.000000,0.000000,0.000000,0.000000
7.4000,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.309462,-0.594291,0.560754,0.308638,0.000000,0.000000,0.000000,0.000000
7.4167,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.281723,-0.610754,0.571127,0.305747,0.000000,0.000000,0.000000,0.000000
7.4333,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.254454,-0.625603,0.579790,0.302278,0.000000,0.000000,0.000000,0.000000
7.4500,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.227613,-0.638399,0.587180,0.298338,0.000000,0.000000,0.000000,0.000000
7.4667,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.201239,-0.648900,0.593681,0.294106,0.000000,0.000000,0.000000,0.000000
