t_wall,t_rel,weight,mode_machine,cmd_left_shoulder_pitch,cmd_left_shoulder_roll,cmd_left_shoulder_yaw,cmd_left_elbow,cmd_left_wrist_roll,cmd_left_wrist_pitch,cmd_left_wrist_yaw,cmd_right_shoulder_pitch,cmd_right_shoulder_roll,cmd_right_shoulder_yaw,cmd_right_elbow,cmd_right_wrist_roll,cmd_right_wrist_pitch,cmd_right_wrist_yaw,cmd_waist_yaw,exe_left_shoulder_pitch,exe_left_shoulder_roll,exe_left_shoulder_yaw,exe_left_elbow,exe_left_wrist_roll,exe_left_wrist_pitch,exe_left_wrist_yaw,exe_right_shoulder_pitch,exe_right_shoulder_roll,exe_right_shoulder_yaw,exe_right_elbow,exe_right_wrist_roll,exe_right_wrist_pitch,exe_right_wrist_yaw,exe_waist_yaw,err_left_shoulder_pitch,err_left_shoulder_roll,err_left_shoulder_yaw,err_left_elbow,err_left_wrist_roll,err_left_wrist_pitch,err_left_wrist_yaw,err_right_shoulder_pitch,err_right_shoulder_roll,err_right_shoulder_yaw,err_right_elbow,err_right_wrist_roll,err_right_wrist_pitch,err_right_wrist_yaw,err_waist_yaw,cmdtau_left_shoulder_pitch,cmdtau_left_shoulder_roll,cmdtau_left_shoulder_yaw,cmdtau_left_elbow,cmdtau_left_wrist_roll,cmdtau_left_wrist_pitch,cmdtau_left_wrist_yaw,cmdtau_right_shoulder_pitch,cmdtau_right_shoulder_roll,cmdtau_right_shoulder_yaw,cmdtau_right_elbow,cmdtau_right_wrist_roll,cmdtau_right_wrist_pitch,cmdtau_right_wrist_yaw,cmdtau_waist_yaw,exedq_left_shoulder_pitch,exedq_left_shoulder_roll,exedq_left_shoulder_yaw,exedq_left_elbow,exedq_left_wrist_roll,exedq_left_wrist_pitch,exedq_left_wrist_yaw,exedq_right_shoulder_pitch,exedq_right_shoulder_roll,exedq_right_shoulder_yaw,exedq_right_elbow,exedq_right_wrist_roll,exedq_right_wrist_pitch,exedq_right_wrist_yaw,exedq_waist_yaw,exetau_left_shoulder_pitch,exetau_left_shoulder_roll,exetau_left_shoulder_yaw,exetau_left_elbow,exetau_left_wrist_roll,exetau_left_wrist_pitch,exetau_left_wrist_yaw,exetau_right_shoulder_pitch,exetau_right_shoulder_roll,exetau_right_shoulder_yaw,exetau_right_elbow,exetau_right_wrist_roll,exetau_right_wrist_pitch,exetau_right_wrist_yaw,exetau_waist_yaw
1788383482.464743,0.0000,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.297021,0.236378,-0.119741,0.661947,-0.009088,-0.004713,-0.003062,0.289684,-0.243196,0.118721,0.673478,0.003935,0.002190,-0.004033,-0.000690,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.015272,0.019635,-0.035997,0.003272,-0.001534,-0.007670,0.004602,0.000000,0.011999,0.039426,-0.002182,-0.007670,0.003068,-0.006136,0.000099,2.285156,5.009766,1.789773,-1.318359,0.062500,0.000000,-0.062500,2.373047,-2.988281,-1.230469,-1.494141,-0.187500,0.062500,0.000000,0.410156
1788383482.484810,0.0201,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.297047,0.236361,-0.119701,0.661938,-0.009124,-0.004701,-0.003038,0.289684,-0.243196,0.118694,0.673469,0.003923,0.002190,-0.004009,-0.000690,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002182,-0.007636,-0.027427,-0.019635,-0.001534,-0.003068,0.010738,0.000000,0.004363,0.000000,-0.011999,-0.006136,0.004602,-0.001534,0.000036,2.285156,5.009766,1.789773,-1.142578,0.062500,0.000000,-0.062500,2.373047,-2.988281,-1.286399,-1.494141,-0.187500,0.062500,0.000000,0.351562
1788383482.504813,0.0401,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.297064,0.236352,-0.119714,0.661930,-0.009124,-0.004713,-0.003062,0.289684,-0.243204,0.118707,0.673486,0.003947,0.002166,-0.004045,-0.000690,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014181,0.007636,-0.032569,0.020726,-0.004602,-0.009204,-0.023010,0.009817,-0.005454,0.000000,0.014181,-0.003068,-0.007670,-0.010738,0.000052,2.197266,5.097656,1.789773,-1.142578,0.062500,0.000000,-0.062500,2.373047,-2.988281,-1.230469,-1.494141,-0.187500,0.000000,0.000000,0.058594
1788383482.524802,0.0601,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.297064,0.236370,-0.119714,0.661947,-0.009100,-0.004701,-0.003062,0.289701,-0.243196,0.118707,0.673494,0.003911,0.002190,-0.004045,-0.000690,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.004363,0.018856,0.014181,-0.013806,0.003068,-0.007670,0.014181,0.005454,0.011999,0.000000,0.000000,0.001534,0.010738,0.000081,2.285156,5.009766,1.733842,-1.318359,0.062500,0.000000,-0.062500,2.373047,-2.988281,-1.230469,-1.494141,-0.187500,0.062500,-0.062500,0.410156
1788383482.544805,0.0801,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.297039,0.236378,-0.119714,0.661930,-0.009100,-0.004701,-0.003038,0.289684,-0.243196,0.118707,0.673478,0.003959,0.002190,-0.004009,-0.000690,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005454,-0.002182,0.010285,-0.004363,0.001534,-0.003068,-0.003068,-0.001091,-0.001091,0.003428,0.005454,0.007670,0.012272,0.010738,0.000139,2.285156,5.097656,1.733842,-1.318359,0.062500,0.000000,-0.062500,2.373047,-2.900391,-1.286399,-1.494141,-0.250000,0.062500,0.000000,0.234375
1788383482.564797,0.1001,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.297039,0.236387,-0.119714,0.661930,-0.009112,-0.004713,-0.003050,0.289684,-0.243196,0.118707,0.673494,0.003935,0.002190,-0.003997,-0.000665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.008727,0.010908,0.034283,-0.015272,-0.001534,-0.001534,-0.015340,0.006545,0.000000,0.010285,0.000000,-0.003068,0.003068,-0.004602,0.000612,2.285156,5.097656,1.789773,-1.318359,0.000000,0.000000,-0.062500,2.373047,-2.900391,-1.230469,-1.494141,-0.187500,0.062500,0.000000,0.351562
1788383482.584797,0.1201,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.297030,0.236370,-0.119727,0.661930,-0.009172,-0.004713,-0.003062,0.289692,-0.243213,0.118721,0.673486,0.003935,0.002190,-0.004033,-0.000690,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002182,-0.022907,-0.006857,-0.009817,-0.009204,-0.001534,-0.003068,0.004363,-0.004363,0.001714,-0.002182,-0.007670,0.004602,-0.001534,0.000224,2.285156,5.185547,1.733842,-1.142578,0.062500,0.000000,-0.062500,2.373047,-2.988281,-1.230469,-1.494141,-0.187500,0.062500,0.000000,0.410156
1788383482.604801,0.1401,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.297039,0.236352,-0.119714,0.661930,-0.009112,-0.004701,-0.003050,0.289667,-0.243196,0.118707,0.673494,0.003935,0.002190,-0.004009,-0.000690,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005454,0.002182,0.000000,-0.004363,-0.006136,-0.012272,0.010738,-0.011999,-0.005454,0.000000,0.006545,0.003068,-0.007670,-0.004602,0.000092,2.285156,5.097656,1.789773,-1.318359,0.062500,0.000000,-0.062500,2.373047,-2.988281,-1.230469,-1.494141,-0.187500,0.062500,0.000000,0.468750
1788383482.624797,0.1601,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.297021,0.236352,-0.119727,0.661930,-0.009076,-0.004701,-0.003050,0.289684,-0.243221,0.118707,0.673486,0.003935,0.002190,-0.004009,-0.000690,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.008727,-0.002182,-0.010285,-0.015272,-0.021476,-0.009204,-0.003068,0.008727,0.008727,0.001714,0.003272,-0.013806,-0.007670,0.007670,-0.000159,2.285156,5.097656,1.733842,-1.318359,0.062500,0.000000,-0.062500,2.373047,-2.988281,-1.230469,-1.494141,-0.187500,0.062500,0.000000,0.410156
1788383482.644797,0.1801,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.297039,0.236344,-0.119714,0.661938,-0.009100,-0.004713,-0.003038,0.289692,-0.243204,0.118694,0.673494,0.003935,0.002190,-0.003997,-0.000716,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001091,0.021817,0.039426,-0.003272,-0.009204,-0.001534,-0.012272,-0.015272,-0.002182,0.008571,0.011999,0.004602,0.004602,0.003068,-0.000591,2.285156,4.921875,1.733842,-1.318359,0.062500,0.000000,-0.062500,2.548828,-2.988281,-1.230469,-1.494141,-0.187500,0.062500,0.000000,0.292969
