t_s,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow,left_wrist_roll,left_wrist_pitch,left_wrist_yaw,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,right_wrist_roll,right_wrist_pitch,right_wrist_yaw,waist_yaw
7.6167,0.484522,-0.028310,-0.333347,0.575633,0.000000,0.000000,0.000000,0.457658,-0.520343,0.071234,0.592865,0.000000,0.000000,0.000000,0.000000
7.6333,0.481646,-0.004717,-0.362805,0.576113,0.000000,0.000000,0.000000,0.444075,-0.515963,0.123013,0.552140,0.000000,0.000000,0.000000,0.000000
7.7833,0.478530,0.019057,-0.392269,0.576203,0.000000,0.000000,0.000000,0.430243,-0.513671,0.173671,0.512601,0.000000,0.000000,0.000000,0.000000
7.8000,0.475099,0.042851,-0.421399,0.575744,0.000000,0.000000,0.000000,0.416107,-0.514572,0.222086,0.476185,0.000000,0.000000,0.000000,0.000000
7.8167,0.471238,0.066459,-0.449915,0.574630,0.000000,0.000000,0.000000,0.401645,-0.519461,0.267308,0.444395,0.000000,0.000000,0.000000,0.000000
7.8333,0.466807,0.089623,-0.477615,0.572809,0.000000,0.000000,0.000000,0.386883,-0.528711,0.308639,0.418059,0.000000,0.000000,0.000000,0.000000
7.8500,0.461646,0.112042,-0.504366,0.570273,0.000000,0.000000,0.000000,0.371921,-0.542275,0.345668,0.397249,0.000000,0.000000,0.000000,0.000000
7.9500,0.455581,0.133380,-0.530105,0.567053,0.000000,0.000000,0.000000,0.356937,-0.559716,0.378273,0.381321,0.000000,0.000000,0.000000,0.000000
7.9667,0.448433,0.153282,-0.554824,0.563222,0.000000,0.000000,0.000000,0.342154,-0.580289,0.406580,0.369133,0.000000,0.000000,0.000000,0.000000
7.9833,0.440020,0.171396,-0.578558,0.558880,0.000000,0.000000,0.000000,0.327777,-0.603066,0.430900,0.359406,0.000000,0.000000,0.000000,0.000000
8.0333,0.430155,0.187388,-0.601379,0.554150,0.000000,0.000000,0.000000,0.313954,-0.627059,0.451654,0.351029,0.000000,0.000000,0.000000,0.000000
8.0500,0.418652,0.200966,-0.623386,0.549167,0.000000,0.000000,0.000000,0.300769,-0.651322,0.469316,0.343188,0.000000,0.000000,0.000000,0.000000
8.0667,0.405322,0.211896,-0.644695,0.544070,0.000000,0.000000,0.000000,0.288252,-0.675049,0.484355,0.335377,0.000000,0.000000,0.000000,0.000000
8.0833,0.389981,0.220006,-0.665427,0.538992,0.000000,0.000000,0.000000,0.276384,-0.697617,0.497200,0.327331,0.000000,0.000000,0.000000,0.000000
