t_s,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow,left_wrist_roll,left_wrist_pitch,left_wrist_yaw,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,right_wrist_roll,right_wrist_pitch,right_wrist_yaw,waist_yaw
7.9333,-0.229250,-0.108334,-0.539981,0.787181,0.000000,0.000000,0.000000,0.156947,-0.489032,0.020448,0.498556,0.000000,0.000000,0.000000,0.000000
7.9500,-0.212822,-0.097622,-0.559253,0.780824,0.000000,0.000000,0.000000,0.163265,-0.485147,0.014885,0.495733,0.000000,0.000000,0.000000,0.000000
7.9667,-0.195453,-0.086779,-0.578120,0.774831,0.000000,0.000000,0.000000,0.169823,-0.481606,0.009263,0.492954,0.000000,0.000000,0.000000,0.000000
7.9833,-0.176998,-0.075930,-0.596213,0.769438,0.000000,0.000000,0.000000,0.176647,-0.478508,0.003569,0.490241,0.000000,0.000000,0.000000,0.000000
8.0000,-0.157367,-0.065178,-0.613227,0.764848,0.000000,0.000000,0.000000,0.183742,-0.475949,-0.002221,0.487623,0.000000,0.000000,0.000000,0.000000
8.0167,-0.136547,-0.054601,-0.628913,0.761233,0.000000,0.000000,0.000000,0.191087,-0.474021,-0.008127,0.485130,0.000000,0.000000,0.000000,0.000000
8.0333,-0.114630,-0.044264,-0.643062,0.758737,0.000000,0.000000,0.000000,0.198629,-0.472801,-0.014168,0.482798,0.000000,0.000000,0.000000,0.000000
8.0500,-0.091831,-0.034231,-0.655494,0.757493,0.000000,0.000000,0.000000,0.206284,-0.472345,-0.020362,0.480672,0.000000,0.000000,0.000000,0.000000
8.0667,-0.068482,-0.024581,-0.666052,0.757631,0.000000,0.000000,0.000000,0.213936,-0.472673,-0.026737,0.478805,0.000000,0.000000,0.000000,0.000000
8.0833,-0.045023,-0.015412,-0.674599,0.759281,0.000000,0.000000,0.000000,0.221451,-0.473759,-0.033347,0.477257,0.000000,0.000000,0.000000,0.000000
8.1000,-0.021957,-0.006837,-0.681035,0.762565,0.000000,0.000000,0.000000,0.228682,-0.475526,-0.040268,0.476079,0.000000,0.000000,0.000000,0.000000
8.1167,0.000197,0.001021,-0.685306,0.767587,0.000000,0.000000,0.000000,0.235485,-0.477848,-0.047597,0.475304,0.000000,0.000000,0.000000,0.000000
8.1333,0.020952,0.008055,-0.687420,0.774424,0.000000,0.000000,0.000000,0.241714,-0.480561,-0.055425,0.474933,0.000000,0.000000,0.000000,0.000000
8.1500,0.039906,0.014185,-0.687445,0.783112,0.000000,0.000000,0.000000,0.247235,-0.483479,-0.063806,0.474936,0.000000,0.000000,0.000000,0.000000
8.1667,0.056771,0.019374,-0.685497,0.793630,0.000000,0.000000,0.000000,0.251921,-0.486415,-0.072733,0.475251,0.000000,0.000000,0.000000,0.000000
8.1833,0.071394,0.023621,-0.681723,0.805894,0.000000,0.000000,0.000000,0.255670,-0.489196,-0.082131,0.475793,0.000000,0.000000,0.000000,0.000000
8.2000,0.083750,0.026956,-0.676284,0.819735,0.000000,0.000000,0.000000,0.258403,-0.491677,-0.091856,0.476471,0.000000,0.000000,0.000000,0.000000
8.2167,0.093922,0.029436,-0.669328,0.834903,0.000000,0.000000,0.000000,0.260081,-0.493748,-0.101713,0.477201,0.000000,0.000000,0.000000,0.000000
8.2333,0.102065,0.031132,-0.660988,0.851062,0.000000,0.000000,0.000000,0.260700,-0.495333,-0.111478,0.477915,0.000000,0.000000,0.000000,0.000000
8.2500,0.108373,0.032135,-0.651387,0.867800,0.000000,0.000000,0.000000,0.260295,-0.496392,-0.120910,0.478574,0.000000,0.000000,0.000000,0.000000
8.2667,0.113046,0.032544,-0.640669,0.884646,0.000000,0.000000,0.000000,0.258937,-0.496916,-0.129781,0.479170,0.000000,0.000000,0.000000,0.000000
8.2833,0.116261,0.032450,-0.629016,0.901089,0.000000,0.000000,0.000000,0.256723,-0.496920,-0.137895,0.479732,0.000000,0.000000,0.000000,0.000000
8.3000,0.118148,0.031918,-0.616652,0.916627,0.000000,0.000000,0.000000,0.253765,-0.496437,-0.145105,0.480324,0.000000,0.000000,0.000000,0.000000
8.3167,0.118767,0.030964,-0.603834,0.930812,0.000000,0.000000,0.000000,0.250193,-0.495513,-0.151319,0.481031,0.000000,0.000000,0.000000,0.000000
8.3333,0.118100,0.029539,-0.590839,0.943302,0.000000,0.000000,0.000000,0.246144,-0.494210,-0.156499,0.481955,0.000000,0.000000,0.000000,0.000000
