t_wall,t_rel,weight,mode_machine,cmd_left_shoulder_pitch,cmd_left_shoulder_roll,cmd_left_shoulder_yaw,cmd_left_elbow,cmd_left_wrist_roll,cmd_left_wrist_pitch,cmd_left_wrist_yaw,cmd_right_shoulder_pitch,cmd_right_shoulder_roll,cmd_right_shoulder_yaw,cmd_right_elbow,cmd_right_wrist_roll,cmd_right_wrist_pitch,cmd_right_wrist_yaw,cmd_waist_yaw,exe_left_shoulder_pitch,exe_left_shoulder_roll,exe_left_shoulder_yaw,exe_left_elbow,exe_left_wrist_roll,exe_left_wrist_pitch,exe_left_wrist_yaw,exe_right_shoulder_pitch,exe_right_shoulder_roll,exe_right_shoulder_yaw,exe_right_elbow,exe_right_wrist_roll,exe_right_wrist_pitch,exe_right_wrist_yaw,exe_waist_yaw,err_left_shoulder_pitch,err_left_shoulder_roll,err_left_shoulder_yaw,err_left_elbow,err_left_wrist_roll,err_left_wrist_pitch,err_left_wrist_yaw,err_right_shoulder_pitch,err_right_shoulder_roll,err_right_shoulder_yaw,err_right_elbow,err_right_wrist_roll,err_right_wrist_pitch,err_right_wrist_yaw,err_waist_yaw,cmdtau_left_shoulder_pitch,cmdtau_left_shoulder_roll,cmdtau_left_shoulder_yaw,cmdtau_left_elbow,cmdtau_left_wrist_roll,cmdtau_left_wrist_pitch,cmdtau_left_wrist_yaw,cmdtau_right_shoulder_pitch,cmdtau_right_shoulder_roll,cmdtau_right_shoulder_yaw,cmdtau_right_elbow,cmdtau_right_wrist_roll,cmdtau_right_wrist_pitch,cmdtau_right_wrist_yaw,cmdtau_waist_yaw,exedq_left_shoulder_pitch,exedq_left_shoulder_roll,exedq_left_shoulder_yaw,exedq_left_elbow,exedq_left_wrist_roll,exedq_left_wrist_pitch,exedq_left_wrist_yaw,exedq_right_shoulder_pitch,exedq_right_shoulder_roll,exedq_right_shoulder_yaw,exedq_right_elbow,exedq_right_wrist_roll,exedq_right_wrist_pitch,exedq_right_wrist_yaw,exedq_waist_yaw,exetau_left_shoulder_pitch,exetau_left_shoulder_roll,exetau_left_shoulder_yaw,exetau_left_elbow,exetau_left_wrist_roll,exetau_left_wrist_pitch,exetau_left_wrist_yaw,exetau_right_shoulder_pitch,exetau_right_shoulder_roll,exetau_right_shoulder_yaw,exetau_right_elbow,exetau_right_wrist_roll,exetau_right_wrist_pitch,exetau_right_wrist_yaw,exetau_waist_yaw
1788387371.616866,0.0000,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.310470,0.237469,-0.120544,0.657115,-0.000915,-0.001609,-0.003925,0.301896,-0.242633,0.119203,0.666609,-0.013706,0.011370,-0.001972,0.000051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001091,0.004363,0.005142,0.001091,0.007670,0.000000,0.004602,0.002182,0.004363,0.003428,0.017453,-0.001534,-0.003068,0.004602,0.001166,2.988281,4.482422,1.789773,-0.878906,-0.125000,-0.062500,-0.062500,1.142578,-3.164062,-1.286399,-0.966797,0.062500,-0.062500,-0.062500,0.000000
1788387371.636930,0.0201,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.310470,0.237469,-0.120531,0.657106,-0.000927,-0.001633,-0.003925,0.301888,-0.242633,0.119203,0.666592,-0.013730,0.011370,-0.001972,0.000051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.006545,0.008727,0.020570,-0.016362,-0.012272,-0.001534,0.019942,-0.002182,0.001091,0.008571,0.004363,0.003068,0.010738,-0.009204,-0.000880,2.988281,4.570312,1.845703,-0.878906,-0.062500,-0.125000,-0.062500,1.142578,-3.164062,-1.286399,-0.966797,0.062500,-0.062500,-0.062500,-0.058594
1788387371.656930,0.0401,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.310478,0.237469,-0.120544,0.657115,-0.000891,-0.001609,-0.003925,0.301888,-0.242642,0.119203,0.666600,-0.013706,0.011370,-0.001972,0.000025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003272,0.010908,-0.010285,-0.020726,-0.004602,-0.003068,0.007670,0.000000,-0.004363,0.001714,0.004363,-0.009204,-0.004602,0.007670,-0.000994,2.988281,4.482422,1.845703,-0.791016,-0.062500,-0.062500,-0.062500,1.142578,-3.164062,-1.286399,-0.966797,0.125000,-0.062500,-0.062500,-0.058594
1788387371.676990,0.0601,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.310461,0.237452,-0.120531,0.657115,-0.000951,-0.001645,-0.003925,0.301888,-0.242667,0.119203,0.666600,-0.013718,0.011382,-0.001972,0.000025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.008727,0.009817,0.022284,0.000000,-0.010738,0.000000,-0.006136,0.002182,-0.007636,0.000000,0.020726,-0.003068,0.000000,-0.004602,-0.000850,2.988281,4.482422,1.845703,-0.878906,-0.062500,-0.062500,-0.062500,1.142578,-3.164062,-1.286399,-0.966797,0.125000,-0.062500,-0.062500,0.000000
1788387371.696998,0.0801,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.310470,0.237452,-0.120544,0.657123,-0.000891,-0.001633,-0.003925,0.301896,-0.242667,0.119203,0.666617,-0.013706,0.011370,-0.001996,0.000051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014181,-0.007636,0.006857,0.004363,-0.010738,-0.010738,-0.012272,0.001091,0.000000,-0.010285,0.003272,0.000000,0.006136,-0.013806,0.000380,2.988281,4.658203,1.845703,-0.878906,-0.062500,-0.062500,0.000000,1.142578,-3.251953,-1.286399,-0.966797,0.062500,-0.062500,-0.062500,-0.175781
1788387371.716926,0.1001,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.310478,0.237469,-0.120544,0.657115,-0.000915,-0.001585,-0.003949,0.301904,-0.242625,0.119203,0.666600,-0.013718,0.011370,-0.001972,0.000051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003272,0.002182,0.017142,-0.008727,-0.007670,0.000000,0.004602,-0.001091,0.005454,-0.005142,0.000000,0.001534,0.001534,-0.003068,-0.000512,2.988281,4.482422,1.789773,-0.791016,-0.062500,-0.062500,-0.062500,1.142578,-3.164062,-1.286399,-0.966797,0.062500,-0.062500,-0.062500,0.117188
1788387371.737003,0.1201,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.310470,0.237477,-0.120531,0.657106,-0.000927,-0.001585,-0.003925,0.301913,-0.242616,0.119189,0.666609,-0.013706,0.011382,-0.001984,0.000025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,0.022907,0.003428,0.004363,0.010738,0.000000,0.010738,0.005454,0.008727,-0.015427,0.002182,0.006136,0.007670,0.003068,-0.000881,2.988281,4.394531,1.789773,-0.878906,-0.125000,-0.062500,-0.062500,1.142578,-3.251953,-1.230469,-0.966797,0.062500,-0.062500,-0.062500,0.000000
1788387371.757011,0.1401,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.310452,0.237461,-0.120531,0.657123,-0.000927,-0.001585,-0.003949,0.301888,-0.242642,0.119203,0.666592,-0.013742,0.011370,-0.001947,0.000051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002182,0.003272,0.003428,-0.005454,-0.007670,0.000000,-0.004602,0.000000,-0.021817,-0.006857,0.015272,0.013806,0.006136,0.003068,0.000874,2.988281,4.570312,1.845703,-0.878906,-0.062500,-0.062500,-0.062500,1.318359,-3.164062,-1.286399,-0.966797,0.125000,-0.062500,-0.062500,0.292969
1788387371.776943,0.1601,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.310452,0.237443,-0.120531,0.657115,-0.000927,-0.001633,-0.003925,0.301888,-0.242642,0.119203,0.666600,-0.013706,0.011394,-0.001972,0.000051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.005454,0.000000,0.011999,0.001091,-0.001534,-0.010738,0.007670,0.004363,0.006545,-0.003428,0.000000,-0.013806,0.006136,-0.009204,0.000023,2.988281,4.570312,1.845703,-0.878906,-0.125000,-0.062500,-0.062500,1.318359,-3.164062,-1.286399,-0.878906,0.062500,-0.062500,-0.062500,-0.058594
1788387371.796925,0.1801,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.310478,0.237469,-0.120544,0.657115,-0.000903,-0.001621,-0.003925,0.301896,-0.242642,0.119176,0.666600,-0.013730,0.011370,-0.001972,0.000051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001091,0.019635,0.018856,-0.016362,-0.001534,-0.001534,-0.012272,0.004363,0.010908,-0.037712,-0.001091,-0.004602,0.003068,-0.003068,-0.000712,2.988281,4.482422,1.845703,-0.791016,-0.062500,-0.062500,-0.062500,1.142578,-3.164062,-1.230469,-0.966797,0.062500,-0.062500,-0.062500,-0.058594
