t_s,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow,left_wrist_roll,left_wrist_pitch,left_wrist_yaw,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,right_wrist_roll,right_wrist_pitch,right_wrist_yaw,waist_yaw
6.9500,0.134038,-0.037395,-0.659316,0.992154,0.000000,0.000000,0.000000,0.400249,-0.615029,0.128378,1.698190,0.000000,0.000000,0.000000,0.000000
6.9667,0.140298,-0.006680,-0.704786,0.962520,0.000000,0.000000,0.000000,0.333932,-0.511041,0.251761,1.789415,0.000000,0.000000,0.000000,0.000000
6.9833,0.146920,0.023358,-0.747541,0.933094,0.000000,0.000000,0.000000,0.270740,-0.412929,0.366933,1.870391,0.000000,0.000000,0.000000,0.000000
7.0833,0.153946,0.052115,-0.785915,0.904299,0.000000,0.000000,0.000000,0.212301,-0.323424,0.470313,1.937749,0.000000,0.000000,0.000000,0.000000
7.1000,0.161380,0.079067,-0.818636,0.876511,0.000000,0.000000,0.000000,0.160198,-0.245214,0.558422,1.988175,0.000000,0.000000,0.000000,0.000000
7.1167,0.169183,0.103782,-0.844872,0.850051,0.000000,0.000000,0.000000,0.115705,-0.180557,0.628407,2.018824,0.000000,0.000000,0.000000,0.000000
7.1333,0.177267,0.125916,-0.864232,0.825185,0.000000,0.000000,0.000000,0.079605,-0.130971,0.678415,2.027675,0.000000,0.000000,0.000000,0.000000
7.1500,0.185501,0.145224,-0.876738,0.802115,0.000000,0.000000,0.000000,0.052162,-0.097145,0.707659,2.013673,0.000000,0.000000,0.000000,0.000000
7.1667,0.193714,0.161561,-0.882764,0.780972,0.000000,0.000000,0.000000,0.033146,-0.078941,0.716386,1.976808,0.000000,0.000000,0.000000,0.000000
7.1833,0.201703,0.174875,-0.882963,0.761820,0.000000,0.000000,0.000000,0.021871,-0.075411,0.705852,1.918198,0.000000,0.000000,0.000000,0.000000
7.2000,0.209241,0.185193,-0.878179,0.744665,0.000000,0.000000,0.000000,0.017236,-0.084844,0.678318,1.840172,0.000000,0.000000,0.000000,0.000000
7.2833,0.216085,0.192608,-0.869361,0.729478,0.000000,0.000000,0.000000,0.017781,-0.104849,0.637049,1.746324,0.000000,0.000000,0.000000,0.000000
7.3667,0.221979,0.197256,-0.857482,0.716214,0.000000,0.000000,0.000000,0.021815,-0.132592,0.586230,1.641314,0.000000,0.000000,0.000000,0.000000
7.3833,0.226661,0.199296,-0.843487,0.704830,0.000000,0.000000,0.000000,0.027632,-0.165207,0.530479,1.530247,0.000000,0.000000,0.000000,0.000000
7.4000,0.229859,0.198902,-0.828244,0.695303,0.000000,0.000000,0.000000,0.033732,-0.200150,0.473999,1.417884,0.000000,0.000000,0.000000,0.000000
7.4167,0.231300,0.196250,-0.812520,0.687636,0.000000,0.000000,0.000000,0.038940,-0.235340,0.419972,1.308175,0.000000,0.000000,0.000000,0.000000
7.4333,0.230706,0.191516,-0.796965,0.681870,0.000000,0.000000,0.000000,0.042428,-0.269140,0.370477,1.204185,0.000000,0.000000,0.000000,0.000000
7.4500,0.227804,0.184871,-0.782094,0.678081,0.000000,0.000000,0.000000,0.043683,-0.300322,0.326687,1.108160,0.000000,0.000000,0.000000,0.000000
7.4667,0.222339,0.176492,-0.768290,0.676378,0.000000,0.000000,0.000000,0.042470,-0.328036,0.289089,1.021615,0.000000,0.000000,0.000000,0.000000
7.4833,0.214080,0.166558,-0.755802,0.676887,0.000000,0.000000,0.000000,0.038775,-0.351768,0.257657,0.945433,0.000000,0.000000,0.000000,0.000000
