t_s,q_pitch,q_roll,q_yaw,q_elbow,target_x,target_y,target_z
7.9667,-1.846168,-0.952183,-0.006099,-0.070584,0.214083,-0.345344,0.726894
7.9833,-1.862355,-0.956325,0.002909,-0.063967,0.177898,-0.330572,0.780713
8.0000,-1.890581,-0.954005,0.036509,-0.037246,0.179734,-0.325507,0.788205
8.0167,-1.919972,-0.947604,0.096217,0.011906,0.188952,-0.317275,0.797336
8.0333,-1.938492,-0.935884,0.170465,0.066343,0.205026,-0.306264,0.803471
8.0500,-1.930717,-0.935418,0.253364,0.109138,0.226517,-0.297733,0.801557
8.0667,-1.910071,-0.954334,0.367593,0.143676,0.253106,-0.291560,0.792857
8.0833,-1.882501,-0.985218,0.488014,0.145683,0.276008,-0.287174,0.777127
8.1000,-1.844754,-1.007892,0.552465,0.112786,0.288522,-0.284781,0.758853
8.1167,-1.813579,-1.023757,0.579178,0.075779,0.293714,-0.283762,0.745410
8.1333,-1.794323,-1.033125,0.594734,0.059448,0.297955,-0.284134,0.737511
8.1500,-1.793736,-1.035715,0.610845,0.068849,0.302363,-0.284813,0.736018
8.1667,-1.804213,-1.029923,0.629542,0.111080,0.310049,-0.286885,0.738644
8.1833,-1.824911,-1.025846,0.653688,0.166014,0.317181,-0.290483,0.744230
8.2000,-1.848864,-1.010073,0.660674,0.223193,0.322294,-0.291915,0.751968
8.2167,-1.864307,-0.986902,0.638407,0.266238,0.323951,-0.291782,0.759353
8.2333,-1.864797,-0.970394,0.589894,0.273601,0.319637,-0.292207,0.764170
8.2500,-1.863008,-0.956215,0.533248,0.260313,0.311811,-0.291604,0.768600
8.2667,-1.863453,-0.943303,0.476198,0.239318,0.301947,-0.290802,0.773226
8.2833,-1.854510,-0.932887,0.410060,0.200914,0.289769,-0.291138,0.774886
8.3000,-1.839305,-0.921677,0.333395,0.152917,0.276332,-0.293039,0.774575
8.3167,-1.843314,-0.903208,0.242991,0.094642,0.255175,-0.293676,0.778234
8.3333,-1.853268,-0.903061,0.176552,0.031048,0.231469,-0.296420,0.780475
8.3500,-1.863152,-0.892502,0.121489,-0.004176,0.216112,-0.298481,0.782030
8.3667,-1.875164,-0.877191,0.091471,-0.013637,0.209344,-0.297770,0.784522
8.3833,-1.898171,-0.867573,0.093070,-0.000859,0.206806,-0.294600,0.790272
8.4000,-1.930760,-0.845344,0.110252,0.031261,0.208416,-0.286251,0.798668
8.4167,-1.952462,-0.830305,0.121753,0.053085,0.208671,-0.280573,0.804025
8.4833,-1.845079,-0.718226,0.293302,0.220683,0.307441,-0.234195,0.770636
8.5000,-1.829968,-0.700384,0.343206,0.272705,0.332253,-0.226338,0.760985
8.5167,-1.827892,-0.695836,0.399901,0.341309,0.352912,-0.223536,0.754755
8.5333,-1.833400,-0.694800,0.450877,0.413385,0.370219,-0.224094,0.750820
8.5500,-1.844507,-0.656118,0.463024,0.488822,0.385421,-0.215026,0.748600
8.5833,-1.859175,-0.557951,0.341508,0.516138,0.383616,-0.192981,0.755499
8.6000,-1.866750,-0.514342,0.262779,0.501262,0.375514,-0.184804,0.761469
8.6167,-1.873162,-0.485236,0.192664,0.466195,0.363707,-0.181249,0.767573
8.6333,-1.879617,-0.497477,0.148459,0.399191,0.344056,-0.189257,0.775630
8.6500,-1.888143,-0.528325,0.109368,0.316108,0.318644,-0.203149,0.783930
8.6667,-1.889060,-0.556356,0.063195,0.234625,0.294824,-0.218240,0.787607
8.6833,-1.886684,-0.586565,0.014035,0.164712,0.273806,-0.235588,0.788783
8.7000,-1.879156,-0.602865,-0.035234,0.128829,0.262939,-0.250355,0.787687
8.7167,-1.869290,-0.611308,-0.074189,0.113715,0.258979,-0.261512,0.785739
8.7333,-1.872416,-0.658847,-0.076637,0.096612,0.248028,-0.276105,0.787952
8.7500,-1.898192,-0.707780,-0.051567,0.088662,0.233676,-0.283985,0.795218
8.7667,-1.943502,-0.747296,-0.004498,0.101340,0.220361,-0.284897,0.806778
8.7833,-1.987121,-0.783497,0.061666,0.125360,0.211536,-0.282714,0.817478
8.8000,-2.024594,-0.801551,0.129893,0.144310,0.206882,-0.274954,0.825284
8.8167,-2.045217,-0.816021,0.201769,0.165852,0.209644,-0.267236,0.829032
8.8333,-2.052298,-0.836510,0.279833,0.183983,0.217275,-0.261771,0.829029
8.8500,-2.041346,-0.865951,0.353287,0.188772,0.227670,-0.260941,0.823780
8.8667,-2.020811,-0.907190,0.439700,0.191991,0.242352,-0.263830,0.815047
8.8833,-1.994972,-0.924493,0.504977,0.189960,0.258430,-0.262178,0.803871
8.9000,-1.968608,-0.943203,0.559086,0.199712,0.274663,-0.265213,0.793391
8.9167,-1.928300,-0.927889,0.580511,0.238521,0.298606,-0.265926,0.780821
8.9333,-1.912315,-0.939585,0.629801,0.291196,0.318212,-0.274333,0.773726
8.9500,-1.908583,-0.926458,0.650290,0.339983,0.331838,-0.275523,0.770646
9.0000,-1.928604,-0.712789,0.414381,0.446453,0.341104,-0.233762,0.787138
9.0167,-1.928315,-0.642430,0.324511,0.471586,0.343802,-0.220844,0.789814
9.0333,-1.935664,-0.591553,0.244021,0.467345,0.338738,-0.211779,0.794412
9.0500,-1.949815,-0.556673,0.165930,0.434357,0.324531,-0.207185,0.801689
9.0667,-1.963029,-0.532753,0.090768,0.385791,0.306598,-0.207351,0.808095
9.0833,-1.982558,-0.534629,0.031926,0.318342,0.281405,-0.214597,0.815502
9.1000,-1.988019,-0.547900,-0.016682,0.253902,0.260738,-0.226276,0.817233
9.1167,-1.978356,-0.563853,-0.054554,0.203721,0.248845,-0.238539,0.814256
9.1333,-1.966168,-0.575280,-0.076633,0.174158,0.244046,-0.246704,0.810772
9.1500,-1.968548,-0.594282,-0.076078,0.158045,0.237969,-0.252054,0.811410
9.1667,-1.994241,-0.630913,-0.045253,0.151398,0.225748,-0.255746,0.818010
9.1833,-2.013064,-0.675653,0.011798,0.160777,0.219358,-0.258260,0.823295
9.2000,-2.032929,-0.694013,0.063764,0.174923,0.217256,-0.253670,0.827885
9.2167,-2.039414,-0.697308,0.112484,0.192535,0.222165,-0.245855,0.829032
9.2333,-2.035945,-0.696674,0.161828,0.212345,0.232033,-0.237544,0.827570
9.2500,-2.030323,-0.702903,0.213365,0.217065,0.239596,-0.230409,0.824407
9.2667,-2.012125,-0.704310,0.255735,0.209906,0.248774,-0.223304,0.817174
9.2833,-1.985468,-0.702573,0.284712,0.187567,0.256943,-0.216834,0.807181
9.3000,-1.957605,-0.696232,0.297348,0.173829,0.265859,-0.212773,0.797945
9.3167,-1.936578,-0.689233,0.308890,0.181684,0.276746,-0.210283,0.791526
9.3333,-1.921520,-0.678799,0.316358,0.208859,0.289169,-0.208820,0.787358
9.3500,-1.912810,-0.675771,0.335396,0.254180,0.303681,-0.209465,0.784748
