t_s,q_pitch,q_roll,q_yaw,q_elbow,target_x,target_y,target_z
5.0000,0.260890,0.101175,-0.397948,0.861435,-0.000448,0.210751,-0.094563
5.0167,0.262787,0.117290,-0.443861,0.844703,0.000476,0.210179,-0.092177
5.0333,0.263255,0.120267,-0.451092,0.841714,0.000398,0.210350,-0.092043
5.0500,0.264585,0.120372,-0.449762,0.839472,0.000259,0.210365,-0.091842
5.0667,0.264755,0.120348,-0.449593,0.838714,0.000308,0.210325,-0.091810
5.0833,0.265411,0.119941,-0.448080,0.837750,0.000270,0.210238,-0.091715
5.1000,0.265959,0.118310,-0.443895,0.837903,0.000262,0.209995,-0.091742
5.1167,0.266994,0.117150,-0.438735,0.837519,0.000149,0.210082,-0.091701
5.1333,0.268081,0.113762,-0.431001,0.838382,-0.000020,0.209500,-0.091788
5.1500,0.269212,0.111693,-0.425156,0.837609,-0.000063,0.209208,-0.091720
5.1667,0.270024,0.110667,-0.418984,0.838040,-0.000196,0.209584,-0.091776
5.1833,0.271239,0.109685,-0.413274,0.836523,-0.000180,0.209766,-0.091636
5.2000,0.271965,0.108838,-0.409144,0.835195,-0.000057,0.209824,-0.091536
5.2167,0.269914,0.108300,-0.410996,0.837248,0.000452,0.209486,-0.091784
5.2333,0.267185,0.108994,-0.416420,0.840068,0.000967,0.209311,-0.092035
5.2500,0.266304,0.109708,-0.419692,0.839902,0.001287,0.209183,-0.091964
5.2667,0.266574,0.110024,-0.420103,0.839029,0.001312,0.209201,-0.091859
5.2833,0.267404,0.109651,-0.418195,0.837545,0.001307,0.209152,-0.091721
5.3000,0.268747,0.108288,-0.413279,0.835865,0.001273,0.209009,-0.091570
5.3167,0.270988,0.106370,-0.407391,0.833083,0.001062,0.208647,-0.091307
5.3333,0.273693,0.104361,-0.400634,0.830660,0.000582,0.208402,-0.091088
5.3500,0.273941,0.103051,-0.397817,0.831323,0.000464,0.208219,-0.091215
5.3667,0.273386,0.101621,-0.395053,0.833242,0.000549,0.208033,-0.091410
5.3833,0.272990,0.100592,-0.392797,0.834342,0.000685,0.207912,-0.091502
5.4000,0.271717,0.100733,-0.394210,0.835777,0.000952,0.207903,-0.091644
5.4167,0.271801,0.100653,-0.392541,0.836093,0.000966,0.208102,-0.091641
5.4333,0.271819,0.099652,-0.389347,0.836670,0.001041,0.208085,-0.091700
5.4500,0.271878,0.097818,-0.385737,0.837722,0.001047,0.207741,-0.091795
5.4667,0.272617,0.095503,-0.379794,0.838387,0.000924,0.207446,-0.091843
5.4833,0.273302,0.092434,-0.372412,0.840842,0.000548,0.207102,-0.092070
5.5000,0.272112,0.089859,-0.367786,0.846220,0.000352,0.206832,-0.092590
5.5167,0.271505,0.088515,-0.366089,0.850724,-0.000114,0.206690,-0.092954
5.5333,0.271641,0.086824,-0.364649,0.852800,-0.000466,0.206165,-0.093106
5.5500,0.273258,0.086176,-0.361644,0.851846,-0.000919,0.206178,-0.092987
5.5667,0.275626,0.086169,-0.360001,0.847373,-0.001159,0.206114,-0.092578
5.5833,0.277758,0.085623,-0.357569,0.842935,-0.001235,0.205897,-0.092204
5.6000,0.280440,0.086085,-0.355925,0.838257,-0.001610,0.206066,-0.091781
5.6167,0.283590,0.088541,-0.357018,0.831481,-0.002007,0.206724,-0.091168
5.6333,0.285880,0.089591,-0.356146,0.826893,-0.002265,0.207090,-0.090794
5.6500,0.287047,0.089182,-0.355448,0.824560,-0.002367,0.206848,-0.090619
5.6667,0.284473,0.087434,-0.356815,0.828350,-0.001872,0.206043,-0.091058
5.6833,0.279839,0.087668,-0.361540,0.835721,-0.001240,0.205977,-0.091757
5.7000,0.276293,0.087826,-0.364772,0.841332,-0.000674,0.205948,-0.092215
5.7167,0.273654,0.088911,-0.368789,0.844615,-0.000187,0.206140,-0.092467
5.7333,0.272180,0.091077,-0.373970,0.844796,0.000230,0.206513,-0.092442
5.7500,0.270248,0.095286,-0.383536,0.843399,0.000875,0.207219,-0.092317
5.7667,0.268106,0.100752,-0.396154,0.841771,0.001472,0.208110,-0.092164
5.7833,0.265533,0.106486,-0.409592,0.840837,0.002085,0.209071,-0.092082
5.8000,0.264196,0.112148,-0.420160,0.838255,0.002554,0.210247,-0.091815
5.8167,0.264387,0.115497,-0.425371,0.834145,0.002900,0.210864,-0.091415
5.8333,0.264887,0.117431,-0.428462,0.830276,0.003169,0.211092,-0.091065
5.8500,0.266459,0.119388,-0.428398,0.825983,0.003159,0.211729,-0.090659
5.8667,0.268743,0.120637,-0.425300,0.821331,0.003041,0.212414,-0.090232
5.8833,0.270380,0.120963,-0.419913,0.819291,0.002886,0.213184,-0.090077
5.9000,0.268123,0.123520,-0.425233,0.821230,0.003195,0.213926,-0.090335
5.9167,0.264984,0.127130,-0.431862,0.821857,0.004177,0.214867,-0.090395
5.9333,0.258446,0.131144,-0.441758,0.826348,0.005917,0.215904,-0.090855
