t_s,q_pitch,q_roll,q_yaw,q_elbow,target_x,target_y,target_z
5.0000,0.149277,-0.469114,1.285883,0.884679,-0.042366,-0.321371,-0.090554
5.0333,0.151786,-0.468141,1.268415,0.882178,-0.038745,-0.318651,-0.083633
5.0500,0.161191,-0.466445,1.232684,0.879037,-0.038621,-0.318574,-0.083141
5.0833,0.217601,-0.420688,0.976402,0.904184,-0.038300,-0.315132,-0.084101
5.1000,0.253194,-0.374179,0.776564,0.938931,-0.041460,-0.314166,-0.087405
5.1167,0.268933,-0.345942,0.656800,0.959163,-0.043205,-0.314339,-0.089490
5.1333,0.289161,-0.324620,0.537772,0.958303,-0.045171,-0.315480,-0.088833
5.1500,0.294230,-0.343901,0.582513,0.927503,-0.045708,-0.316847,-0.087055
5.1667,0.289330,-0.357496,0.623326,0.920394,-0.045147,-0.318499,-0.086519
5.1833,0.293340,-0.362372,0.626404,0.909376,-0.045433,-0.318994,-0.085120
5.2000,0.299532,-0.350524,0.579189,0.923930,-0.047611,-0.319975,-0.085686
5.2167,0.311179,-0.328993,0.499583,0.943542,-0.051920,-0.320095,-0.086501
5.2333,0.323208,-0.295607,0.378092,0.968076,-0.056471,-0.319243,-0.087897
5.2500,0.320993,-0.219308,0.089022,1.036343,-0.061832,-0.316746,-0.092422
5.3000,0.219920,-0.015000,0.020481,1.039368,-0.054687,-0.314043,-0.113408
5.3167,0.000623,-0.014130,-2.052169,1.108094,-0.047022,-0.305816,-0.104801
5.3333,-0.065885,0.040424,-2.173959,0.942423,-0.039462,-0.297993,-0.094842
5.3500,-0.144084,0.052586,-2.347006,0.817256,-0.032754,-0.296164,-0.085594
5.3667,-0.192417,0.061675,-2.402284,0.722301,-0.026834,-0.297919,-0.075060
5.4000,-0.160395,0.116452,-2.148761,0.642077,-0.017996,-0.308180,-0.061494
5.4167,-0.165758,0.120498,-2.124357,0.580491,-0.017165,-0.317536,-0.053971
5.4333,-0.158029,0.099491,-2.104359,0.559732,-0.019491,-0.332023,-0.047402
5.4500,-0.142772,0.076497,-2.065943,0.556002,-0.020872,-0.346582,-0.042649
5.4667,-0.099463,0.070510,-1.950268,0.563874,-0.021525,-0.356660,-0.039577
