t_s,q_pitch,q_roll,q_yaw,q_elbow,target_x,target_y,target_z
7.1500,-0.710464,-0.441079,0.105938,1.094840,0.424645,-0.378048,0.132933
7.1667,-0.647249,-0.477732,0.146995,0.811037,0.423641,-0.369319,0.165692
7.1833,-0.653240,-0.483557,0.171086,0.826869,0.424455,-0.369964,0.164307
7.2000,-0.651917,-0.490663,0.185438,0.821107,0.423862,-0.370811,0.165155
7.2167,-0.649669,-0.498365,0.198967,0.813685,0.423113,-0.371949,0.166027
7.2333,-0.644583,-0.508577,0.214897,0.800563,0.421641,-0.373499,0.167029
7.2500,-0.639867,-0.517843,0.230339,0.788287,0.420251,-0.374672,0.167817
7.2667,-0.632061,-0.530802,0.244164,0.772938,0.417810,-0.377580,0.168746
7.2833,-0.634782,-0.528412,0.251600,0.770492,0.418884,-0.374921,0.169084
7.3000,-0.633156,-0.533918,0.266398,0.757889,0.418520,-0.373946,0.170363
7.3167,-0.635211,-0.532869,0.279408,0.748020,0.419481,-0.370190,0.171475
7.3333,-0.627607,-0.544405,0.292046,0.727108,0.417272,-0.371607,0.173074
7.3500,-0.616033,-0.562723,0.302439,0.706672,0.413481,-0.376698,0.174496
7.3667,-0.601758,-0.582720,0.312082,0.684713,0.408775,-0.382497,0.175543
7.3833,-0.586828,-0.601937,0.321518,0.666094,0.403734,-0.388348,0.175668
7.4000,-0.582591,-0.602120,0.327649,0.664581,0.402386,-0.387815,0.173596
7.4167,-0.576203,-0.602718,0.333747,0.666592,0.400285,-0.388253,0.170151
7.4333,-0.571158,-0.602558,0.342196,0.673910,0.398352,-0.388728,0.165935
7.4500,-0.568764,-0.600033,0.352753,0.684242,0.397074,-0.388078,0.161575
7.4667,-0.561790,-0.593542,0.362402,0.689550,0.394746,-0.385526,0.155600
7.4833,-0.550180,-0.585761,0.372704,0.696314,0.390801,-0.383006,0.147343
7.5000,-0.516963,-0.589311,0.385719,0.685621,0.379628,-0.384517,0.135984
7.5167,-0.472647,-0.598741,0.398189,0.676241,0.363969,-0.389846,0.121995
