t_s,q_pitch,q_roll,q_yaw,q_elbow,target_x,target_y,target_z
7.3833,0.394403,0.307875,-0.158098,0.739981,-0.038429,0.339328,-0.065308
7.4000,0.381304,0.318183,-0.198369,0.770071,-0.039096,0.339787,-0.068229
7.4167,0.380700,0.322653,-0.218237,0.775348,-0.040573,0.339226,-0.068798
7.4333,0.379019,0.328233,-0.249090,0.788610,-0.043639,0.338159,-0.070111
7.4500,0.365810,0.331802,-0.281850,0.815895,-0.043732,0.337229,-0.073004
7.4667,0.353812,0.332627,-0.315538,0.843350,-0.044595,0.335163,-0.075960
7.4833,0.340898,0.327962,-0.348747,0.877509,-0.046349,0.331381,-0.079741
7.5000,0.334989,0.323489,-0.371403,0.890911,-0.047057,0.327446,-0.081753
7.5167,0.328147,0.318765,-0.391669,0.902345,-0.046752,0.323613,-0.083595
7.5333,0.319987,0.316109,-0.403907,0.905355,-0.043625,0.321116,-0.084677
7.5500,0.307008,0.313754,-0.419950,0.912049,-0.038874,0.318711,-0.086080
7.5667,0.297418,0.312171,-0.427445,0.911173,-0.033959,0.316992,-0.086723
7.5833,0.286653,0.311044,-0.434456,0.910126,-0.028362,0.315541,-0.087274
7.6000,0.276767,0.309648,-0.438916,0.906595,-0.022599,0.313980,-0.087525
7.6167,0.268037,0.309498,-0.443168,0.903661,-0.017587,0.313123,-0.087643
7.6333,0.258536,0.309592,-0.454044,0.909406,-0.014261,0.312490,-0.088395
7.6500,0.250290,0.308644,-0.465912,0.918585,-0.012320,0.311585,-0.089348
7.6667,0.247073,0.306582,-0.475431,0.924752,-0.012342,0.310086,-0.090130
7.6833,0.244158,0.303891,-0.484152,0.930981,-0.012483,0.308384,-0.090943
7.7000,0.245147,0.301211,-0.486525,0.931099,-0.013182,0.306683,-0.091217
7.7167,0.251759,0.298881,-0.491067,0.931016,-0.016960,0.304959,-0.091280
7.7333,0.259196,0.295714,-0.495829,0.934441,-0.021879,0.303153,-0.091876
7.7500,0.268899,0.292707,-0.503343,0.941156,-0.028822,0.301428,-0.092352
7.7667,0.278171,0.288935,-0.512256,0.954038,-0.036811,0.299838,-0.093114
7.7833,0.288243,0.283608,-0.520629,0.969789,-0.045736,0.297820,-0.093922
7.8000,0.300314,0.277856,-0.527313,0.985599,-0.055641,0.295735,-0.094465
7.8167,0.310143,0.270799,-0.532127,1.002042,-0.064332,0.293249,-0.095052
7.8333,0.316083,0.264886,-0.534231,1.021451,-0.071378,0.292012,-0.095659
7.8500,0.317769,0.260932,-0.533466,1.037838,-0.075421,0.291808,-0.096200
7.8667,0.317641,0.260537,-0.531406,1.045500,-0.076756,0.292654,-0.096361
7.8833,0.315859,0.260539,-0.528641,1.051354,-0.076811,0.293603,-0.096555
7.9000,0.314564,0.262896,-0.526345,1.048213,-0.075390,0.294721,-0.096218
7.9167,0.314900,0.267647,-0.523354,1.039885,-0.073833,0.296586,-0.095609
7.9333,0.316017,0.269359,-0.522006,1.033898,-0.073200,0.296937,-0.095257
7.9500,0.317028,0.270617,-0.521465,1.031987,-0.073354,0.297418,-0.095012
7.9667,0.317508,0.271338,-0.521264,1.031710,-0.073565,0.297788,-0.094906
7.9833,0.318052,0.271465,-0.521184,1.031755,-0.073874,0.297857,-0.094923
8.0000,0.318052,0.271465,-0.521184,1.031755,-0.073830,0.297925,-0.094962
8.0167,0.319034,0.271988,-0.520831,1.027509,-0.073534,0.297673,-0.094676
8.0333,0.320111,0.271751,-0.520950,1.027224,-0.074075,0.297475,-0.094594
8.0500,0.323148,0.272202,-0.521333,1.021072,-0.074500,0.296948,-0.094236
8.0667,0.325183,0.271350,-0.521785,1.021763,-0.075792,0.296490,-0.094282
8.0833,0.326948,0.268667,-0.522546,1.022030,-0.076788,0.294970,-0.094413
8.1000,0.328252,0.265212,-0.523410,1.021553,-0.077363,0.292971,-0.094552
8.1167,0.329671,0.261651,-0.524592,1.018590,-0.077504,0.290691,-0.094622
8.1333,0.332400,0.258407,-0.526540,1.012455,-0.077792,0.288069,-0.094571
8.1500,0.336081,0.255615,-0.529426,1.004359,-0.078259,0.285352,-0.094362
8.1667,0.338566,0.254072,-0.532654,0.995986,-0.078076,0.283240,-0.094115
8.1833,0.339645,0.253556,-0.535569,0.989008,-0.077424,0.281871,-0.093899
8.2000,0.340154,0.256108,-0.538166,0.982010,-0.076520,0.282142,-0.093495
8.2167,0.338731,0.257438,-0.538390,0.981718,-0.075729,0.282840,-0.093580
8.2333,0.336139,0.258730,-0.540195,0.984985,-0.075157,0.283719,-0.093859
8.2500,0.333222,0.259073,-0.542119,0.991528,-0.075012,0.284482,-0.094253
8.2667,0.330802,0.259394,-0.543443,0.997767,-0.075031,0.285256,-0.094570
8.2833,0.329486,0.259558,-0.544311,1.004149,-0.075638,0.285995,-0.094817
8.3000,0.332157,0.260101,-0.544828,1.003879,-0.077041,0.286121,-0.094401
8.3167,0.343907,0.262423,-0.548085,0.988242,-0.080485,0.284992,-0.092966
8.3333,0.361925,0.261205,-0.554686,0.972134,-0.087289,0.281442,-0.091243
8.3500,0.378856,0.254157,-0.561445,0.969711,-0.096035,0.276362,-0.090236
8.3667,0.392701,0.247402,-0.565931,0.971223,-0.103749,0.272159,-0.089413
8.3833,0.404790,0.237764,-0.570798,0.972298,-0.110341,0.266388,-0.088865
8.4000,0.415161,0.232183,-0.576036,0.970246,-0.115495,0.262375,-0.087983
8.4167,0.416479,0.235529,-0.579153,0.964114,-0.115272,0.263054,-0.087501
8.4333,0.414655,0.245228,-0.582555,0.951001,-0.112264,0.266305,-0.086841
8.4500,0.419015,0.251008,-0.588464,0.937078,-0.112377,0.266927,-0.085676
8.4667,0.422664,0.253993,-0.594512,0.928075,-0.113021,0.266640,-0.084869
8.4833,0.421890,0.259615,-0.598614,0.919896,-0.111480,0.268145,-0.084362
8.5000,0.418110,0.263803,-0.600527,0.915769,-0.108968,0.269709,-0.084368
8.5167,0.413256,0.270895,-0.604059,0.904402,-0.104701,0.271742,-0.084075
8.5333,0.407340,0.283161,-0.609462,0.883914,-0.098437,0.275102,-0.083207
8.5500,0.400465,0.296883,-0.615595,0.859517,-0.091064,0.278558,-0.081996
8.5667,0.381394,0.312874,-0.616606,0.845791,-0.078994,0.285265,-0.081809
8.5833,0.350594,0.326477,-0.615575,0.848250,-0.063478,0.293173,-0.083068
8.6000,0.323462,0.334487,-0.614493,0.847494,-0.049068,0.297656,-0.083823
8.6167,0.302528,0.341532,-0.611930,0.840400,-0.036590,0.300818,-0.083544
8.6333,0.284537,0.348775,-0.612466,0.829463,-0.025280,0.303085,-0.082783
8.6500,0.270653,0.353902,-0.614447,0.815775,-0.015782,0.303651,-0.081759
8.6667,0.258397,0.353686,-0.615332,0.810274,-0.008428,0.302740,-0.081647
8.6833,0.241604,0.349753,-0.620119,0.820159,-0.001637,0.301555,-0.082977
8.7000,0.221853,0.341804,-0.624855,0.838517,0.005359,0.299474,-0.084986
8.7167,0.202002,0.333643,-0.627708,0.870408,0.010324,0.299339,-0.087691
8.7333,0.194645,0.332129,-0.628312,0.883816,0.011930,0.300329,-0.088632
8.7500,0.189110,0.333072,-0.627521,0.894267,0.013166,0.302330,-0.089142
8.7667,0.186800,0.336525,-0.626345,0.896277,0.014128,0.304497,-0.088888
8.7833,0.184488,0.340412,-0.624992,0.897176,0.015290,0.306739,-0.088458
8.8000,0.182601,0.343413,-0.623836,0.899257,0.016021,0.308689,-0.088301
8.8167,0.177271,0.343157,-0.622062,0.908758,0.017403,0.310051,-0.088772
8.8333,0.174518,0.342771,-0.620156,0.916801,0.017658,0.311164,-0.089176
8.8500,0.174186,0.343142,-0.617992,0.924145,0.016743,0.312603,-0.089493
8.8667,0.178447,0.345064,-0.616894,0.923025,0.014708,0.313543,-0.089127
8.8833,0.183012,0.346776,-0.615978,0.921646,0.012551,0.314340,-0.088906
8.9000,0.190188,0.349782,-0.614827,0.913899,0.010105,0.314948,-0.088206
8.9167,0.197366,0.352666,-0.614327,0.906165,0.007609,0.315423,-0.087532
8.9333,0.203231,0.355691,-0.614153,0.899123,0.005677,0.316023,-0.086871
8.9500,0.211414,0.359585,-0.614799,0.889399,0.002897,0.316599,-0.085987
8.9667,0.222720,0.361822,-0.616766,0.882512,-0.002141,0.316558,-0.085402
8.9833,0.232426,0.364353,-0.618848,0.876102,-0.006411,0.316709,-0.084803
9.0000,0.240660,0.366609,-0.620761,0.872272,-0.010323,0.317082,-0.084324
9.0167,0.251012,0.370368,-0.623272,0.864558,-0.014749,0.317590,-0.083450
9.0333,0.262641,0.372293,-0.625468,0.866868,-0.021562,0.318575,-0.083224
9.0500,0.270420,0.374944,-0.626788,0.868308,-0.026093,0.319911,-0.082858
9.0667,0.269341,0.377536,-0.627067,0.877125,-0.027100,0.322439,-0.083156
9.0833,0.265805,0.377759,-0.626582,0.890179,-0.027462,0.324445,-0.083803
9.1000,0.264151,0.378706,-0.625430,0.900279,-0.028265,0.326471,-0.084164
9.1167,0.259600,0.369864,-0.623037,0.931654,-0.031141,0.326611,-0.086492
9.1333,0.262835,0.366304,-0.621123,0.940878,-0.034365,0.326237,-0.087097
9.1500,0.259426,0.363087,-0.617933,0.946614,-0.033293,0.325738,-0.087704
9.1667,0.264050,0.360918,-0.617633,0.946505,-0.035731,0.324575,-0.087653
9.1833,0.270008,0.361917,-0.615181,0.933423,-0.036401,0.323507,-0.086788
9.2000,0.267875,0.360265,-0.614775,0.931993,-0.034912,0.322513,-0.087052
9.2167,0.262676,0.360233,-0.612956,0.927331,-0.031179,0.322129,-0.086968
9.2333,0.255195,0.360728,-0.611173,0.923012,-0.026241,0.322042,-0.086898
9.2500,0.245572,0.362117,-0.609007,0.919457,-0.020269,0.322574,-0.086835
9.2667,0.235554,0.363011,-0.606977,0.916376,-0.014179,0.322884,-0.086759
9.2833,0.230774,0.364370,-0.605592,0.908509,-0.010122,0.322650,-0.086156
9.3000,0.225748,0.361514,-0.605222,0.912502,-0.008075,0.321828,-0.086888
9.3167,0.221359,0.357623,-0.604447,0.922568,-0.007412,0.321305,-0.087792
9.3333,0.218730,0.350769,-0.603801,0.934760,-0.008068,0.319534,-0.089134
9.3500,0.214990,0.339327,-0.602572,0.951686,-0.008903,0.316083,-0.091129
9.3667,0.213109,0.331979,-0.600420,0.962775,-0.009667,0.314012,-0.092362
9.3833,0.214981,0.328884,-0.598788,0.966957,-0.011294,0.313131,-0.092790
9.4000,0.221870,0.328311,-0.597932,0.966348,-0.014849,0.312792,-0.092560
9.4167,0.236365,0.329361,-0.596473,0.961646,-0.021737,0.312798,-0.091987
9.4333,0.248766,0.330410,-0.596455,0.962624,-0.028624,0.313385,-0.091595
9.4500,0.263275,0.332183,-0.595804,0.960643,-0.036063,0.313989,-0.090890
9.4667,0.277545,0.333588,-0.595480,0.959163,-0.043477,0.314409,-0.090148
9.4833,0.286559,0.334580,-0.595402,0.959330,-0.048368,0.314839,-0.089633
9.5000,0.296772,0.333901,-0.595612,0.957663,-0.053565,0.314118,-0.089155
9.5167,0.306570,0.329787,-0.597174,0.959690,-0.059290,0.311963,-0.089208
9.5333,0.310796,0.326902,-0.597724,0.962064,-0.062015,0.310672,-0.089423
9.5500,0.309575,0.325305,-0.596191,0.967638,-0.062273,0.310739,-0.089769
9.5667,0.307959,0.325330,-0.594409,0.971669,-0.062037,0.311480,-0.089959
9.5833,0.304610,0.324896,-0.591875,0.976600,-0.060981,0.312197,-0.090288
9.6000,0.302239,0.323439,-0.589988,0.979300,-0.060067,0.312018,-0.090621
9.6167,0.299566,0.320824,-0.587670,0.985094,-0.059533,0.311680,-0.091180
9.6333,0.297884,0.317099,-0.585482,0.990525,-0.059464,0.310682,-0.091761
9.6500,0.295053,0.310294,-0.582286,1.000189,-0.059478,0.308721,-0.092793
9.6667,0.296520,0.307962,-0.581614,1.001282,-0.060406,0.307687,-0.092952
9.6833,0.295713,0.301512,-0.578151,1.010621,-0.061448,0.305843,-0.093813
9.7000,0.297547,0.298871,-0.575323,1.015672,-0.063194,0.305335,-0.094041
9.7167,0.296749,0.292257,-0.570369,1.027826,-0.064707,0.303856,-0.094929
