t_s,q_pitch,q_roll,q_yaw,q_elbow,target_x,target_y,target_z
7.3833,0.515897,0.339511,-0.173984,0.400372,-0.032813,0.328999,-0.025594
7.4000,0.499949,0.358763,-0.224844,0.446437,-0.036007,0.330335,-0.031732
7.4167,0.499226,0.366327,-0.245231,0.449089,-0.037226,0.329786,-0.032156
7.4333,0.498269,0.375977,-0.275147,0.457386,-0.040037,0.328805,-0.033359
7.4500,0.486867,0.386488,-0.312002,0.475146,-0.040132,0.327959,-0.036038
7.4667,0.476844,0.393594,-0.347703,0.492292,-0.040895,0.326070,-0.038792
7.4833,0.466903,0.395467,-0.382837,0.513169,-0.042488,0.322609,-0.042314
7.5000,0.460931,0.395659,-0.408539,0.521673,-0.043134,0.319015,-0.044238
7.5167,0.453781,0.395694,-0.432894,0.528299,-0.042820,0.315491,-0.045921
7.5333,0.443368,0.398292,-0.454561,0.530249,-0.039904,0.313192,-0.046897
7.5500,0.429691,0.400136,-0.474875,0.533001,-0.035446,0.310956,-0.048103
7.5667,0.418343,0.401390,-0.487542,0.532221,-0.030849,0.309368,-0.048663
7.5833,0.405913,0.402952,-0.499462,0.531113,-0.025623,0.308015,-0.049106
7.6000,0.393715,0.404578,-0.511000,0.528453,-0.020243,0.306562,-0.049275
7.6167,0.382799,0.407356,-0.521994,0.526094,-0.015545,0.305747,-0.049298
7.6333,0.371999,0.411299,-0.538733,0.528947,-0.012407,0.305140,-0.049908
7.6500,0.363219,0.414088,-0.555270,0.533557,-0.010555,0.304291,-0.050729
7.6667,0.358419,0.416026,-0.571979,0.536943,-0.010527,0.302904,-0.051417
7.6833,0.355286,0.415785,-0.583289,0.539529,-0.010611,0.301322,-0.052102
7.7000,0.355117,0.414651,-0.589515,0.539606,-0.011235,0.299756,-0.052341
7.7167,0.359574,0.415528,-0.601658,0.538830,-0.014687,0.298160,-0.052359
7.7333,0.365147,0.415601,-0.614064,0.540841,-0.019192,0.296481,-0.052835
7.7500,0.374020,0.415758,-0.626895,0.543782,-0.025563,0.294879,-0.053211
7.7667,0.383821,0.415310,-0.639800,0.549908,-0.032925,0.293414,-0.053887
7.7833,0.393544,0.414703,-0.656959,0.558588,-0.041171,0.291565,-0.054645
7.8000,0.405248,0.413982,-0.673743,0.566697,-0.050302,0.289645,-0.055127
7.8167,0.414929,0.412038,-0.689574,0.574910,-0.058325,0.287356,-0.055647
7.8333,0.421603,0.411406,-0.703369,0.584274,-0.064834,0.286213,-0.056187
7.8500,0.425748,0.412561,-0.711629,0.587558,-0.068466,0.285936,-0.056114
7.8667,0.426893,0.414856,-0.714932,0.588376,-0.069654,0.286656,-0.055879
7.8833,0.426132,0.417300,-0.717622,0.588668,-0.069665,0.287483,-0.055779
7.9000,0.423118,0.419998,-0.719584,0.588800,-0.068441,0.288564,-0.055830
7.9167,0.419839,0.423979,-0.721024,0.588915,-0.067073,0.290337,-0.055719
7.9333,0.418081,0.425627,-0.723463,0.588551,-0.066494,0.290691,-0.055667
7.9500,0.417718,0.427541,-0.726126,0.587906,-0.066597,0.291123,-0.055440
7.9667,0.417489,0.429231,-0.728839,0.587324,-0.066764,0.291451,-0.055300
7.9833,0.417298,0.430262,-0.731707,0.587185,-0.067033,0.291509,-0.055291
8.0000,0.417298,0.430262,-0.731707,0.587185,-0.066977,0.291565,-0.055301
8.0167,0.416005,0.432188,-0.737041,0.584800,-0.066705,0.291333,-0.055039
8.0333,0.416355,0.432926,-0.740013,0.584006,-0.067158,0.291129,-0.054891
8.0500,0.416631,0.434530,-0.745650,0.580887,-0.067538,0.290637,-0.054539
8.0667,0.418016,0.434690,-0.748979,0.580781,-0.068683,0.290192,-0.054496
8.0833,0.419053,0.433035,-0.752698,0.580460,-0.069591,0.288791,-0.054596
8.1000,0.419523,0.430583,-0.756464,0.579590,-0.070111,0.286948,-0.054700
8.1167,0.418949,0.428499,-0.762686,0.577434,-0.070226,0.284848,-0.054737
8.1333,0.418906,0.426297,-0.769013,0.574068,-0.070453,0.282423,-0.054628
8.1500,0.419489,0.424298,-0.775419,0.569559,-0.070835,0.279906,-0.054355
8.1667,0.418571,0.424212,-0.783580,0.564077,-0.070617,0.277943,-0.054041
8.1833,0.417167,0.424285,-0.788717,0.559848,-0.069960,0.276658,-0.053744
8.2000,0.414887,0.428016,-0.795119,0.555187,-0.069085,0.276885,-0.053303
8.2167,0.412940,0.429795,-0.796753,0.554812,-0.068308,0.277502,-0.053299
8.2333,0.410156,0.432008,-0.800509,0.556419,-0.067771,0.278302,-0.053536
8.2500,0.407785,0.433508,-0.804340,0.559527,-0.067629,0.278999,-0.053887
8.2667,0.405761,0.434962,-0.808020,0.562759,-0.067649,0.279712,-0.054188
8.2833,0.404790,0.436369,-0.811759,0.566056,-0.068206,0.280391,-0.054420
8.3000,0.406675,0.437439,-0.814140,0.565871,-0.069495,0.280506,-0.054042
8.3167,0.413016,0.440842,-0.823211,0.557265,-0.072648,0.279462,-0.052704
8.3333,0.425165,0.440909,-0.834970,0.547403,-0.078823,0.276164,-0.050978
8.3500,0.439572,0.435295,-0.845006,0.544904,-0.086792,0.271464,-0.049910
8.3667,0.451772,0.430420,-0.854215,0.544594,-0.093872,0.267596,-0.049105
8.3833,0.461970,0.422406,-0.863644,0.544640,-0.099931,0.262292,-0.048570
8.4000,0.470223,0.417777,-0.871545,0.543139,-0.104658,0.258598,-0.047721
8.4167,0.469684,0.420909,-0.874604,0.539922,-0.104442,0.259207,-0.047235
8.4333,0.464947,0.429859,-0.876635,0.532549,-0.101648,0.262175,-0.046582
8.4500,0.465794,0.435072,-0.881329,0.524289,-0.101684,0.262725,-0.045438
8.4667,0.466867,0.437971,-0.886672,0.518350,-0.102209,0.262444,-0.044616
8.4833,0.464040,0.443369,-0.889973,0.513112,-0.100744,0.263815,-0.044093
8.5000,0.459356,0.447367,-0.891090,0.510398,-0.098382,0.265249,-0.044048
8.5167,0.452281,0.453571,-0.892496,0.503790,-0.094424,0.267121,-0.043752
8.5333,0.443147,0.463472,-0.892160,0.492222,-0.088605,0.270202,-0.042894
8.5500,0.432543,0.475040,-0.892634,0.476952,-0.081753,0.273358,-0.041695
8.5667,0.412817,0.488967,-0.887507,0.468250,-0.070584,0.279490,-0.041418
8.5833,0.384819,0.500840,-0.879766,0.470025,-0.056288,0.286734,-0.042528
8.6000,0.359184,0.507269,-0.873901,0.470428,-0.043045,0.290853,-0.043250
8.6167,0.338473,0.513109,-0.868231,0.466004,-0.031556,0.293752,-0.042991
8.6333,0.320141,0.518305,-0.863464,0.459601,-0.021129,0.295821,-0.042261
8.6500,0.305155,0.521401,-0.860385,0.451284,-0.012365,0.296327,-0.041284
8.6667,0.292543,0.520539,-0.859251,0.447380,-0.005567,0.295476,-0.041127
8.6833,0.278073,0.515963,-0.859804,0.453753,0.000697,0.294380,-0.042315
8.7000,0.261739,0.507984,-0.861382,0.465800,0.007116,0.292484,-0.044202
8.7167,0.247721,0.501182,-0.862474,0.485197,0.011660,0.292381,-0.046756
8.7333,0.242452,0.500249,-0.863305,0.494239,0.013095,0.293329,-0.047762
8.7500,0.238501,0.501848,-0.863450,0.501082,0.014216,0.295179,-0.048280
8.7667,0.236437,0.505398,-0.862889,0.502796,0.015090,0.297176,-0.048084
8.7833,0.234520,0.509218,-0.861743,0.503262,0.016158,0.299232,-0.047691
8.8000,0.233080,0.512422,-0.860882,0.504480,0.016829,0.301023,-0.047554
8.8167,0.229290,0.513207,-0.860568,0.510002,0.018093,0.302275,-0.047996
8.8333,0.227663,0.513748,-0.860755,0.514783,0.018319,0.303304,-0.048401
8.8500,0.228363,0.515215,-0.861030,0.518718,0.017469,0.304631,-0.048717
8.8667,0.231956,0.517509,-0.861885,0.518155,0.015589,0.305499,-0.048408
8.8833,0.235831,0.519644,-0.862856,0.517207,0.013608,0.306227,-0.048190
8.9000,0.240996,0.522839,-0.864141,0.512561,0.011362,0.306780,-0.047533
8.9167,0.246222,0.525877,-0.865594,0.507718,0.009083,0.307201,-0.046862
8.9333,0.250393,0.528961,-0.866799,0.503286,0.007319,0.307737,-0.046207
8.9500,0.256290,0.532647,-0.868492,0.497493,0.004779,0.308253,-0.045354
8.9667,0.265667,0.535155,-0.871742,0.492708,0.000171,0.308204,-0.044762
8.9833,0.273625,0.537747,-0.874615,0.488541,-0.003745,0.308334,-0.044176
9.0000,0.280674,0.540245,-0.877278,0.485719,-0.007332,0.308668,-0.043703
9.0167,0.289053,0.543800,-0.880140,0.481037,-0.011396,0.309131,-0.042882
9.0333,0.300280,0.546498,-0.883841,0.481908,-0.017643,0.310027,-0.042638
9.0500,0.307801,0.549594,-0.886158,0.482642,-0.021824,0.311256,-0.042313
9.0667,0.308437,0.552664,-0.886125,0.487816,-0.022766,0.313575,-0.042594
9.0833,0.307217,0.553582,-0.885987,0.496005,-0.023128,0.315428,-0.043238
9.1000,0.307229,0.555143,-0.885775,0.502550,-0.023895,0.317304,-0.043632
9.1167,0.307879,0.549171,-0.887214,0.520327,-0.026561,0.317449,-0.045813
9.1333,0.312010,0.546609,-0.888635,0.526599,-0.029589,0.317147,-0.046508
9.1500,0.309533,0.544130,-0.887823,0.529983,-0.028628,0.316693,-0.047091
9.1667,0.313522,0.542499,-0.889257,0.529698,-0.030868,0.315631,-0.047061
9.1833,0.316640,0.543192,-0.889553,0.522295,-0.031483,0.314646,-0.046255
9.2000,0.314415,0.541599,-0.889123,0.520927,-0.030083,0.313711,-0.046418
9.2167,0.308700,0.541213,-0.887236,0.518150,-0.026650,0.313354,-0.046333
9.2333,0.300997,0.541242,-0.884676,0.515469,-0.022097,0.313263,-0.046243
9.2500,0.291371,0.541939,-0.881381,0.513751,-0.016597,0.313739,-0.046164
9.2667,0.281452,0.542170,-0.878143,0.512245,-0.010986,0.314013,-0.046076
9.2833,0.275590,0.542830,-0.876129,0.507772,-0.007241,0.313790,-0.045508
9.3000,0.271466,0.540198,-0.875603,0.509861,-0.005337,0.313022,-0.046137
9.3167,0.268873,0.537005,-0.875660,0.515726,-0.004733,0.312546,-0.046985
9.3333,0.268142,0.531202,-0.876834,0.522835,-0.005352,0.310934,-0.048261
9.3500,0.266956,0.521289,-0.878644,0.532691,-0.006141,0.307782,-0.050141
9.3667,0.266697,0.515233,-0.879689,0.538961,-0.006871,0.305899,-0.051337
9.3833,0.268888,0.512894,-0.880625,0.541395,-0.008383,0.305100,-0.051770
9.4000,0.275100,0.512929,-0.882188,0.540751,-0.011655,0.304790,-0.051568
9.4167,0.287502,0.514765,-0.885125,0.538059,-0.017983,0.304793,-0.051032
9.4333,0.299248,0.516787,-0.888021,0.538006,-0.024307,0.305321,-0.050629
9.4500,0.312355,0.519457,-0.891070,0.536596,-0.031155,0.305876,-0.049982
9.4667,0.325166,0.521623,-0.894321,0.535862,-0.037973,0.306258,-0.049281
9.4833,0.333694,0.523361,-0.896354,0.535297,-0.042474,0.306646,-0.048786
9.5000,0.342750,0.523248,-0.899047,0.534248,-0.047258,0.305985,-0.048347
9.5167,0.352072,0.519908,-0.902685,0.535039,-0.052517,0.304003,-0.048377
9.5333,0.356225,0.517372,-0.904500,0.536664,-0.055036,0.302819,-0.048576
9.5500,0.356077,0.516554,-0.904498,0.539240,-0.055283,0.302882,-0.048897
9.5667,0.355201,0.516930,-0.903912,0.541736,-0.055082,0.303568,-0.049097
9.5833,0.352920,0.517065,-0.902882,0.544312,-0.054123,0.304228,-0.049415
9.6000,0.351037,0.515892,-0.902255,0.546023,-0.053296,0.304067,-0.049742
9.6167,0.349460,0.514017,-0.901872,0.548959,-0.052810,0.303756,-0.050262
9.6333,0.348588,0.510826,-0.901795,0.552344,-0.052761,0.302844,-0.050818
9.6500,0.347430,0.505350,-0.902139,0.557117,-0.052787,0.301046,-0.051781
9.6667,0.348795,0.503395,-0.902808,0.557784,-0.053661,0.300104,-0.051963
9.6833,0.349439,0.498243,-0.903579,0.562588,-0.054624,0.298410,-0.052750
9.7000,0.351843,0.496549,-0.904233,0.565271,-0.056251,0.297950,-0.052991
9.7167,0.353075,0.491853,-0.904927,0.570995,-0.057651,0.296589,-0.053786
9.7333,0.355231,0.491788,-0.905304,0.571319,-0.058861,0.296524,-0.053614
9.7500,0.358007,0.492936,-0.905582,0.571532,-0.060340,0.297047,-0.053315
9.7667,0.362302,0.496042,-0.905292,0.568376,-0.062018,0.297938,-0.052566
9.7833,0.366432,0.498088,-0.905354,0.564474,-0.063599,0.298173,-0.051833
9.8000,0.369885,0.498983,-0.905656,0.560703,-0.064877,0.297866,-0.051258
9.8167,0.372329,0.499044,-0.906116,0.557857,-0.065785,0.297312,-0.050842
9.8333,0.373213,0.500275,-0.905886,0.555022,-0.065831,0.297428,-0.050458
9.8500,0.374396,0.501895,-0.905721,0.551962,-0.066011,0.297676,-0.049993
9.8667,0.375029,0.502843,-0.905619,0.548863,-0.065914,0.297602,-0.049636
9.8833,0.376203,0.502547,-0.906071,0.546108,-0.066199,0.296923,-0.049388
9.9000,0.376587,0.502880,-0.906141,0.545454,-0.066323,0.296958,-0.049284
9.9167,0.379300,0.503777,-0.906870,0.542441,-0.067387,0.296733,-0.048769
9.9333,0.383532,0.505576,-0.908055,0.537146,-0.068991,0.296474,-0.047950
9.9500,0.390870,0.505414,-0.910904,0.532303,-0.072407,0.295102,-0.047084
9.9667,0.399986,0.504613,-0.914685,0.527208,-0.076786,0.293233,-0.046084
