t_s,q_pitch,q_roll,q_yaw,q_elbow,target_x,target_y,target_z
7.4833,1.028051,-1.294020,-1.264178,0.247655,0.013928,-0.659033,0.487169
7.5167,0.910106,-1.274790,-1.163087,0.246442,0.023296,-0.660666,0.462705
7.6167,0.882956,-2.054132,-0.427025,0.047817,0.262298,-0.532123,0.464890
7.6333,0.930997,-2.186581,-0.381615,-0.007075,0.284267,-0.499458,0.456057
7.6500,1.000781,-2.325566,-0.375831,-0.029819,0.308533,-0.466803,0.445493
7.6667,1.066912,-2.469335,-0.402885,-0.001729,0.339436,-0.433130,0.438913
7.7667,1.570000,-3.400000,-1.034154,-0.950000,0.033107,-0.069078,0.306796
7.8667,1.328607,-3.400000,-1.338072,-0.229190,0.241413,0.070380,0.369383
7.9000,1.366859,-3.400000,-1.340967,-0.095773,0.270054,0.080336,0.363094
7.9167,1.401591,-3.400000,-1.348547,-0.070171,0.272241,0.085031,0.354281
7.9500,1.460483,-3.400000,-1.362056,-0.017200,0.276265,0.095972,0.338508
7.9833,1.463512,-3.400000,-1.369776,0.080046,0.295838,0.106293,0.339240
8.0000,1.462668,-3.400000,-1.373433,0.104513,0.299962,0.110390,0.339879
8.0167,1.451455,-3.400000,-1.372956,0.113701,0.302926,0.110504,0.343640
8.0333,1.449079,-3.400000,-1.366102,0.094507,0.301609,0.104241,0.344148
8.0500,1.456891,-3.400000,-1.359445,0.087690,0.302200,0.099220,0.341520
8.0667,1.476578,-3.400000,-1.354595,0.071029,0.299261,0.094544,0.335117
8.0833,1.480099,-3.400000,-1.352054,0.054060,0.296519,0.091256,0.333971
8.1000,1.493681,-3.400000,-1.348117,0.032888,0.292412,0.087096,0.329596
8.1167,1.495859,-3.400000,-1.345150,0.006418,0.287637,0.083181,0.328839
8.1333,1.502590,-3.400000,-1.338014,-0.019403,0.283880,0.077082,0.326490
8.1500,1.503464,-3.400000,-1.332685,-0.028727,0.283434,0.073479,0.325907
8.1833,1.460092,-3.400000,-1.320325,-0.018143,0.292320,0.068574,0.337967
8.2000,1.428872,-3.400000,-1.295124,-0.040746,0.294953,0.057607,0.344709
8.2167,1.380305,-3.400000,-1.240359,-0.089498,0.297663,0.036851,0.352759
8.2333,1.312434,-3.400000,-1.135353,-0.148604,0.302955,0.007934,0.358887
8.3333,0.759080,-1.473311,-1.055172,-0.808111,0.112069,-0.413883,0.489721
8.3833,0.688345,-1.488435,-0.867006,-0.486555,0.150049,-0.479482,0.476596
8.4333,0.523533,-1.326207,-1.088911,-0.258133,0.109927,-0.545410,0.506937
8.4500,0.434908,-1.318510,-1.088835,-0.176224,0.108886,-0.562340,0.512273
8.4833,0.351974,-1.289453,-1.034857,-0.032306,0.110650,-0.594257,0.495553
8.5667,0.030568,-1.487403,-0.561221,0.463906,0.171930,-0.657938,0.500604
8.5833,-0.023906,-1.476153,-0.567632,0.457679,0.174757,-0.655180,0.506285
8.6000,-0.022297,-1.422300,-0.681831,0.451203,0.161513,-0.659882,0.501031
8.6833,0.202990,-1.264102,-1.311350,0.391919,0.040948,-0.678978,0.491725
8.7000,0.196054,-1.228637,-1.419954,0.395805,0.016611,-0.682033,0.483721
8.7167,0.184862,-1.213872,-1.507328,0.387390,-0.001212,-0.681209,0.483490
8.7333,0.176117,-1.206148,-1.569759,0.381142,-0.013984,-0.680121,0.483546
8.7500,0.139366,-1.205283,-1.553572,0.383839,-0.007691,-0.680898,0.481768
8.7667,0.093798,-1.207950,-1.508358,0.388661,0.005622,-0.681749,0.480758
8.7833,0.039564,-1.211575,-1.454001,0.394747,0.021479,-0.682160,0.480481
8.8000,-0.014773,-1.211491,-1.387438,0.399406,0.039884,-0.681786,0.479150
8.8167,-0.048989,-1.199671,-1.345265,0.377756,0.052083,-0.677576,0.477173
8.8333,-0.082588,-1.184476,-1.309524,0.340783,0.063228,-0.670880,0.476656
8.8500,-0.107355,-1.164415,-1.299128,0.275348,0.068518,-0.659962,0.478856
8.8667,-0.131940,-1.140374,-1.281777,0.193142,0.075088,-0.645426,0.481353
8.8833,-0.145527,-1.109785,-1.273533,0.096938,0.078519,-0.628237,0.481997
8.9000,-0.149932,-1.066771,-1.279058,-0.013333,0.078050,-0.608717,0.478395
8.9167,-0.161866,-1.020390,-1.249638,-0.126244,0.085384,-0.586073,0.472888
9.0167,-0.279815,-0.533667,-0.577257,-0.608575,0.209079,-0.394430,0.362502
9.0500,-0.072413,-0.831946,-0.086641,-0.950000,0.152383,-0.323043,0.354889
9.0667,-0.074343,-0.940100,0.286739,-0.950000,0.124833,-0.289073,0.340180
9.1667,-0.685067,-0.184700,0.801594,-0.403851,0.271157,-0.060526,0.306724
9.1833,-0.820330,-0.122333,0.803892,-0.329728,0.285887,-0.030932,0.337289
9.2667,-1.015627,0.027926,0.825950,-0.051562,0.313202,0.039813,0.365371
9.2833,-1.050413,0.052708,0.845459,-0.049825,0.305457,0.051958,0.373989
9.3000,-1.068462,0.073892,0.871232,-0.045326,0.297807,0.062218,0.375816
9.3167,-1.080416,0.093264,0.897427,-0.045443,0.289439,0.071027,0.376115
9.3333,-1.092286,0.119781,0.925277,-0.045074,0.278863,0.081589,0.376429
9.3500,-1.105780,0.156479,0.955258,-0.041686,0.265397,0.094754,0.377116
9.3667,-1.115619,0.198510,0.988676,-0.031563,0.250655,0.109006,0.375910
9.3833,-1.127455,0.226639,1.010124,-0.020827,0.241111,0.118649,0.376076
9.4000,-1.138204,0.239596,1.022092,-0.011519,0.236975,0.123757,0.376473
9.4167,-1.152059,0.253770,1.029890,0.002524,0.233746,0.129396,0.377835
9.4333,-1.165851,0.263129,1.033725,0.011656,0.231547,0.133249,0.379992
9.4500,-1.169149,0.264896,1.039131,0.005371,0.228949,0.133563,0.380566
9.4667,-1.170738,0.248416,1.039530,-0.001586,0.232789,0.129484,0.380303
9.4833,-1.170240,0.229101,1.039359,-0.011400,0.237022,0.124308,0.379808
9.5000,-1.168983,0.205463,1.036717,-0.024831,0.242124,0.117607,0.379714
9.5167,-1.166968,0.175512,1.030792,-0.042274,0.248593,0.108785,0.380106
9.5333,-1.158412,0.135924,1.027263,-0.076437,0.254168,0.096103,0.379632
9.5667,-1.147108,0.013080,0.983585,-0.190953,0.269428,0.053932,0.389327
9.5833,-1.135509,-0.076935,0.954805,-0.265830,0.278110,0.023089,0.394547
9.6000,-1.107801,-0.199453,0.917593,-0.357465,0.286609,-0.019123,0.397770
9.7000,-0.524576,-1.111493,0.548915,-0.950000,0.106044,-0.261107,0.401600
9.7667,-0.029943,-1.955399,0.627935,-0.534385,0.171055,-0.458806,0.408231
9.7833,-0.068979,-1.851188,0.602526,-0.317121,0.194766,-0.498083,0.397024
9.8167,-0.277650,-1.615741,0.445230,0.010522,0.251782,-0.537970,0.410735
9.8333,-0.411231,-1.514311,0.379488,0.147335,0.277058,-0.549586,0.426378
9.8500,-0.508010,-1.458840,0.336463,0.248003,0.291567,-0.559219,0.442141
9.8667,-0.564000,-1.433759,0.303600,0.307127,0.297591,-0.565692,0.454849
9.8833,-0.575976,-1.429042,0.282667,0.334908,0.297398,-0.570910,0.460038
9.9833,-0.005523,-2.010322,0.800454,0.398925,0.147903,-0.659720,0.478197
10.0000,0.007240,-2.000381,0.906114,0.409728,0.129244,-0.668370,0.460342
10.0167,0.050443,-2.065566,1.088955,0.370257,0.094524,-0.670918,0.461122
10.0333,0.060293,-2.096806,1.205196,0.338483,0.071891,-0.670301,0.461340
10.0500,0.066629,-2.123392,1.317497,0.318623,0.048655,-0.670205,0.464658
10.0667,0.060309,-2.138340,1.380788,0.300922,0.036102,-0.668526,0.466821
10.0833,0.046214,-2.141840,1.403095,0.292852,0.032654,-0.667553,0.466948
10.1000,0.030310,-2.147413,1.418864,0.284289,0.030807,-0.666292,0.468102
10.1167,0.015706,-2.152050,1.435622,0.277926,0.028529,-0.665402,0.469129
10.1333,0.004845,-2.148742,1.442054,0.281314,0.028058,-0.666134,0.468375
10.1500,-0.005423,-2.151491,1.449258,0.284419,0.027354,-0.666463,0.470302
10.1667,-0.025723,-2.159566,1.447314,0.271906,0.029652,-0.664129,0.472343
10.2000,-0.089631,-2.193203,1.356678,0.193283,0.055267,-0.648432,0.480155
10.2167,-0.140956,-2.215482,1.297954,0.132971,0.071916,-0.635141,0.486866
10.2333,-0.195403,-2.237283,1.230630,0.053753,0.089836,-0.616802,0.493641
10.2500,-0.256782,-2.237117,1.130654,-0.031725,0.114418,-0.593802,0.498525
10.3000,-0.413608,-1.898014,0.633764,-0.141685,0.221973,-0.521702,0.484286
10.3500,-0.570125,-1.473846,0.494435,-0.291934,0.278089,-0.434007,0.435136
10.3667,-0.621668,-1.334595,0.498459,-0.364620,0.288643,-0.393724,0.420229
10.4667,-0.449623,0.052091,1.331354,-0.950000,0.061638,-0.088481,0.338974
