t_s,q_pitch,q_roll,q_yaw,q_elbow,target_x,target_y,target_z
2.8000,-0.169997,-0.223340,0.060692,1.504504,0.106751,-0.331566,-0.108406
2.8333,-0.121270,-0.168485,-0.010244,1.512718,0.075955,-0.301577,-0.110075
2.8667,-0.125260,-0.133060,-0.051653,1.504701,0.080068,-0.282720,-0.114974
2.9000,-0.172177,-0.179316,-0.076963,1.504080,0.106547,-0.307333,-0.106379
2.9333,-0.211719,-0.201131,-0.092989,1.503718,0.128442,-0.318148,-0.098968
2.9667,-0.229424,-0.210759,-0.103461,1.503666,0.138043,-0.322770,-0.094937
3.0000,-0.232089,-0.188813,-0.109368,1.504491,0.139132,-0.310737,-0.097058
3.0333,-0.258339,-0.205285,-0.113155,1.502374,0.153874,-0.318714,-0.090968
3.0667,-0.271561,-0.230181,-0.115017,1.499057,0.161613,-0.331544,-0.084783
3.1000,-0.186746,-0.219139,-0.044635,1.267348,0.165240,-0.325889,-0.080165
3.1333,-0.188077,-0.208402,0.001526,1.302230,0.158810,-0.318060,-0.085409
3.1667,-0.189350,-0.200964,0.029131,1.325228,0.154570,-0.313097,-0.088312
3.2000,-0.190582,-0.195870,0.038422,1.367811,0.146111,-0.310985,-0.092094
3.2333,-0.150905,-0.178751,0.068907,1.290410,0.140906,-0.299363,-0.093472
3.2667,-0.117955,-0.185449,0.102401,1.234035,0.134827,-0.299970,-0.093008
3.3000,-0.129643,-0.191871,0.112859,1.310842,0.124954,-0.305578,-0.097137
3.3333,-0.138911,-0.219124,0.100750,1.348832,0.122046,-0.322129,-0.095488
3.3667,-0.158119,-0.237960,0.061838,1.413021,0.118777,-0.335317,-0.094452
3.4000,-0.139830,-0.234225,0.037849,1.425431,0.105994,-0.334816,-0.097332
3.4333,-0.120201,-0.230239,0.025528,1.431296,0.093815,-0.333570,-0.099741
3.4667,-0.070686,-0.235793,0.039465,1.333856,0.088029,-0.335263,-0.098647
3.5000,-0.073440,-0.232786,0.045026,1.361546,0.083448,-0.334009,-0.100483
3.5333,-0.068512,-0.227531,0.044691,1.371127,0.078580,-0.331504,-0.101977
3.5667,-0.072405,-0.228987,0.033438,1.396979,0.074993,-0.333136,-0.102549
3.6000,-0.094738,-0.218144,-0.003993,1.471721,0.070704,-0.328895,-0.105552
3.6333,-0.087586,-0.211333,-0.034371,1.477843,0.065220,-0.325694,-0.106229
3.6667,-0.074538,-0.178679,-0.055326,1.479716,0.057391,-0.308389,-0.110326
3.7000,-0.062706,-0.161961,-0.067237,1.475158,0.051753,-0.299609,-0.112231
3.7333,-0.051874,-0.161432,-0.071909,1.467435,0.047465,-0.299621,-0.112592
3.7667,-0.043000,-0.154050,-0.073005,1.465697,0.042908,-0.295744,-0.113742
3.8000,-0.041988,-0.153543,-0.079110,1.481640,0.038755,-0.295446,-0.114640
3.8333,-0.035889,-0.147338,-0.079338,1.484354,0.034699,-0.292009,-0.115121
3.8667,-0.027884,-0.138337,-0.083049,1.476452,0.031988,-0.287252,-0.115544
3.9000,-0.023349,-0.137516,-0.082426,1.470756,0.030766,-0.286941,-0.115818
3.9333,-0.008707,-0.143263,-0.073705,1.446094,0.028210,-0.290356,-0.115053
3.9667,0.006882,-0.140430,-0.055546,1.420770,0.025313,-0.288761,-0.115389
4.0000,0.025604,-0.128926,-0.027236,1.387979,0.022393,-0.281872,-0.116117
4.0333,0.028695,-0.127523,-0.026457,1.389250,0.020340,-0.281074,-0.116426
4.0667,0.031125,-0.129968,-0.025957,1.390165,0.018788,-0.282474,-0.116292
4.1000,0.033985,-0.125497,-0.024423,1.391205,0.017015,-0.279923,-0.116663
4.1333,0.034220,-0.129701,-0.024081,1.391261,0.016862,-0.282307,-0.116434
4.1667,0.016721,-0.134359,-0.023108,1.434060,0.016874,-0.284565,-0.116889
4.2000,0.009633,-0.137637,-0.029875,1.444717,0.018385,-0.286442,-0.116551
4.2333,-0.009337,-0.143749,-0.049417,1.481644,0.020563,-0.289921,-0.116855
4.2667,-0.016994,-0.150820,-0.067523,1.488052,0.023352,-0.293893,-0.115730
4.3000,-0.022364,-0.152413,-0.081519,1.493028,0.025208,-0.294850,-0.115534
4.3333,-0.039224,-0.179950,-0.093186,1.498033,0.033556,-0.309961,-0.113019
4.3667,-0.056790,-0.214314,-0.102066,1.499296,0.043157,-0.328607,-0.108561
4.4000,-0.060582,-0.209056,-0.107795,1.499452,0.045181,-0.325634,-0.108404
4.4333,-0.065993,-0.212751,-0.111340,1.498854,0.048347,-0.327630,-0.107713
4.4667,-0.062181,-0.197070,-0.113931,1.500180,0.045851,-0.319072,-0.109347
4.5000,-0.064773,-0.188184,-0.114530,1.497669,0.047840,-0.314245,-0.110069
4.5333,-0.074006,-0.208337,-0.088751,1.411964,0.072269,-0.325719,-0.103809
4.5667,-0.055326,-0.200272,-0.012455,1.248129,0.098281,-0.318001,-0.098100
4.6000,-0.119646,-0.197275,0.034478,1.267203,0.129223,-0.311873,-0.093609
4.6333,-0.205220,-0.161534,0.070487,1.305163,0.166738,-0.288298,-0.088399
4.6667,-0.174288,-0.141926,0.111534,1.226509,0.165889,-0.273329,-0.087828
4.7000,-0.177622,-0.152563,0.131511,1.249125,0.163068,-0.278627,-0.089093
4.7333,-0.112886,-0.179735,0.166719,1.152655,0.147930,-0.288202,-0.087831
4.7667,-0.093126,-0.193096,0.181257,1.170491,0.133728,-0.295891,-0.091465
4.8000,-0.041728,-0.219966,0.217709,1.065196,0.126570,-0.301894,-0.086293
4.8333,-0.107012,-0.212845,0.244493,1.133474,0.147357,-0.298133,-0.085607
4.8667,-0.106079,-0.220401,0.261349,1.103612,0.152182,-0.298363,-0.082370
4.9000,-0.099494,-0.235950,0.273524,1.089699,0.151091,-0.304570,-0.080771
4.9333,-0.091851,-0.251353,0.282496,1.083625,0.148007,-0.311603,-0.079955
4.9667,-0.056897,-0.283346,0.299008,1.037166,0.137798,-0.323887,-0.077239
5.0000,-0.018729,-0.324063,0.319801,0.956007,0.131844,-0.336207,-0.070033
5.0333,-0.059158,-0.324745,0.336795,1.012942,0.142188,-0.338926,-0.070962
5.0667,-0.083060,-0.326806,0.345701,1.026439,0.151984,-0.339534,-0.068921
5.1000,-0.100844,-0.326589,0.351060,1.026022,0.161161,-0.338114,-0.066412
