t_s,q_pitch,q_roll,q_yaw,q_elbow,target_x,target_y,target_z
2.7000,-0.063817,-0.252231,0.638347,1.297436,0.077531,-0.316462,-0.116730
2.7333,-0.206989,-0.249727,0.777553,1.357335,0.144988,-0.313144,-0.096986
2.7667,-0.176105,-0.178356,0.004521,1.492297,0.110668,-0.303527,-0.100417
2.8000,-0.164780,-0.143447,-0.360260,1.504242,0.102519,-0.286769,-0.108206
2.8333,-0.209653,-0.172081,-1.483019,1.504564,0.122750,-0.311262,-0.102177
2.8667,-0.222803,-0.171546,-1.618156,1.504461,0.128015,-0.311512,-0.101924
2.9000,-0.250779,-0.183829,-1.806553,1.503269,0.139044,-0.317578,-0.096702
2.9333,-0.257850,-0.178024,-1.645871,1.504695,0.145549,-0.313652,-0.095901
2.9667,-0.262767,-0.168937,-1.652904,1.504464,0.148361,-0.308577,-0.096241
3.0000,-0.236026,-0.151908,-1.545627,1.504662,0.136559,-0.299580,-0.101309
3.0333,-0.219596,-0.174576,-0.647001,1.505039,0.133585,-0.304892,-0.102743
3.0667,-0.234271,-0.206922,-0.841470,1.508171,0.141328,-0.322841,-0.096691
3.1000,-0.261356,-0.237325,-0.824365,1.505623,0.156012,-0.339462,-0.089202
3.1333,-0.266764,-0.230984,-0.775412,1.505588,0.158480,-0.335542,-0.088190
3.1667,-0.271302,-0.233184,-0.608089,1.505713,0.160724,-0.335584,-0.086981
3.2000,-0.267650,-0.235768,-0.468791,1.505925,0.158361,-0.336385,-0.086301
3.2333,-0.262544,-0.233421,-0.497253,1.505403,0.155523,-0.335490,-0.086733
3.2667,-0.256042,-0.228114,-0.479915,1.505518,0.151916,-0.332857,-0.088382
3.3000,-0.255611,-0.229349,-0.550684,1.505302,0.151702,-0.334003,-0.088359
3.3333,-0.254126,-0.224702,-0.570308,1.505400,0.150717,-0.331871,-0.089179
3.3667,-0.256868,-0.219677,-0.603389,1.505163,0.151769,-0.329747,-0.089111
3.4000,-0.256045,-0.207290,-0.729684,1.504811,0.150953,-0.323938,-0.090537
3.4333,-0.257912,-0.195160,-0.929888,1.504479,0.150818,-0.318991,-0.091681
3.4667,-0.249183,-0.167648,-1.149805,1.502060,0.143774,-0.306503,-0.095257
3.5000,-0.244843,-0.154228,-1.199682,1.502799,0.140250,-0.299726,-0.097488
3.5333,-0.204188,-0.092723,-1.112452,1.428660,0.124673,-0.281408,-0.101804
3.5667,-0.227790,-0.113843,-1.057912,1.453091,0.136445,-0.287396,-0.100573
3.6000,-0.223419,-0.099803,-0.774683,1.362268,0.152902,-0.288909,-0.094349
3.6333,-0.188714,-0.073071,-0.627477,1.244591,0.157915,-0.284166,-0.088871
3.6667,-0.160774,-0.060522,-0.552758,1.178150,0.157239,-0.280882,-0.086805
3.7000,-0.155092,-0.063854,-0.493660,1.153684,0.160901,-0.280931,-0.085242
3.7333,-0.177887,-0.079812,-0.416722,1.175109,0.171873,-0.281029,-0.083830
3.7667,-0.183776,-0.088110,-0.356581,1.170142,0.177696,-0.280622,-0.081056
3.8000,-0.205240,-0.098771,-0.271152,1.170665,0.190864,-0.278496,-0.077325
3.8333,-0.236714,-0.108412,-0.173040,1.122938,0.217542,-0.274713,-0.065052
3.8667,-0.213398,-0.112075,-0.126844,1.134553,0.204016,-0.273010,-0.069412
3.9000,-0.195019,-0.123351,-0.118687,1.194871,0.183173,-0.278942,-0.079494
3.9333,-0.179649,-0.134378,-0.102881,1.245663,0.165157,-0.284206,-0.086963
3.9667,-0.171273,-0.143647,-0.062011,1.260160,0.158011,-0.286957,-0.089603
4.0000,-0.160887,-0.153655,-0.022256,1.302191,0.143809,-0.290734,-0.094323
4.0333,-0.125800,-0.157523,-0.029265,1.284397,0.128732,-0.294024,-0.096094
4.0667,-0.122354,-0.168262,-0.022735,1.313493,0.120664,-0.300170,-0.098939
4.1000,-0.144904,-0.179956,-0.127782,1.423851,0.108679,-0.309873,-0.102393
4.1333,-0.151126,-0.191091,-0.245273,1.473414,0.100949,-0.316596,-0.102497
4.1667,-0.172216,-0.201893,-0.341821,1.498017,0.107160,-0.321736,-0.101235
4.2000,-0.140445,-0.227642,-0.239684,1.505517,0.088873,-0.333422,-0.101909
4.2333,-0.140183,-0.249084,-0.131539,1.505398,0.089009,-0.342914,-0.101547
4.2667,-0.162689,-0.258505,-0.387139,1.505546,0.102035,-0.349399,-0.097807
4.3000,-0.197598,-0.252757,-0.727221,1.505371,0.120013,-0.349829,-0.093710
4.3333,-0.208972,-0.230024,-0.759335,1.436231,0.134685,-0.349170,-0.087556
4.3667,-0.200604,-0.209767,-0.457834,1.321798,0.156480,-0.341500,-0.081786
4.4000,-0.204156,-0.201496,-0.389460,1.283734,0.167055,-0.335973,-0.078447
4.4333,-0.164275,-0.208351,-0.211146,1.179740,0.169568,-0.333187,-0.073007
4.4667,-0.116704,-0.229112,-0.079635,1.101064,0.161565,-0.334686,-0.070636
4.5000,-0.091703,-0.245727,0.010487,1.048115,0.159016,-0.334148,-0.068932
