t_s,q_pitch,q_roll,q_yaw,q_elbow,target_x,target_y,target_z
7.7333,-0.325267,-0.167077,-0.588464,0.735974,0.253524,0.026719,0.008874
7.7500,-0.323323,-0.136385,-0.649267,0.698458,0.258438,0.023665,0.032427
7.7667,-0.325945,-0.119323,-0.666348,0.670478,0.260710,0.026789,0.035907
7.7833,-0.325572,-0.094447,-0.687230,0.624512,0.262181,0.031588,0.041283
7.8000,-0.322159,-0.068231,-0.706532,0.560917,0.262914,0.035774,0.049546
7.8167,-0.314777,-0.046216,-0.710158,0.487825,0.263630,0.039742,0.060192
7.8333,-0.304285,-0.030625,-0.718162,0.409249,0.261246,0.040394,0.072131
7.8500,-0.298033,-0.013090,-0.762818,0.318706,0.253197,0.035785,0.085750
7.9167,-0.322812,-0.031089,-0.989657,-0.003421,0.199525,-0.012449,0.151077
7.9333,-0.321359,-0.002538,-1.019134,-0.096803,0.191565,-0.005645,0.165679
7.9500,-0.309872,0.039990,-1.016859,-0.178002,0.187183,0.009324,0.173767
7.9667,-0.300110,0.074142,-0.994696,-0.236596,0.187614,0.023508,0.180078
7.9833,-0.301811,0.092230,-0.963922,-0.278257,0.191689,0.033136,0.187940
8.0000,-0.310185,0.101245,-0.940601,-0.303679,0.195865,0.038595,0.194699
8.0167,-0.317763,0.110190,-0.935182,-0.324639,0.196536,0.041797,0.199334
8.0333,-0.325203,0.116596,-0.935532,-0.340023,0.196599,0.043565,0.202830
8.0500,-0.331833,0.120426,-0.940605,-0.347523,0.196266,0.043900,0.204635
8.0667,-0.336059,0.121379,-0.938347,-0.348627,0.197518,0.044264,0.205840
8.0833,-0.338165,0.126650,-0.936965,-0.349531,0.198445,0.045776,0.205871
8.1000,-0.335004,0.136933,-0.935742,-0.347254,0.199106,0.048831,0.203707
8.1167,-0.328831,0.148213,-0.934268,-0.344836,0.199326,0.052401,0.200779
8.1333,-0.321866,0.158931,-0.934046,-0.342185,0.199086,0.055747,0.197566
8.1500,-0.316663,0.167849,-0.936370,-0.340001,0.198486,0.058252,0.194737
8.1667,-0.315086,0.168945,-0.939527,-0.334113,0.198312,0.058217,0.192744
8.1833,-0.314664,0.166502,-0.942084,-0.326477,0.198416,0.057139,0.191208
8.2000,-0.317697,0.157598,-0.940085,-0.310371,0.200558,0.054445,0.189784
8.2167,-0.321261,0.148607,-0.934126,-0.293662,0.203550,0.052114,0.188771
8.2333,-0.327377,0.139044,-0.932506,-0.276211,0.206139,0.048936,0.187729
8.2500,-0.333632,0.127609,-0.928619,-0.255139,0.209455,0.045432,0.186574
8.2667,-0.338893,0.116616,-0.926339,-0.235723,0.212021,0.041903,0.185403
8.2833,-0.340912,0.109259,-0.925633,-0.216001,0.213903,0.039444,0.182967
8.3000,-0.342060,0.099853,-0.922941,-0.192112,0.216234,0.036677,0.179883
8.3167,-0.340774,0.096351,-0.927055,-0.173698,0.216544,0.035045,0.176025
8.3333,-0.336438,0.092674,-0.925816,-0.142486,0.218482,0.034291,0.169384
8.3500,-0.324816,0.085054,-0.899357,-0.090848,0.225017,0.036213,0.159482
8.3667,-0.317033,0.071225,-0.863670,-0.019116,0.234302,0.038003,0.146811
8.3833,-0.310956,0.057102,-0.823277,0.060891,0.244121,0.041274,0.132645
8.4000,-0.300274,0.035113,-0.749180,0.151663,0.256999,0.048441,0.117762
8.4167,-0.292719,0.018325,-0.681609,0.230791,0.266648,0.056842,0.103727
8.4333,-0.290463,0.009552,-0.652182,0.295087,0.270248,0.061519,0.090922
8.4500,-0.290683,0.003364,-0.648077,0.348825,0.270330,0.062639,0.079859
8.4667,-0.290974,-0.000362,-0.659126,0.394468,0.268146,0.062135,0.069913
8.4833,-0.293239,-0.010821,-0.659763,0.447096,0.267352,0.061069,0.060314
8.5000,-0.295106,-0.028101,-0.656704,0.505001,0.265745,0.058119,0.050641
8.5167,-0.297068,-0.042472,-0.649296,0.557805,0.264569,0.056762,0.042002
8.5333,-0.307438,-0.066053,-0.639620,0.626465,0.264640,0.052357,0.033317
8.5500,-0.316203,-0.088597,-0.630562,0.687020,0.263773,0.047654,0.026335
8.5667,-0.326886,-0.108198,-0.630777,0.736782,0.262840,0.042106,0.021548
8.5833,-0.332720,-0.125683,-0.643330,0.776556,0.259280,0.035544,0.017448
8.6000,-0.337333,-0.132623,-0.658057,0.805132,0.256781,0.032965,0.013778
8.6167,-0.341594,-0.131770,-0.679517,0.821721,0.254960,0.032418,0.011129
8.6333,-0.344269,-0.129262,-0.691684,0.835873,0.254023,0.033588,0.008570
8.6500,-0.349741,-0.124008,-0.697034,0.848132,0.255280,0.036535,0.006678
8.6667,-0.353676,-0.119290,-0.685110,0.855680,0.258088,0.040530,0.005909
8.6833,-0.355410,-0.120994,-0.665636,0.865647,0.259912,0.042622,0.005166
8.7000,-0.360136,-0.128460,-0.661455,0.888347,0.259629,0.041646,0.003072
8.7167,-0.366711,-0.129701,-0.657189,0.904611,0.261207,0.042829,0.001907
8.7333,-0.375827,-0.134034,-0.658955,0.933642,0.261826,0.043235,-0.000634
8.7500,-0.385989,-0.141516,-0.661243,0.967778,0.262047,0.042611,-0.003279
8.7667,-0.391014,-0.142773,-0.662468,0.984976,0.262334,0.043541,-0.004722
8.7833,-0.388036,-0.145437,-0.659835,0.988821,0.260765,0.043002,-0.005505
8.8000,-0.384833,-0.142754,-0.657796,0.982839,0.260476,0.044021,-0.005567
8.8167,-0.380633,-0.149337,-0.650495,0.987913,0.258358,0.042198,-0.006525
8.8333,-0.374186,-0.160143,-0.644155,0.995022,0.254590,0.038589,-0.007790
8.8500,-0.367727,-0.162324,-0.644164,0.993517,0.251940,0.037793,-0.008817
8.8667,-0.355822,-0.163378,-0.650879,0.986763,0.247149,0.036671,-0.010265
8.8833,-0.340306,-0.162639,-0.650601,0.976183,0.242155,0.036749,-0.012068
8.9000,-0.321334,-0.168192,-0.644574,0.970221,0.235252,0.034959,-0.014442
8.9167,-0.292836,-0.170149,-0.645902,0.954225,0.225139,0.033771,-0.017399
8.9333,-0.258013,-0.168449,-0.644624,0.933973,0.213545,0.034475,-0.021294
8.9500,-0.218751,-0.166678,-0.643701,0.915935,0.199826,0.035635,-0.026135
8.9667,-0.185657,-0.158823,-0.665409,0.907176,0.185601,0.038221,-0.032227
8.9833,-0.152867,-0.150494,-0.697697,0.907577,0.169268,0.040690,-0.039173
9.0000,-0.125162,-0.140092,-0.735957,0.919102,0.153021,0.044652,-0.047045
9.0167,-0.090076,-0.128193,-0.761714,0.931247,0.134516,0.050794,-0.055316
9.0333,-0.050789,-0.118246,-0.768586,0.953803,0.114128,0.059094,-0.064692
9.0500,-0.008493,-0.109419,-0.732328,0.975297,0.095633,0.070382,-0.073489
9.0667,0.025827,-0.106992,-0.668735,1.013373,0.079082,0.082564,-0.082529
9.0833,0.065788,-0.101049,-0.584113,1.042840,0.060793,0.097022,-0.090253
9.1000,0.103242,-0.093924,-0.502577,1.080395,0.039812,0.112194,-0.097687
9.1167,0.133150,-0.077230,-0.469543,1.129674,0.016002,0.128948,-0.104265
9.1333,0.155970,-0.046230,-0.484103,1.175593,-0.006296,0.149380,-0.108916
9.1500,0.159285,-0.030390,-0.473052,1.251053,-0.023382,0.166089,-0.113346
9.1667,0.154856,-0.008691,-0.467337,1.326552,-0.036454,0.186856,-0.115168
9.1833,0.143674,0.000098,-0.421251,1.411258,-0.046882,0.202788,-0.115103
9.2000,0.110261,0.006955,-0.270741,1.525695,-0.051643,0.222104,-0.110950
9.2167,0.021330,0.045175,0.168571,1.727532,-0.050847,0.238884,-0.104926
9.2333,-0.040555,0.155079,0.613169,1.920759,-0.047402,0.251317,-0.098919
9.2500,-0.039022,0.221850,0.843547,1.989950,-0.045367,0.258413,-0.095686
9.2667,-0.032351,0.251570,0.966635,2.013033,-0.042364,0.261908,-0.095124
9.2833,-0.026266,0.250442,1.021075,1.998836,-0.039560,0.260901,-0.096921
9.3000,-0.022112,0.227869,1.030980,1.948633,-0.035853,0.258233,-0.100626
9.3167,-0.024278,0.221796,1.041290,1.937004,-0.032866,0.256920,-0.101608
9.3333,-0.027392,0.220308,1.046305,1.936170,-0.030744,0.256091,-0.101927
9.3500,-0.029025,0.222553,1.065332,1.942437,-0.029194,0.255230,-0.101428
9.3667,-0.028941,0.221221,1.086577,1.939546,-0.027469,0.254186,-0.101512
9.3833,-0.028193,0.229775,1.125828,1.952359,-0.026172,0.254526,-0.100451
9.4000,-0.027267,0.238150,1.165615,1.963521,-0.024456,0.255088,-0.099736
9.4167,-0.029391,0.231932,1.194555,1.960289,-0.020740,0.251408,-0.100448
9.4333,-0.037199,0.215967,1.206115,1.953732,-0.015118,0.243931,-0.101866
9.4500,-0.048808,0.191115,1.211209,1.941564,-0.007711,0.233100,-0.103347
9.4667,-0.064944,0.158728,1.211588,1.935163,0.001277,0.217131,-0.104375
9.4833,-0.086148,0.122513,1.212381,1.939933,0.012009,0.196707,-0.104137
9.5000,-0.112963,0.055242,1.165343,1.905511,0.024709,0.169045,-0.104951
