t_s,q_pitch,q_roll,q_yaw,q_elbow,target_x,target_y,target_z
7.7333,-0.106223,-0.182782,-0.399406,0.404382,0.231416,0.045118,0.050047
7.7500,-0.129253,-0.147917,-0.471066,0.340098,0.236645,0.043750,0.065545
7.7667,-0.147281,-0.113687,-0.521996,0.319392,0.238715,0.046350,0.069557
7.7833,-0.161907,-0.077103,-0.568679,0.285922,0.240051,0.050544,0.075010
7.8000,-0.175404,-0.041741,-0.613158,0.239745,0.240700,0.054188,0.083018
7.8167,-0.190720,-0.006854,-0.654461,0.185171,0.241313,0.057619,0.093221
7.8333,-0.203023,0.021405,-0.698149,0.123845,0.239103,0.058009,0.104788
7.8500,-0.208658,0.039010,-0.749066,0.052545,0.231779,0.053662,0.117853
7.9167,-0.173060,-0.042542,-0.889057,-0.204707,0.183398,0.010112,0.177087
7.9333,-0.193406,-0.005573,-0.932676,-0.277564,0.176388,0.016762,0.188198
7.9500,-0.213149,0.046883,-0.959602,-0.348152,0.172418,0.030055,0.196236
7.9667,-0.234009,0.091315,-0.967311,-0.399865,0.172724,0.042562,0.202964
7.9833,-0.265896,0.123011,-0.969648,-0.437184,0.176308,0.050966,0.211071
8.0000,-0.298436,0.144080,-0.974307,-0.461294,0.179981,0.055606,0.218214
8.0167,-0.321407,0.159515,-0.986668,-0.481762,0.180487,0.058262,0.223258
8.0333,-0.336254,0.167901,-0.994766,-0.496197,0.180461,0.059707,0.226966
8.0500,-0.348106,0.173594,-1.005459,-0.503729,0.180113,0.059935,0.228870
8.0667,-0.361491,0.179750,-1.013286,-0.505657,0.181201,0.060210,0.230154
8.0833,-0.371541,0.188979,-1.020863,-0.507543,0.181969,0.061485,0.230509
8.1000,-0.376302,0.203297,-1.028714,-0.506938,0.182506,0.064163,0.228838
8.1167,-0.378137,0.218870,-1.036791,-0.505984,0.182653,0.067307,0.226461
8.1333,-0.378229,0.233390,-1.045321,-0.504671,0.182390,0.070253,0.223822
8.1500,-0.378101,0.244894,-1.054116,-0.503426,0.181814,0.072450,0.221493
8.1667,-0.380877,0.248808,-1.062994,-0.498802,0.181633,0.072377,0.219855
8.1833,-0.385037,0.249307,-1.071365,-0.492787,0.181698,0.071367,0.218614
8.2000,-0.396055,0.246583,-1.080035,-0.479167,0.183594,0.068901,0.217485
8.2167,-0.408413,0.244331,-1.085935,-0.465839,0.186217,0.066729,0.216854
8.2333,-0.419971,0.239303,-1.092390,-0.451828,0.188463,0.063786,0.216225
8.2500,-0.432229,0.233441,-1.097481,-0.434675,0.191379,0.060578,0.215386
8.2667,-0.442686,0.227066,-1.103131,-0.419138,0.193611,0.057344,0.214553
8.2833,-0.449151,0.223628,-1.109591,-0.403550,0.195236,0.055080,0.212548
8.3000,-0.455291,0.219342,-1.115481,-0.384218,0.197283,0.052548,0.209925
8.3167,-0.455807,0.217527,-1.123592,-0.369745,0.197507,0.051034,0.206622
8.3333,-0.454763,0.218658,-1.130393,-0.344478,0.199241,0.050341,0.200696
8.3500,-0.456089,0.226874,-1.130959,-0.303152,0.205116,0.052047,0.191881
8.3667,-0.459764,0.232456,-1.129446,-0.245601,0.213401,0.053552,0.180895
8.3833,-0.461700,0.238676,-1.126415,-0.182770,0.222161,0.056401,0.168537
8.4000,-0.465980,0.250507,-1.117290,-0.112967,0.233702,0.062791,0.155437
8.4167,-0.465121,0.262292,-1.109483,-0.054225,0.242280,0.070230,0.143373
8.4333,-0.457033,0.264489,-1.107662,-0.006980,0.245472,0.074383,0.132160
8.4500,-0.446170,0.258701,-1.108773,0.033225,0.245603,0.075442,0.122061
8.4667,-0.433145,0.249716,-1.111238,0.067585,0.243737,0.075085,0.112754
8.4833,-0.423534,0.238292,-1.111670,0.107320,0.243145,0.074249,0.103657
8.5000,-0.413827,0.221968,-1.112829,0.149153,0.241790,0.071704,0.094564
8.5167,-0.404920,0.209553,-1.111750,0.186626,0.240816,0.070591,0.086417
8.5333,-0.400440,0.188525,-1.110007,0.234387,0.240951,0.066732,0.078258
8.5500,-0.395270,0.168338,-1.107844,0.274456,0.240237,0.062633,0.071528
8.5667,-0.391445,0.148138,-1.104808,0.306877,0.239463,0.057766,0.066799
8.5833,-0.383501,0.127568,-1.104082,0.331315,0.236332,0.051986,0.062658
8.6000,-0.375762,0.116414,-1.101042,0.349715,0.234171,0.049784,0.058889
8.6167,-0.369395,0.111515,-1.098305,0.360735,0.232616,0.049394,0.056078
8.6333,-0.364021,0.110277,-1.094281,0.370588,0.231848,0.050534,0.053391
8.6500,-0.362272,0.112853,-1.087658,0.379587,0.233036,0.053254,0.051402
8.6667,-0.364033,0.118810,-1.080828,0.385156,0.235610,0.056907,0.050472
8.6833,-0.364922,0.120926,-1.075458,0.390559,0.237257,0.058808,0.049761
8.7000,-0.362536,0.114930,-1.071668,0.402448,0.236993,0.057941,0.047885
8.7167,-0.362961,0.113796,-1.065466,0.412530,0.238452,0.059066,0.046619
8.7333,-0.361279,0.109237,-1.059181,0.428412,0.239039,0.059483,0.044150
8.7500,-0.359575,0.102220,-1.053612,0.446620,0.239302,0.059012,0.041430
8.7667,-0.357810,0.100789,-1.048728,0.455701,0.239638,0.059946,0.039762
8.7833,-0.353640,0.098460,-1.047199,0.457562,0.238274,0.059516,0.038844
8.8000,-0.351241,0.099964,-1.044093,0.455837,0.238020,0.060446,0.038743
8.8167,-0.346512,0.095346,-1.043771,0.457178,0.236109,0.058803,0.037898
8.8333,-0.339525,0.087001,-1.045568,0.459456,0.232716,0.055568,0.036741
8.8500,-0.333435,0.084589,-1.045625,0.459257,0.230327,0.054864,0.035792
8.8667,-0.322429,0.082139,-1.046632,0.454992,0.226013,0.053857,0.034480
8.8833,-0.310467,0.082280,-1.047850,0.449817,0.221517,0.053928,0.032835
8.9000,-0.295707,0.078558,-1.051733,0.445786,0.215286,0.052301,0.030766
8.9167,-0.274066,0.077258,-1.058529,0.435715,0.206162,0.051212,0.028198
8.9333,-0.248226,0.080146,-1.065909,0.423308,0.195704,0.051810,0.024831
8.9500,-0.218430,0.083824,-1.075565,0.411892,0.183336,0.052804,0.020668
8.9667,-0.188068,0.089290,-1.086075,0.406260,0.170521,0.055079,0.015382
8.9833,-0.154309,0.093803,-1.098356,0.405341,0.155834,0.057300,0.009075
9.0000,-0.121583,0.099976,-1.110424,0.411468,0.141220,0.060897,0.001790
9.0167,-0.084543,0.110529,-1.122974,0.417472,0.124563,0.066491,-0.005982
9.0333,-0.044615,0.124374,-1.135503,0.427623,0.106201,0.074009,-0.014646
9.0500,-0.008650,0.143485,-1.144234,0.438548,0.089538,0.084212,-0.022722
9.0667,0.023126,0.161603,-1.148013,0.456368,0.074659,0.095166,-0.030720
9.0833,0.057197,0.185965,-1.153056,0.467685,0.058220,0.108193,-0.037579
9.1000,0.095848,0.210519,-1.156270,0.481329,0.039397,0.121837,-0.044031
9.1167,0.138283,0.237446,-1.159577,0.497156,0.017975,0.136948,-0.049932
9.1333,0.177760,0.271192,-1.159314,0.511779,-0.002230,0.155439,-0.054542
9.1500,0.207211,0.292591,-1.152580,0.539199,-0.017847,0.170630,-0.059166
9.1667,0.232039,0.329215,-1.144374,0.542658,-0.029757,0.189585,-0.060007
9.1833,0.252806,0.357270,-1.135999,0.544504,-0.039374,0.204109,-0.059938
9.2000,0.265248,0.390735,-1.123553,0.545965,-0.044444,0.221638,-0.059563
9.2167,0.275737,0.429769,-1.103685,0.515310,-0.044168,0.236933,-0.055119
9.2333,0.280598,0.459049,-1.085545,0.491114,-0.041675,0.248443,-0.051431
9.2500,0.283448,0.474747,-1.073206,0.478332,-0.039958,0.254868,-0.049311
9.2667,0.282020,0.481498,-1.064185,0.471451,-0.037124,0.257785,-0.048320
9.2833,0.278191,0.475882,-1.057290,0.476636,-0.034454,0.256764,-0.049434
9.3000,0.270805,0.462132,-1.048895,0.495128,-0.030979,0.254359,-0.052342
9.3167,0.266584,0.457781,-1.044025,0.496824,-0.028154,0.253110,-0.052858
9.3333,0.264131,0.454993,-1.039648,0.497409,-0.026202,0.252352,-0.053061
9.3500,0.263383,0.453779,-1.035750,0.493873,-0.024775,0.251577,-0.052627
9.3667,0.261348,0.451796,-1.033563,0.492742,-0.023195,0.250650,-0.052696
9.3833,0.262107,0.453879,-1.028277,0.485020,-0.021958,0.250907,-0.051653
9.4000,0.261798,0.455732,-1.023146,0.479398,-0.020384,0.251379,-0.050957
9.4167,0.256328,0.448035,-1.020029,0.479345,-0.017013,0.248085,-0.051486
9.4333,0.247069,0.431812,-1.016504,0.482805,-0.011911,0.241399,-0.052582
9.4500,0.234618,0.408950,-1.012798,0.487487,-0.005195,0.231753,-0.053805
9.4667,0.219413,0.377650,-1.010969,0.490253,0.002938,0.217523,-0.054635
9.4833,0.201363,0.339619,-1.010895,0.489712,0.012630,0.199318,-0.054375
9.5000,0.175979,0.283220,-1.013259,0.507351,0.024059,0.174746,-0.055105
9.5167,0.148498,0.211666,-1.018826,0.538697,0.034947,0.144301,-0.055316
9.5333,0.117824,0.148645,-1.022087,0.556921,0.048419,0.116036,-0.051914
9.5500,0.090139,0.088520,-1.027104,0.565700,0.060543,0.087760,-0.045342
9.5667,0.064906,0.043411,-1.031030,0.564852,0.071708,0.065689,-0.037498
9.5833,0.037261,0.001642,-1.034732,0.564549,0.083228,0.045410,-0.028885
9.6000,-0.000960,-0.019988,-1.028223,0.549820,0.100910,0.033664,-0.019090
9.6167,-0.047628,-0.033296,-1.017224,0.535118,0.121845,0.025910,-0.008820
9.6333,-0.095884,-0.038917,-1.004470,0.518340,0.143064,0.021402,0.001861
9.6500,-0.142412,-0.029317,-0.986477,0.501312,0.164396,0.024068,0.010846
9.6667,-0.179471,-0.021678,-0.973507,0.487152,0.180804,0.025799,0.018920
9.6833,-0.217143,-0.018078,-0.964258,0.487221,0.196011,0.026443,0.025293
9.7000,-0.246471,-0.013980,-0.958154,0.487705,0.207570,0.027415,0.030469
9.7167,-0.273173,-0.001572,-0.948075,0.479182,0.219431,0.031724,0.036284
9.7333,-0.285169,0.009915,-0.949461,0.459102,0.224214,0.033997,0.041174
9.7500,-0.286966,0.017323,-0.956311,0.443442,0.224226,0.034913,0.043356
9.7667,-0.294272,0.026632,-0.957459,0.436883,0.227189,0.037802,0.044869
9.7833,-0.306888,0.034934,-0.954027,0.434275,0.232677,0.040783,0.047178
9.8000,-0.318699,0.043776,-0.952817,0.424283,0.237422,0.043098,0.050774
9.8167,-0.329628,0.049818,-0.950537,0.421587,0.241929,0.045025,0.053146
9.8333,-0.339408,0.043994,-0.955737,0.437295,0.244036,0.042804,0.052614
9.8500,-0.347432,0.044263,-0.955686,0.433855,0.246626,0.042114,0.055251
9.8667,-0.348556,0.044381,-0.960485,0.420076,0.245908,0.040293,0.058084
9.8833,-0.356602,0.033520,-0.965751,0.421419,0.246723,0.034597,0.060800
9.9000,-0.358312,0.027131,-0.970557,0.414922,0.245638,0.030689,0.063255
9.9167,-0.357964,0.022717,-0.975755,0.412898,0.244198,0.028077,0.063866
9.9333,-0.354939,0.019770,-0.983452,0.406085,0.241452,0.025636,0.064553
9.9500,-0.354098,0.014940,-0.988858,0.408748,0.239906,0.023263,0.064109
9.9667,-0.355142,0.008767,-0.995082,0.414653,0.238685,0.020488,0.063701
9.9833,-0.354857,0.004186,-0.999631,0.410683,0.237197,0.017805,0.064978
10.0000,-0.357650,0.006220,-1.004066,0.394136,0.237048,0.016638,0.068481
10.0167,-0.359524,0.003988,-1.008907,0.380486,0.236118,0.013995,0.071859
10.0333,-0.362031,0.002354,-1.013518,0.369190,0.235535,0.011794,0.074774
10.0500,-0.364843,0.007448,-1.015983,0.357334,0.236037,0.012567,0.076940
10.0667,-0.366657,0.020320,-1.018355,0.337639,0.236738,0.015992,0.079270
10.0833,-0.366154,0.034869,-1.021782,0.304056,0.236054,0.019111,0.083742
10.1000,-0.366611,0.044939,-1.027166,0.262054,0.234305,0.019621,0.090799
10.1167,-0.373072,0.053519,-1.031178,0.215649,0.233879,0.019210,0.100497
10.1333,-0.380106,0.051927,-1.039749,0.170998,0.231447,0.014783,0.111184
10.1500,-0.396671,0.053314,-1.043062,0.127725,0.232460,0.011902,0.123638
