t_s,q_pitch,q_roll,q_yaw,q_elbow,target_x,target_y,target_z
8.7833,-0.371984,0.369090,0.831803,2.798851,0.015555,-0.225188,-0.036753
8.8000,-0.401561,0.373105,0.789889,2.805767,0.023123,-0.214262,-0.012745
8.8667,-0.617320,0.229859,0.342719,2.834638,0.057205,-0.205942,-0.009800
8.9333,-0.425769,0.202486,0.590870,2.654346,0.026211,-0.239607,-0.028344
9.0167,0.085794,-0.209818,0.961314,1.980071,-0.100507,-0.390348,-0.048267
9.0333,0.171554,-0.301421,1.091737,1.847254,-0.122897,-0.423480,-0.052803
9.0500,0.233431,-0.376274,1.260891,1.738954,-0.138822,-0.444787,-0.044287
9.0667,0.269521,-0.430557,1.473662,1.649739,-0.147634,-0.455924,-0.039566
9.0833,0.275194,-0.488482,1.780165,1.559911,-0.148088,-0.467058,-0.035841
9.1000,0.257768,-0.519068,1.987373,1.509157,-0.143734,-0.473578,-0.034934
9.1167,0.238698,-0.525544,2.017106,1.505063,-0.134941,-0.477280,-0.036094
9.1333,0.207322,-0.522616,2.060274,1.505092,-0.119556,-0.477596,-0.040708
9.2333,0.195621,-0.382371,-0.173159,0.963645,0.024130,-0.424001,-0.053228
9.2500,0.217478,-0.385092,-0.081736,0.836980,0.037724,-0.415581,-0.048519
9.2667,0.240543,-0.393307,-0.062909,0.775710,0.038375,-0.414657,-0.042394
9.2833,0.262449,-0.399711,-0.069194,0.738902,0.034460,-0.417223,-0.037560
9.3000,0.278714,-0.401502,-0.090168,0.716822,0.030295,-0.420547,-0.034023
9.3167,0.294940,-0.404281,-0.107176,0.699266,0.025354,-0.423892,-0.030781
9.3333,0.296705,-0.399567,-0.127815,0.677868,0.028035,-0.424463,-0.028298
9.3500,0.294777,-0.388309,-0.155184,0.658293,0.031970,-0.423360,-0.026286
9.3667,0.286104,-0.376637,-0.171132,0.634581,0.040059,-0.420225,-0.024426
9.3833,0.273494,-0.366301,-0.177163,0.613788,0.049755,-0.416096,-0.022890
9.4000,0.260441,-0.361877,-0.160218,0.595417,0.059882,-0.410593,-0.021859
9.4167,0.253883,-0.362998,-0.138312,0.578041,0.066810,-0.406484,-0.020224
9.4333,0.242310,-0.367742,-0.106287,0.561968,0.075881,-0.402002,-0.018779
9.4500,0.230086,-0.372192,-0.077664,0.550311,0.084287,-0.397940,-0.017446
9.4667,0.218652,-0.374964,-0.056695,0.542964,0.091332,-0.394654,-0.016395
9.4833,0.211006,-0.378742,-0.043519,0.540905,0.095574,-0.393507,-0.015566
9.5000,0.204519,-0.381558,-0.036705,0.543459,0.098395,-0.393420,-0.015293
9.5167,0.201302,-0.383944,-0.040563,0.548499,0.099214,-0.395287,-0.014899
9.5333,0.198241,-0.387837,-0.045465,0.552542,0.100081,-0.397956,-0.014139
9.5500,0.200469,-0.390134,-0.045228,0.542222,0.100770,-0.398291,-0.012272
9.5667,0.214188,-0.387314,-0.046739,0.506098,0.100030,-0.395494,-0.008163
9.5833,0.212224,-0.385502,-0.036348,0.458229,0.108141,-0.389923,-0.002126
9.6000,0.196323,-0.388677,-0.016311,0.412038,0.122125,-0.383896,0.005677
9.6167,0.191191,-0.396660,-0.019506,0.363899,0.131195,-0.383892,0.016474
9.6333,0.174888,-0.405450,-0.022207,0.319606,0.143937,-0.383930,0.027784
9.6500,0.179506,-0.414653,-0.044976,0.257336,0.149227,-0.386952,0.042767
9.6667,0.213262,-0.427210,-0.064040,0.167288,0.144443,-0.388801,0.059666
9.6833,0.261099,-0.443125,-0.058331,0.040821,0.136475,-0.383103,0.079804
9.7000,0.319354,-0.455492,-0.048896,-0.081707,0.123161,-0.374919,0.097604
9.7167,0.405768,-0.444981,-0.089703,-0.192974,0.098547,-0.371809,0.113986
9.7833,0.595040,-0.219444,-0.293981,-0.528222,0.040554,-0.334012,0.165570
9.8667,0.188283,0.071380,0.008739,-0.363870,0.164833,-0.201999,0.129112
9.9667,-0.218063,0.380000,-1.029703,-0.330551,0.178118,-0.185763,0.127853
10.0667,-0.171953,0.214739,-0.042267,-0.019856,0.283292,-0.135685,0.146634
10.0833,-0.172361,0.121726,0.115582,-0.041258,0.280949,-0.131218,0.152425
10.1000,-0.189289,0.064415,0.226648,-0.062093,0.280004,-0.123763,0.158883
10.1167,-0.212379,0.026295,0.285342,-0.083274,0.281568,-0.121471,0.166985
10.1333,-0.230027,-0.003973,0.310628,-0.100334,0.283747,-0.124267,0.173439
10.1500,-0.244500,-0.028272,0.317880,-0.116175,0.286320,-0.129264,0.179360
10.1667,-0.255703,-0.055560,0.315613,-0.127103,0.289240,-0.137399,0.183535
10.1833,-0.242945,-0.103877,0.307799,-0.157679,0.286074,-0.154532,0.185591
