t_s,q_pitch,q_roll,q_yaw,q_elbow,target_x,target_y,target_z
7.9333,0.288122,-0.526897,0.049906,0.145162,0.115807,-0.399318,0.058385
7.9500,0.288200,-0.538827,0.071521,0.142644,0.115682,-0.398652,0.058440
7.9667,0.288451,-0.549725,0.093263,0.140489,0.115272,-0.397676,0.058238
7.9833,0.288316,-0.558736,0.115653,0.137077,0.114948,-0.395810,0.057885
8.0000,0.289987,-0.566847,0.138272,0.134321,0.113644,-0.393761,0.057017
8.0167,0.294902,-0.575979,0.160104,0.133026,0.110773,-0.392503,0.055806
8.0333,0.302296,-0.586937,0.180613,0.132936,0.106738,-0.392353,0.054600
8.0500,0.310850,-0.603516,0.209739,0.128338,0.102124,-0.391907,0.053998
8.0667,0.319597,-0.621674,0.236984,0.119347,0.097814,-0.391795,0.054578
8.0833,0.328751,-0.642130,0.261926,0.112389,0.093195,-0.393167,0.055431
8.1000,0.331805,-0.660643,0.285926,0.107119,0.090845,-0.394182,0.056364
8.1167,0.335387,-0.675570,0.300286,0.104672,0.088647,-0.396197,0.057364
8.1333,0.340875,-0.692568,0.313227,0.104071,0.085649,-0.399477,0.058423
8.1500,0.351833,-0.714227,0.323954,0.106931,0.080367,-0.405299,0.059684
8.1667,0.362625,-0.736481,0.333622,0.112005,0.075089,-0.411822,0.061041
8.1833,0.368690,-0.754311,0.344045,0.118259,0.071452,-0.416894,0.061835
8.2000,0.373439,-0.771501,0.353871,0.122212,0.068620,-0.421479,0.063138
8.2167,0.375653,-0.787228,0.363310,0.125397,0.066926,-0.425517,0.064526
8.2333,0.374849,-0.802305,0.371818,0.128503,0.066588,-0.429452,0.066153
8.2500,0.369176,-0.812871,0.380981,0.129855,0.068189,-0.431483,0.067373
8.2667,0.360728,-0.820872,0.390293,0.129640,0.070950,-0.432375,0.068468
8.2833,0.355019,-0.831074,0.398655,0.126998,0.072971,-0.433740,0.070292
8.3000,0.349715,-0.841087,0.406772,0.120765,0.075165,-0.434469,0.072506
8.3167,0.340570,-0.845601,0.416328,0.116045,0.078381,-0.433468,0.073444
8.3333,0.330014,-0.849755,0.425350,0.111874,0.082123,-0.432486,0.074486
8.3500,0.317239,-0.850468,0.435149,0.109231,0.086378,-0.430531,0.074743
8.3667,0.307666,-0.852067,0.445010,0.110248,0.088998,-0.429556,0.074527
8.3833,0.301159,-0.854715,0.454800,0.112281,0.090301,-0.429169,0.074191
8.4000,0.293204,-0.855550,0.464683,0.113905,0.092156,-0.428100,0.073649
8.4167,0.284408,-0.855476,0.474404,0.114193,0.094442,-0.426507,0.073212
8.4333,0.278123,-0.857786,0.483362,0.115237,0.095800,-0.425994,0.073048
8.4500,0.270863,-0.859484,0.491964,0.118843,0.097394,-0.425792,0.072555
8.4667,0.263490,-0.860303,0.500557,0.123318,0.098930,-0.425461,0.071828
8.4833,0.260668,-0.861870,0.509777,0.128160,0.098479,-0.425469,0.070741
8.5000,0.259289,-0.861998,0.524654,0.138222,0.096173,-0.425205,0.067970
8.5167,0.260739,-0.862280,0.539541,0.149057,0.092596,-0.425239,0.064902
8.5333,0.263527,-0.864819,0.553067,0.160182,0.088638,-0.426325,0.062370
8.5500,0.262521,-0.870342,0.559200,0.164579,0.087966,-0.428138,0.062397
8.5667,0.252293,-0.873123,0.567214,0.170741,0.090673,-0.428890,0.062275
8.5833,0.247112,-0.880338,0.570497,0.173045,0.092392,-0.431193,0.063616
8.6000,0.247449,-0.892435,0.573143,0.180751,0.091591,-0.436374,0.065007
8.6167,0.246473,-0.902751,0.575687,0.188984,0.091272,-0.441031,0.066179
8.6333,0.252802,-0.913928,0.579835,0.196148,0.087731,-0.445723,0.066961
8.6500,0.266020,-0.923996,0.586342,0.200911,0.081097,-0.449439,0.066992
8.6667,0.278559,-0.932418,0.593081,0.203644,0.074837,-0.452175,0.066962
8.6833,0.288906,-0.944181,0.600380,0.197467,0.070347,-0.454181,0.068645
8.7000,0.285969,-0.952530,0.604455,0.177776,0.072947,-0.452564,0.072032
8.7167,0.276215,-0.966403,0.606683,0.146336,0.079718,-0.450519,0.078419
8.7333,0.267491,-0.989039,0.605561,0.107984,0.087109,-0.450115,0.087940
8.7500,0.268203,-1.018542,0.604593,0.081915,0.089860,-0.454131,0.097154
8.7667,0.270212,-1.044059,0.600286,0.084306,0.090639,-0.462742,0.103313
8.7833,0.267165,-1.058523,0.600254,0.109395,0.090898,-0.472038,0.104846
8.8000,0.265432,-1.063238,0.605248,0.158347,0.087573,-0.482843,0.101858
8.8167,0.262555,-1.054326,0.614415,0.227368,0.081462,-0.493245,0.094086
8.8833,0.321359,-0.954394,0.669705,0.519381,0.011441,-0.512775,0.046493
8.9000,0.349438,-0.924747,0.683555,0.555195,-0.009925,-0.507214,0.036554
8.9167,0.380296,-0.896882,0.697655,0.568613,-0.029997,-0.497486,0.028385
8.9333,0.415704,-0.878367,0.710981,0.573922,-0.050629,-0.489450,0.024025
8.9500,0.441619,-0.862987,0.721058,0.578666,-0.066089,-0.482735,0.020986
8.9667,0.437750,-0.811736,0.732432,0.586289,-0.070124,-0.462085,0.007574
8.9833,0.424327,-0.758284,0.742630,0.588494,-0.068082,-0.439070,-0.005880
9.0000,0.417150,-0.710909,0.754081,0.574174,-0.066037,-0.414815,-0.016113
9.1000,0.307285,-0.483041,0.817890,0.209036,0.021180,-0.249163,-0.011226
9.1500,0.303813,-0.494928,0.836989,0.106512,0.028678,-0.237776,0.005586
9.1667,0.308307,-0.506899,0.847345,0.104354,0.024824,-0.240783,0.005908
9.1833,0.313996,-0.518886,0.863180,0.119560,0.017971,-0.245276,0.003174
9.2000,0.316118,-0.526808,0.877208,0.141887,0.012349,-0.249488,-0.000493
9.2167,0.317480,-0.530731,0.890598,0.164179,0.007198,-0.252304,-0.004099
9.2333,0.322897,-0.535778,0.903735,0.183960,0.000445,-0.255401,-0.007123
9.2500,0.327091,-0.539820,0.911895,0.187804,-0.003371,-0.256536,-0.007587
9.2667,0.332251,-0.543974,0.919988,0.196283,-0.008059,-0.258419,-0.008785
9.2833,0.332536,-0.546999,0.928774,0.215871,-0.011774,-0.261428,-0.011540
9.3000,0.331250,-0.548938,0.936000,0.235661,-0.014520,-0.264301,-0.014309
9.3167,0.327933,-0.548108,0.944026,0.262551,-0.017161,-0.267064,-0.018091
9.3333,0.330341,-0.550041,0.950288,0.278752,-0.021092,-0.269635,-0.020161
9.3500,0.336670,-0.555161,0.957073,0.318257,-0.029453,-0.277318,-0.024686
9.4000,0.375283,-0.657104,0.940073,0.486131,-0.064341,-0.353878,-0.027849
9.4167,0.374761,-0.688036,0.925155,0.528182,-0.066188,-0.377340,-0.025390
9.5000,0.286912,-0.833336,0.856742,0.427105,0.002543,-0.428306,0.006778
9.5167,0.287178,-0.878444,0.840066,0.354226,0.013858,-0.433682,0.021540
9.5333,0.277856,-0.920520,0.822253,0.279410,0.029406,-0.436695,0.036897
9.5500,0.270485,-0.927855,0.816280,0.243682,0.036994,-0.432845,0.041770
9.5667,0.265953,-0.928539,0.814082,0.220699,0.041244,-0.428694,0.044103
9.5833,0.262391,-0.928159,0.813016,0.203290,0.044340,-0.425190,0.045675
9.6000,0.253718,-0.922576,0.811952,0.175380,0.050223,-0.417670,0.047516
9.6167,0.234259,-0.915855,0.808170,0.132546,0.062066,-0.407056,0.051711
9.6333,0.222591,-0.912944,0.806402,0.102393,0.069136,-0.400198,0.055310
9.6500,0.221218,-0.915734,0.807530,0.076098,0.071066,-0.396022,0.058743
9.6667,0.213998,-0.914513,0.806781,0.067061,0.074688,-0.393823,0.060132
9.6833,0.205153,-0.913931,0.805162,0.065345,0.078752,-0.393324,0.060951
9.7000,0.198494,-0.915235,0.803790,0.060444,0.082008,-0.392846,0.062451
9.7167,0.197247,-0.921612,0.803918,0.052300,0.082999,-0.393484,0.064609
9.7333,0.188952,-0.920485,0.802576,0.043365,0.087043,-0.391350,0.066320
9.7500,0.180504,-0.917993,0.801685,0.032141,0.091104,-0.388275,0.068082
9.7667,0.175646,-0.916551,0.802097,0.022249,0.093387,-0.385773,0.069456
9.7833,0.172556,-0.915154,0.803346,0.016174,0.094641,-0.383967,0.070107
9.8000,0.164980,-0.910776,0.803681,0.013752,0.097691,-0.381810,0.070292
9.8167,0.161466,-0.909238,0.804821,0.005359,0.099157,-0.379498,0.071422
9.8333,0.159799,-0.910982,0.805671,0.000776,0.099858,-0.379128,0.072358
9.8500,0.162083,-0.916666,0.806858,0.001186,0.098785,-0.381089,0.072874
9.8667,0.166894,-0.927496,0.807238,-0.000880,0.096984,-0.384456,0.074501
9.8833,0.163627,-0.937184,0.805165,-0.012585,0.099213,-0.385669,0.078109
9.9000,0.157791,-0.950200,0.800620,-0.024708,0.102896,-0.388050,0.082918
9.9167,0.152208,-0.966173,0.794958,-0.041801,0.106793,-0.390498,0.089044
9.9333,0.140249,-0.980189,0.786929,-0.070219,0.113660,-0.390121,0.097310
9.9500,0.143474,-1.008729,0.781501,-0.115393,0.114597,-0.391199,0.108399
10.0333,-0.049395,-0.870061,0.755579,-0.476487,0.169198,-0.290905,0.179224
