t_s,q_pitch,q_roll,q_yaw,q_elbow,target_x,target_y,target_z
7.6667,0.184260,-0.580852,0.049434,0.511665,0.116078,-0.455119,0.024765
7.6833,0.183607,-0.594608,0.078496,0.490856,0.119084,-0.453145,0.027838
7.7000,0.183526,-0.600622,0.093423,0.487659,0.119299,-0.452550,0.028055
7.7167,0.181044,-0.604566,0.108904,0.483813,0.120603,-0.450936,0.028061
7.7333,0.175037,-0.607180,0.124539,0.481446,0.123242,-0.448877,0.027912
7.7500,0.169597,-0.610176,0.139714,0.481153,0.125283,-0.447292,0.027597
7.7667,0.169733,-0.612316,0.147142,0.481062,0.124946,-0.446824,0.027306
7.7833,0.170704,-0.616649,0.161581,0.484640,0.123501,-0.446606,0.026078
7.8000,0.173999,-0.625049,0.181383,0.496598,0.119532,-0.448176,0.023934
7.8167,0.184892,-0.637893,0.205311,0.518767,0.110272,-0.452411,0.020476
7.8333,0.191812,-0.645899,0.234092,0.565107,0.098534,-0.457236,0.013519
7.8500,0.193930,-0.651000,0.263717,0.628919,0.085661,-0.463211,0.005373
7.8667,0.206648,-0.652423,0.290401,0.684702,0.068447,-0.467531,-0.002403
7.8833,0.221131,-0.643365,0.319650,0.777830,0.042580,-0.471939,-0.014091
7.9000,0.238161,-0.624340,0.344984,0.860371,0.016321,-0.470881,-0.025074
7.9167,0.241133,-0.603494,0.360834,0.949818,-0.004119,-0.470297,-0.033879
7.9333,0.223799,-0.578468,0.362026,1.054030,-0.016575,-0.470138,-0.041717
7.9500,0.199359,-0.550146,0.336603,1.176829,-0.028591,-0.470919,-0.048065
7.9667,0.143213,-0.509679,0.220295,1.373644,-0.039217,-0.471907,-0.053745
7.9833,0.124045,-0.486657,0.103603,1.485142,-0.053581,-0.468071,-0.057187
8.0000,0.139646,-0.474901,0.017679,1.503944,-0.066585,-0.463562,-0.059142
8.0167,0.139129,-0.460380,-0.034898,1.504580,-0.066848,-0.457491,-0.063929
8.0333,0.125568,-0.445596,-0.067442,1.504589,-0.059673,-0.450938,-0.068994
