t_s,q_pitch,q_roll,q_yaw,q_elbow,target_x,target_y,target_z
7.4833,0.274098,-1.414837,-1.008745,0.731261,0.012210,-0.704278,0.493555
7.5167,0.257956,-1.346420,-1.124402,0.585955,0.043321,-0.700678,0.485042
7.6167,-0.568580,-1.279343,-0.192205,0.212538,0.302478,-0.559878,0.486091
7.6333,-0.734564,-1.213084,-0.016755,0.197174,0.326067,-0.516133,0.502950
7.6500,-0.820026,-1.117791,0.057046,0.170357,0.351519,-0.478254,0.497223
7.6667,-0.925576,-1.014714,0.144777,0.201899,0.386030,-0.440135,0.493489
7.7667,0.432123,0.380000,0.679180,-0.950000,0.050197,-0.040254,0.352756
7.8667,-0.891322,0.380000,-0.362203,0.089376,0.299774,0.098743,0.382054
7.9000,-1.098037,0.380000,-0.511680,0.216319,0.320142,0.123250,0.415522
7.9167,-1.068614,0.380000,-0.435058,0.261796,0.318855,0.130177,0.410429
7.9500,-1.024453,0.380000,-0.238183,0.366027,0.325153,0.142043,0.392724
7.9833,-1.149394,0.380000,-0.010985,0.562220,0.349311,0.152980,0.392793
8.0000,-1.187010,0.380000,0.125952,0.613618,0.349842,0.157844,0.396361
8.0167,-1.222547,0.380000,0.239611,0.628677,0.351473,0.158030,0.401299
8.0333,-1.203322,0.380000,0.306687,0.577338,0.348215,0.151232,0.402707
8.0500,-1.189272,0.380000,0.351908,0.552251,0.349157,0.145622,0.399619
8.0667,-1.149544,0.380000,0.369935,0.516953,0.346593,0.140402,0.392498
8.0833,-1.130014,0.380000,0.376866,0.488462,0.345473,0.136587,0.390551
8.1000,-1.092198,0.380000,0.380072,0.450539,0.341708,0.131928,0.385487
8.1167,-1.064280,0.380000,0.381783,0.409081,0.338084,0.127424,0.383953
8.1333,-1.038685,0.380000,0.407495,0.363708,0.334802,0.120646,0.380866
8.1500,-1.035489,0.380000,0.431353,0.345071,0.335165,0.116580,0.379698
8.1833,-1.159030,0.283180,0.598140,0.344149,0.344460,0.111529,0.392435
