t_s,q_pitch,q_roll,q_yaw,q_elbow,target_x,target_y,target_z
6.5667,-0.099218,-0.182748,-0.825556,0.489991,0.178441,-0.434805,0.028829
6.5833,-0.188774,-0.069639,-0.977405,0.457952,0.200817,-0.403079,0.034510
6.6000,-0.246411,-0.050182,-1.024735,0.470558,0.218464,-0.396028,0.039100
6.6167,-0.300635,-0.032997,-1.085842,0.478685,0.232141,-0.391524,0.043497
6.6333,-0.149780,-0.179270,-0.804602,0.525347,0.205084,-0.422374,0.043958
6.6500,-0.015640,-0.314772,-0.609281,0.565001,0.165505,-0.454816,0.037693
6.6667,0.038537,-0.418205,-0.450252,0.555980,0.157537,-0.473730,0.045143
6.6833,0.063042,-0.446477,-0.403882,0.560302,0.149679,-0.478348,0.043901
6.7000,0.037097,-0.430485,-0.473477,0.622737,0.147318,-0.483616,0.035820
6.7167,0.026039,-0.459901,-0.452566,0.689296,0.145150,-0.492744,0.032202
6.7333,0.062998,-0.529446,-0.344766,0.708614,0.132911,-0.506561,0.036871
6.7500,0.161553,-0.574816,-0.289992,0.678271,0.096168,-0.517242,0.041178
6.7667,0.263280,-0.570076,-0.274482,0.623320,0.058907,-0.512351,0.038259
6.7833,0.388330,-0.533452,-0.324613,0.550015,0.010531,-0.503639,0.039542
6.8000,0.251141,-0.629135,0.002892,0.419871,0.099124,-0.474380,0.042271
6.8167,0.302539,-0.610806,0.004442,0.363484,0.087010,-0.460472,0.047006
6.8333,0.375645,-0.565657,-0.103789,0.379200,0.051585,-0.466625,0.043146
6.8500,0.485217,-0.443246,-0.326850,0.430275,-0.018300,-0.465730,0.032733
6.8667,0.446019,-0.286490,-0.662572,0.496883,-0.050688,-0.460511,0.016870
6.8833,0.205450,-0.161035,-1.292225,0.583315,-0.051028,-0.465917,0.000334
6.9000,-0.018347,-0.259723,-1.908227,0.721002,-0.049223,-0.491547,-0.003130
6.9167,-0.115543,-0.320182,-2.109291,0.729993,-0.030381,-0.503059,0.006164
6.9333,-0.196561,-0.211403,-2.045301,0.543304,0.003963,-0.477855,0.014538
6.9500,-0.184502,-0.166849,-2.049169,0.477826,-0.007049,-0.463307,0.018900
6.9667,-0.165597,-0.277291,-2.264645,0.623591,-0.038447,-0.477875,0.008517
6.9833,-0.022449,-0.480617,-2.593218,0.988985,-0.092574,-0.507826,0.000262
7.0000,0.199348,-0.649367,-3.010000,1.481083,-0.119375,-0.537283,0.002730
7.0167,0.213005,-0.671878,-3.010000,1.489328,-0.126305,-0.544211,0.002850
7.0333,0.177959,-0.664119,-3.010000,1.490220,-0.109153,-0.542029,-0.005423
7.0500,0.078057,-0.595706,-3.010000,1.294727,-0.100224,-0.517274,-0.019822
