t_s,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow,left_wrist_roll,left_wrist_pitch,left_wrist_yaw,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,right_wrist_roll,right_wrist_pitch,right_wrist_yaw,waist_yaw
0.0000,0.310000,0.240000,-0.120000,0.670000,0.000000,0.000000,0.000000,0.300000,-0.240000,0.120000,0.690000,0.000000,0.000000,0.000000,0.000000
0.0200,0.309991,0.239995,-0.119998,0.670002,0.000000,0.000000,0.000000,0.299991,-0.239995,0.119998,0.690002,0.000000,0.000000,0.000000,0.000000
0.0400,0.309931,0.239959,-0.119985,0.670020,0.000000,0.000000,0.000000,0.299933,-0.239959,0.119985,0.690017,0.000000,0.000000,0.000000,0.000000
0.0600,0.309772,0.239863,-0.119950,0.670065,0.000000,0.000000,0.000000,0.299777,-0.239863,0.119950,0.690057,0.000000,0.000000,0.000000,0.000000
0.0800,0.309470,0.239681,-0.119884,0.670152,0.000000,0.000000,0.000000,0.299480,-0.239681,0.119884,0.690132,0.000000,0.000000,0.000000,0.000000
0.1000,0.308984,0.239387,-0.119777,0.670291,0.000000,0.000000,0.000000,0.299003,-0.239387,0.119777,0.690253,0.000000,0.000000,0.000000,0.000000
0.1200,0.308277,0.238961,-0.119621,0.670493,0.000000,0.000000,0.000000,0.298309,-0.238961,0.119621,0.690430,0.000000,0.000000,0.000000,0.000000
0.1400,0.307315,0.238380,-0.119410,0.670768,0.000000,0.000000,0.000000,0.297364,-0.238380,0.119410,0.690670,0.000000,0.000000,0.000000,0.000000
0.1600,0.306067,0.237627,-0.119135,0.671125,0.000000,0.000000,0.000000,0.296139,-0.237627,0.119135,0.690981,0.000000,0.000000,0.000000,0.000000
0.1800,0.304505,0.236685,-0.118792,0.671572,0.000000,0.000000,0.000000,0.294605,-0.236685,0.118792,0.691371,0.000000,0.000000,0.000000,0.000000
0.2000,0.302605,0.235539,-0.118375,0.672116,0.000000,0.000000,0.000000,0.292740,-0.235539,0.118375,0.691845,0.000000,0.000000,0.000000,0.000000
0.2200,0.300345,0.234176,-0.117878,0.672763,0.000000,0.000000,0.000000,0.290522,-0.234176,0.117878,0.692409,0.000000,0.000000,0.000000,0.000000
0.2400,0.297707,0.232585,-0.117298,0.673517,0.000000,0.000000,0.000000,0.287932,-0.232585,0.117298,0.693067,0.000000,0.000000,0.000000,0.000000
0.2600,0.294675,0.230756,-0.116631,0.674385,0.000000,0.000000,0.000000,0.284956,-0.230756,0.116631,0.693824,0.000000,0.000000,0.000000,0.000000
0.2800,0.291236,0.228682,-0.115875,0.675369,0.000000,0.000000,0.000000,0.281579,-0.228682,0.115875,0.694682,0.000000,0.000000,0.000000,0.000000
0.3000,0.287378,0.226355,-0.115027,0.676473,0.000000,0.000000,0.000000,0.277792,-0.226355,0.115027,0.695645,0.000000,0.000000,0.000000,0.000000
0.3200,0.283094,0.223771,-0.114086,0.677699,0.000000,0.000000,0.000000,0.273586,-0.223771,0.114086,0.696714,0.000000,0.000000,0.000000,0.000000
0.3400,0.278378,0.220926,-0.113049,0.679048,0.000000,0.000000,0.000000,0.268957,-0.220926,0.113049,0.697891,0.000000,0.000000,0.000000,0.000000
0.3600,0.273227,0.217819,-0.111917,0.680522,0.000000,0.000000,0.000000,0.263900,-0.217819,0.111917,0.699176,0.000000,0.000000,0.000000,0.000000
0.3800,0.267640,0.214449,-0.110689,0.682121,0.000000,0.000000,0.000000,0.258416,-0.214449,0.110689,0.700570,0.000000,0.000000,0.000000,0.000000
0.4000,0.261619,0.210817,-0.109365,0.683844,0.000000,0.000000,0.000000,0.252504,-0.210817,0.109365,0.702073,0.000000,0.000000,0.000000,0.000000
0.4200,0.255165,0.206924,-0.107947,0.685691,0.000000,0.000000,0.000000,0.246169,-0.206924,0.107947,0.703683,0.000000,0.000000,0.000000,0.000000
0.4400,0.248285,0.202774,-0.106434,0.687659,0.000000,0.000000,0.000000,0.239415,-0.202774,0.106434,0.705400,0.000000,0.000000,0.000000,0.000000
0.4600,0.240985,0.198371,-0.104830,0.689748,0.000000,0.000000,0.000000,0.232249,-0.198371,0.104830,0.707221,0.000000,0.000000,0.000000,0.000000
0.4800,0.233276,0.193721,-0.103135,0.691954,0.000000,0.000000,0.000000,0.224680,-0.193721,0.103135,0.709145,0.000000,0.000000,0.000000,0.000000
0.5000,0.225166,0.188829,-0.101353,0.694275,0.000000,0.000000,0.000000,0.216719,-0.188829,0.101353,0.711169,0.000000,0.000000,0.000000,0.000000
0.5200,0.216669,0.183704,-0.099485,0.696706,0.000000,0.000000,0.000000,0.208377,-0.183704,0.099485,0.713289,0.000000,0.000000,0.000000,0.000000
0.5400,0.207798,0.178353,-0.097535,0.699244,0.000000,0.000000,0.000000,0.199669,-0.178353,0.097535,0.715503,0.000000,0.000000,0.000000,0.000000
0.5600,0.198569,0.172786,-0.095506,0.701885,0.000000,0.000000,0.000000,0.190609,-0.172787,0.095506,0.717806,0.000000,0.000000,0.000000,0.000000
0.5800,0.188999,0.167014,-0.093403,0.704624,0.000000,0.000000,0.000000,0.181214,-0.167014,0.093403,0.720194,0.000000,0.000000,0.000000,0.000000
0.6000,0.179104,0.161046,-0.091228,0.707455,0.000000,0.000000,0.000000,0.171501,-0.161046,0.091228,0.722663,0.000000,0.000000,0.000000,0.000000
0.6200,0.168906,0.154894,-0.088986,0.710373,0.000000,0.000000,0.000000,0.161489,-0.154894,0.088986,0.725208,0.000000,0.000000,0.000000,0.000000
0.6400,0.158423,0.148571,-0.086682,0.713373,0.000000,0.000000,0.000000,0.151198,-0.148571,0.086682,0.727823,0.000000,0.000000,0.000000,0.000000
0.6600,0.147677,0.142089,-0.084320,0.716448,0.000000,0.000000,0.000000,0.140649,-0.142089,0.084320,0.730505,0.000000,0.000000,0.000000,0.000000
0.6800,0.136691,0.135462,-0.081905,0.719591,0.000000,0.000000,0.000000,0.129864,-0.135462,0.081905,0.733246,0.000000,0.000000,0.000000,0.000000
0.7000,0.125487,0.128704,-0.079442,0.722797,0.000000,0.000000,0.000000,0.118865,-0.128704,0.079442,0.736042,0.000000,0.000000,0.000000,0.000000
0.7200,0.114089,0.121829,-0.076937,0.726059,0.000000,0.000000,0.000000,0.107676,-0.121830,0.076937,0.738886,0.000000,0.000000,0.000000,0.000000
0.7400,0.102522,0.114852,-0.074394,0.729368,0.000000,0.000000,0.000000,0.096321,-0.114853,0.074394,0.741772,0.000000,0.000000,0.000000,0.000000
0.7600,0.090811,0.107788,-0.071820,0.732719,0.000000,0.000000,0.000000,0.084824,-0.107789,0.071820,0.744695,0.000000,0.000000,0.000000,0.000000
0.7800,0.078982,0.100653,-0.069220,0.736104,0.000000,0.000000,0.000000,0.073211,-0.100653,0.069220,0.747646,0.000000,0.000000,0.000000,0.000000
0.8000,0.067059,0.093461,-0.066599,0.739516,0.000000,0.000000,0.000000,0.061507,-0.093462,0.066599,0.750621,0.000000,0.000000,0.000000,0.000000
0.8200,0.055070,0.086230,-0.063964,0.742947,0.000000,0.000000,0.000000,0.049737,-0.086230,0.063964,0.753613,0.000000,0.000000,0.000000,0.000000
0.8400,0.043042,0.078974,-0.061320,0.746388,0.000000,0.000000,0.000000,0.037929,-0.078975,0.061320,0.756615,0.000000,0.000000,0.000000,0.000000
0.8600,0.030999,0.071711,-0.058673,0.749834,0.000000,0.000000,0.000000,0.026107,-0.071711,0.058673,0.759619,0.000000,0.000000,0.000000,0.000000
0.8800,0.018971,0.064455,-0.056029,0.753276,0.000000,0.000000,0.000000,0.014299,-0.064456,0.056029,0.762621,0.000000,0.000000,0.000000,0.000000
0.9000,0.006982,0.057224,-0.053394,0.756707,0.000000,0.000000,0.000000,0.002529,-0.057224,0.053394,0.765613,0.000000,0.000000,0.000000,0.000000
0.9200,-0.004941,0.050032,-0.050773,0.760118,0.000000,0.000000,0.000000,-0.009175,-0.050033,0.050773,0.768588,0.000000,0.000000,0.000000,0.000000
0.9400,-0.016770,0.042897,-0.048173,0.763503,0.000000,0.000000,0.000000,-0.020788,-0.042897,0.048173,0.771540,0.000000,0.000000,0.000000,0.000000
0.9600,-0.028481,0.035833,-0.045598,0.766854,0.000000,0.000000,0.000000,-0.032285,-0.035833,0.045599,0.774462,0.000000,0.000000,0.000000,0.000000
0.9800,-0.040048,0.028856,-0.043056,0.770164,0.000000,0.000000,0.000000,-0.043640,-0.028856,0.043056,0.777348,0.000000,0.000000,0.000000,0.000000
1.0000,-0.051446,0.021981,-0.040551,0.773425,0.000000,0.000000,0.000000,-0.054829,-0.021981,0.040551,0.780192,0.000000,0.000000,0.000000,0.000000
1.0200,-0.062650,0.015223,-0.038088,0.776631,0.000000,0.000000,0.000000,-0.065828,-0.015223,0.038088,0.782988,0.000000,0.000000,0.000000,0.000000
1.0400,-0.073636,0.008596,-0.035673,0.779775,0.000000,0.000000,0.000000,-0.076613,-0.008597,0.035673,0.785729,0.000000,0.000000,0.000000,0.000000
1.0600,-0.084382,0.002114,-0.033311,0.782850,0.000000,0.000000,0.000000,-0.087162,-0.002115,0.033311,0.788411,0.000000,0.000000,0.000000,0.000000
1.0800,-0.094865,-0.004209,-0.031007,0.785849,0.000000,0.000000,0.000000,-0.097453,0.004208,0.031007,0.791027,0.000000,0.000000,0.000000,0.000000
1.1000,-0.105063,-0.010360,-0.028765,0.788768,0.000000,0.000000,0.000000,-0.107465,0.010360,0.028765,0.793571,0.000000,0.000000,0.000000,0.000000
1.1200,-0.114958,-0.016328,-0.026590,0.791599,0.000000,0.000000,0.000000,-0.117178,0.016328,0.026590,0.796040,0.000000,0.000000,0.000000,0.000000
1.1400,-0.124528,-0.022101,-0.024486,0.794337,0.000000,0.000000,0.000000,-0.126573,0.022101,0.024487,0.798429,0.000000,0.000000,0.000000,0.000000
1.1600,-0.133757,-0.027668,-0.022458,0.796978,0.000000,0.000000,0.000000,-0.135633,0.027668,0.022458,0.800731,0.000000,0.000000,0.000000,0.000000
1.1800,-0.142628,-0.033019,-0.020508,0.799517,0.000000,0.000000,0.000000,-0.144341,0.033018,0.020508,0.802945,0.000000,0.000000,0.000000,0.000000
1.2000,-0.151125,-0.038144,-0.018640,0.801948,0.000000,0.000000,0.000000,-0.152683,0.038144,0.018640,0.805065,0.000000,0.000000,0.000000,0.000000
1.2200,-0.159235,-0.043036,-0.016858,0.804269,0.000000,0.000000,0.000000,-0.160644,0.043035,0.016858,0.807089,0.000000,0.000000,0.000000,0.000000
1.2400,-0.166945,-0.047686,-0.015163,0.806475,0.000000,0.000000,0.000000,-0.168213,0.047686,0.015163,0.809013,0.000000,0.000000,0.000000,0.000000
1.2600,-0.174244,-0.052089,-0.013558,0.808563,0.000000,0.000000,0.000000,-0.175379,0.052089,0.013559,0.810834,0.000000,0.000000,0.000000,0.000000
1.2800,-0.181124,-0.056239,-0.012046,0.810532,0.000000,0.000000,0.000000,-0.182133,0.056239,0.012046,0.812551,0.000000,0.000000,0.000000,0.000000
1.3000,-0.187578,-0.060132,-0.010628,0.812379,0.000000,0.000000,0.000000,-0.188468,0.060131,0.010628,0.814161,0.000000,0.000000,0.000000,0.000000
1.3200,-0.193599,-0.063764,-0.009304,0.814102,0.000000,0.000000,0.000000,-0.194380,0.063764,0.009304,0.815664,0.000000,0.000000,0.000000,0.000000
1.3400,-0.199186,-0.067134,-0.008076,0.815700,0.000000,0.000000,0.000000,-0.199864,0.067133,0.008076,0.817058,0.000000,0.000000,0.000000,0.000000
1.3600,-0.204337,-0.070241,-0.006944,0.817174,0.000000,0.000000,0.000000,-0.204921,0.070240,0.006944,0.818343,0.000000,0.000000,0.000000,0.000000
1.3800,-0.209053,-0.073085,-0.005907,0.818524,0.000000,0.000000,0.000000,-0.209550,0.073085,0.005907,0.819520,0.000000,0.000000,0.000000,0.000000
1.4000,-0.213337,-0.075669,-0.004965,0.819749,0.000000,0.000000,0.000000,-0.213756,0.075669,0.004966,0.820589,0.000000,0.000000,0.000000,0.000000
1.4200,-0.217195,-0.077996,-0.004117,0.820853,0.000000,0.000000,0.000000,-0.217543,0.077996,0.004118,0.821552,0.000000,0.000000,0.000000,0.000000
1.4400,-0.220634,-0.080071,-0.003361,0.821838,0.000000,0.000000,0.000000,-0.220920,0.080071,0.003362,0.822410,0.000000,0.000000,0.000000,0.000000
1.4600,-0.223667,-0.081900,-0.002695,0.822705,0.000000,0.000000,0.000000,-0.223896,0.081900,0.002695,0.823167,0.000000,0.000000,0.000000,0.000000
1.4800,-0.226304,-0.083491,-0.002115,0.823460,0.000000,0.000000,0.000000,-0.226486,0.083491,0.002115,0.823825,0.000000,0.000000,0.000000,0.000000
1.5000,-0.228564,-0.084854,-0.001618,0.824107,0.000000,0.000000,0.000000,-0.228704,0.084854,0.001619,0.824389,0.000000,0.000000,0.000000,0.000000
1.5200,-0.230464,-0.086000,-0.001201,0.824650,0.000000,0.000000,0.000000,-0.230569,0.086000,0.001201,0.824863,0.000000,0.000000,0.000000,0.000000
1.5400,-0.232026,-0.086942,-0.000857,0.825097,0.000000,0.000000,0.000000,-0.232103,0.086942,0.000858,0.825253,0.000000,0.000000,0.000000,0.000000
1.5600,-0.233274,-0.087695,-0.000583,0.825454,0.000000,0.000000,0.000000,-0.233328,0.087695,0.000583,0.825564,0.000000,0.000000,0.000000,0.000000
1.5800,-0.234236,-0.088276,-0.000372,0.825730,0.000000,0.000000,0.000000,-0.234273,0.088275,0.000372,0.825804,0.000000,0.000000,0.000000,0.000000
1.6000,-0.234944,-0.088702,-0.000216,0.825932,0.000000,0.000000,0.000000,-0.234967,0.088702,0.000216,0.825981,0.000000,0.000000,0.000000,0.000000
1.6200,-0.235430,-0.088995,-0.000109,0.826071,0.000000,0.000000,0.000000,-0.235444,0.088995,0.000109,0.826102,0.000000,0.000000,0.000000,0.000000
1.6400,-0.235732,-0.089178,-0.000043,0.826158,0.000000,0.000000,0.000000,-0.235741,0.089177,0.000043,0.826177,0.000000,0.000000,0.000000,0.000000
1.6600,-0.235890,-0.089273,-0.000008,0.826203,0.000000,0.000000,0.000000,-0.235897,0.089273,0.000008,0.826217,0.000000,0.000000,0.000000,0.000000
1.6800,-0.235950,-0.089310,0.000005,0.826220,0.000000,0.000000,0.000000,-0.235955,0.089309,-0.000005,0.826232,0.000000,0.000000,0.000000,0.000000
1.7000,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
1.7200,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
1.7400,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
1.7600,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
1.7800,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
1.8000,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
1.8200,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
1.8400,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
1.8600,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
1.8800,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
1.9000,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
1.9200,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
1.9400,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
1.9600,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
1.9800,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.0000,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.0200,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.0400,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.0600,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.0800,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.1000,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.1200,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.1400,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.1600,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.1800,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.2000,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.2200,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.2400,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.2600,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.2800,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.3000,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.3200,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.3400,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.3600,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.3800,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.4000,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.4200,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.4400,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.4600,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.4800,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.5000,-0.235959,-0.089315,0.000007,0.826223,0.000000,0.000000,0.000000,-0.235964,0.089314,-0.000007,0.826234,0.000000,0.000000,0.000000,0.000000
2.5200,-0.235958,-0.089315,0.000007,0.826220,0.000000,0.000000,0.000000,-0.235963,0.089314,-0.000007,0.826231,0.000000,0.000000,0.000000,0.000000
2.5400,-0.235954,-0.089317,0.000007,0.826197,0.000000,0.000000,0.000000,-0.235959,0.089316,-0.000007,0.826209,0.000000,0.000000,0.000000,0.000000
2.5600,-0.235942,-0.089322,0.000007,0.826138,0.000000,0.000000,0.000000,-0.235947,0.089322,-0.000007,0.826150,0.000000,0.000000,0.000000,0.000000
2.5800,-0.235919,-0.089332,0.000007,0.826025,0.000000,0.000000,0.000000,-0.235924,0.089332,-0.000007,0.826036,0.000000,0.000000,0.000000,0.000000
2.6000,-0.235882,-0.089348,0.000007,0.825841,0.000000,0.000000,0.000000,-0.235887,0.089348,-0.000007,0.825852,0.000000,0.000000,0.000000,0.000000
2.6200,-0.235828,-0.089372,0.000007,0.825570,0.000000,0.000000,0.000000,-0.235833,0.089372,-0.000007,0.825581,0.000000,0.000000,0.000000,0.000000
2.6400,-0.235753,-0.089405,0.000007,0.825198,0.000000,0.000000,0.000000,-0.235758,0.089404,-0.000006,0.825209,0.000000,0.000000,0.000000,0.000000
2.6600,-0.235655,-0.089448,0.000006,0.824710,0.000000,0.000000,0.000000,-0.235660,0.089447,-0.000006,0.824721,0.000000,0.000000,0.000000,0.000000
2.6800,-0.235531,-0.089502,0.000006,0.824092,0.000000,0.000000,0.000000,-0.235536,0.089502,-0.000006,0.824103,0.000000,0.000000,0.000000,0.000000
2.7000,-0.235379,-0.089569,0.000005,0.823333,0.000000,0.000000,0.000000,-0.235384,0.089569,-0.000005,0.823344,0.000000,0.000000,0.000000,0.000000
2.7200,-0.235195,-0.089650,0.000005,0.822419,0.000000,0.000000,0.000000,-0.235200,0.089649,-0.000005,0.822430,0.000000,0.000000,0.000000,0.000000
2.7400,-0.234979,-0.089745,0.000004,0.821340,0.000000,0.000000,0.000000,-0.234983,0.089744,-0.000004,0.821351,0.000000,0.000000,0.000000,0.000000
2.7600,-0.234726,-0.089855,0.000003,0.820084,0.000000,0.000000,0.000000,-0.234731,0.089855,-0.000003,0.820096,0.000000,0.000000,0.000000,0.000000
2.7800,-0.234437,-0.089982,0.000003,0.818643,0.000000,0.000000,0.000000,-0.234442,0.089982,-0.000002,0.818654,0.000000,0.000000,0.000000,0.000000
2.8000,-0.234108,-0.090126,0.000002,0.817006,0.000000,0.000000,0.000000,-0.234113,0.090126,-0.000001,0.817017,0.000000,0.000000,0.000000,0.000000
2.8200,-0.233739,-0.090288,0.000000,0.815165,0.000000,0.000000,0.000000,-0.233744,0.090288,-0.000000,0.815176,0.000000,0.000000,0.000000,0.000000
2.8400,-0.233326,-0.090469,-0.000001,0.813112,0.000000,0.000000,0.000000,-0.233331,0.090469,0.000001,0.813123,0.000000,0.000000,0.000000,0.000000
2.8600,-0.232870,-0.090669,-0.000002,0.810840,0.000000,0.000000,0.000000,-0.232875,0.090669,0.000002,0.810851,0.000000,0.000000,0.000000,0.000000
2.8800,-0.232369,-0.090889,-0.000004,0.808342,0.000000,0.000000,0.000000,-0.232373,0.090889,0.000004,0.808353,0.000000,0.000000,0.000000,0.000000
2.9000,-0.231820,-0.091130,-0.000005,0.805611,0.000000,0.000000,0.000000,-0.231825,0.091129,0.000006,0.805622,0.000000,0.000000,0.000000,0.000000
2.9200,-0.231224,-0.091391,-0.000007,0.802643,0.000000,0.000000,0.000000,-0.231229,0.091390,0.000007,0.802654,0.000000,0.000000,0.000000,0.000000
2.9400,-0.230580,-0.091674,-0.000009,0.799432,0.000000,0.000000,0.000000,-0.230584,0.091673,0.000009,0.799443,0.000000,0.000000,0.000000,0.000000
2.9600,-0.229885,-0.091978,-0.000011,0.795974,0.000000,0.000000,0.000000,-0.229890,0.091978,0.000011,0.795985,0.000000,0.000000,0.000000,0.000000
2.9800,-0.229140,-0.092305,-0.000013,0.792265,0.000000,0.000000,0.000000,-0.229145,0.092304,0.000014,0.792276,0.000000,0.000000,0.000000,0.000000
3.0000,-0.228345,-0.092654,-0.000016,0.788303,0.000000,0.000000,0.000000,-0.228349,0.092653,0.000016,0.788314,0.000000,0.000000,0.000000,0.000000
3.0200,-0.227498,-0.093025,-0.000018,0.784083,0.000000,0.000000,0.000000,-0.227502,0.093025,0.000019,0.784094,0.000000,0.000000,0.000000,0.000000
3.0400,-0.226598,-0.093420,-0.000021,0.779605,0.000000,0.000000,0.000000,-0.226603,0.093419,0.000021,0.779616,0.000000,0.000000,0.000000,0.000000
3.0600,-0.225647,-0.093837,-0.000024,0.774867,0.000000,0.000000,0.000000,-0.225651,0.093836,0.000024,0.774877,0.000000,0.000000,0.000000,0.000000
3.0800,-0.224643,-0.094277,-0.000027,0.769866,0.000000,0.000000,0.000000,-0.224647,0.094276,0.000027,0.769877,0.000000,0.000000,0.000000,0.000000
3.1000,-0.223586,-0.094740,-0.000030,0.764604,0.000000,0.000000,0.000000,-0.223591,0.094740,0.000030,0.764614,0.000000,0.000000,0.000000,0.000000
3.1200,-0.222477,-0.095227,-0.000034,0.759079,0.000000,0.000000,0.000000,-0.222481,0.095226,0.000034,0.759090,0.000000,0.000000,0.000000,0.000000
3.1400,-0.221315,-0.095736,-0.000037,0.753292,0.000000,0.000000,0.000000,-0.221319,0.095736,0.000037,0.753303,0.000000,0.000000,0.000000,0.000000
3.1600,-0.220100,-0.096269,-0.000041,0.747244,0.000000,0.000000,0.000000,-0.220105,0.096268,0.000041,0.747255,0.000000,0.000000,0.000000,0.000000
